Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
Q88P43,Q88P43_PSEPK,Edd,Phosphogluconate dehydratase,Control,R1,9058267.64
Q88P43,Q88P43_PSEPK,Edd,Phosphogluconate dehydratase,Control,R2,8809056.55
Q88P43,Q88P43_PSEPK,Edd,Phosphogluconate dehydratase,Control,R3,9276966.6
Q88P44,Q88P44_PSEPK,Gapa,Glyceraldehyde-3-phosphate dehydrogenase,Control,R1,5342616.44
Q88P44,Q88P44_PSEPK,Gapa,Glyceraldehyde-3-phosphate dehydrogenase,Control,R2,5282128.05
Q88P44,Q88P44_PSEPK,Gapa,Glyceraldehyde-3-phosphate dehydrogenase,Control,R3,5329059.72
Q88P47,Q88P47_PSEPK,Pp_1006,Outer membrane heme receptor,Control,R1,38460.63
Q88P47,Q88P47_PSEPK,Pp_1006,Outer membrane heme receptor,Control,R2,50197.55
Q88P47,Q88P47_PSEPK,Pp_1006,Outer membrane heme receptor,Control,R3,40221.22
Q88P51,Q88P51_PSEPK,Arcd-i,Arginine/ornithine antiporter,Control,R1,8875.53
Q88P51,Q88P51_PSEPK,Arcd-i,Arginine/ornithine antiporter,Control,R2,11584.05
Q88P51,Q88P51_PSEPK,Arcd-i,Arginine/ornithine antiporter,Control,R3,73792.38
Q88P52,ARCA_PSEPK,Arca,Arginine deiminase,Control,R1,6786764.69
Q88P52,ARCA_PSEPK,Arca,Arginine deiminase,Control,R2,7060417.05
Q88P52,ARCA_PSEPK,Arca,Arginine deiminase,Control,R3,7278206.86
Q88P53,OTCC_PSEPK,Arcb,"Ornithine carbamoyltransferase, catabolic",Control,R1,3357031.07
Q88P53,OTCC_PSEPK,Arcb,"Ornithine carbamoyltransferase, catabolic",Control,R2,3883856.25
Q88P53,OTCC_PSEPK,Arcb,"Ornithine carbamoyltransferase, catabolic",Control,R3,3668178.44
Q88P54,Q88P54_PSEPK,Arcc,Carbamate kinase,Control,R1,967978.23
Q88P54,Q88P54_PSEPK,Arcc,Carbamate kinase,Control,R2,951986.45
Q88P54,Q88P54_PSEPK,Arcc,Carbamate kinase,Control,R3,927797.86
Q88P55,Q88P55_PSEPK,Pp_0998,DUF5064 domain-containing protein,Control,R1,814753.21
Q88P55,Q88P55_PSEPK,Pp_0998,DUF5064 domain-containing protein,Control,R2,862014.05
Q88P55,Q88P55_PSEPK,Pp_0998,DUF5064 domain-containing protein,Control,R3,643478.26
Q88P64,GCSH1_PSEPK,Gcvh1,Glycine cleavage system H protein 1,Control,R1,214301.7
Q88P64,GCSH1_PSEPK,Gcvh1,Glycine cleavage system H protein 1,Control,R2,141256.3
Q88P64,GCSH1_PSEPK,Gcvh1,Glycine cleavage system H protein 1,Control,R3,205851.1
Q88P65,GCSP1_PSEPK,Gcvp1,Glycine dehydrogenase (decarboxylating) 1,Control,R1,1059541.73
Q88P65,GCSP1_PSEPK,Gcvp1,Glycine dehydrogenase (decarboxylating) 1,Control,R2,1028203.1
Q88P65,GCSP1_PSEPK,Gcvp1,Glycine dehydrogenase (decarboxylating) 1,Control,R3,1052895.02
Q88P66,Q88P66_PSEPK,Tdcg-ii,L-serine dehydratase,Control,R1,15508.71
Q88P66,Q88P66_PSEPK,Tdcg-ii,L-serine dehydratase,Control,R2,7722.7
Q88P66,Q88P66_PSEPK,Tdcg-ii,L-serine dehydratase,Control,R3,6187.88
Q88P67,Q88P67_PSEPK,Gcvt-i,aminomethyltransferase,Control,R1,1653590.5
Q88P67,Q88P67_PSEPK,Gcvt-i,aminomethyltransferase,Control,R2,1481308.8
Q88P67,Q88P67_PSEPK,Gcvt-i,aminomethyltransferase,Control,R3,1507968.18
Q88P70,Q88P70_PSEPK,Pp_0983,LPS export ABC transporter permease LptG,Control,R1,2958.51
Q88P70,Q88P70_PSEPK,Pp_0983,LPS export ABC transporter permease LptG,Control,R2,3861.35
Q88P70,Q88P70_PSEPK,Pp_0983,LPS export ABC transporter permease LptG,Control,R3,3093.94
Q88P71,Q88P71_PSEPK,Pp_0982,Lipopolysaccharide export system permease protein LptF,Control,R1,263559.91
Q88P71,Q88P71_PSEPK,Pp_0982,Lipopolysaccharide export system permease protein LptF,Control,R2,269398.45
Q88P71,Q88P71_PSEPK,Pp_0982,Lipopolysaccharide export system permease protein LptF,Control,R3,216579.4
Q88P73,AMPA_PSEPK,Pepa,Probable cytosol aminopeptidase,Control,R1,4948492.06
Q88P73,AMPA_PSEPK,Pepa,Probable cytosol aminopeptidase,Control,R2,5217772.75
Q88P73,AMPA_PSEPK,Pepa,Probable cytosol aminopeptidase,Control,R3,4955559.14
Q88P75,Q88P75_PSEPK,Pp_0978,DNA polymerase III subunit chi,Control,R1,2958.51
Q88P75,Q88P75_PSEPK,Pp_0978,DNA polymerase III subunit chi,Control,R2,3861.35
Q88P75,Q88P75_PSEPK,Pp_0978,DNA polymerase III subunit chi,Control,R3,22005.2
Q88P76,SYV_PSEPK,Vals,Valine--tRNA ligase,Control,R1,5698839.01
Q88P76,SYV_PSEPK,Vals,Valine--tRNA ligase,Control,R2,5796824.8
Q88P76,SYV_PSEPK,Vals,Valine--tRNA ligase,Control,R3,5695201.86
Q88P77,RLMF_PSEPK,Rlmf,Ribosomal RNA large subunit methyltransferase F,Control,R1,5917.02
Q88P77,RLMF_PSEPK,Rlmf,Ribosomal RNA large subunit methyltransferase F,Control,R2,7722.7
Q88P77,RLMF_PSEPK,Rlmf,Ribosomal RNA large subunit methyltransferase F,Control,R3,6187.88
Q88P78,Q88P78_PSEPK,Hupn,"DNA-binding protein HU, form N",Control,R1,2739491.33
Q88P78,Q88P78_PSEPK,Hupn,"DNA-binding protein HU, form N",Control,R2,2772731.65
Q88P78,Q88P78_PSEPK,Hupn,"DNA-binding protein HU, form N",Control,R3,2784280.12
Q88P80,NDPA_PSEPK,Pp_0973,Nucleoid-associated protein PP_0973,Control,R1,60494.21
Q88P80,NDPA_PSEPK,Pp_0973,Nucleoid-associated protein PP_0973,Control,R2,75254.25
Q88P80,NDPA_PSEPK,Pp_0973,Nucleoid-associated protein PP_0973,Control,R3,47251.96
Q88P82,Q88P82_PSEPK,Pp_0971,SnoaL-like domain-containing protein,Control,R1,182003.31
Q88P82,Q88P82_PSEPK,Pp_0971,SnoaL-like domain-containing protein,Control,R2,208057.8
Q88P82,Q88P82_PSEPK,Pp_0971,SnoaL-like domain-containing protein,Control,R3,230618.44
Q88P86,HIS8_PSEPK,Hisc,Histidinol-phosphate aminotransferase,Control,R1,1289329.12
Q88P86,HIS8_PSEPK,Hisc,Histidinol-phosphate aminotransferase,Control,R2,1504361.75
Q88P86,HIS8_PSEPK,Hisc,Histidinol-phosphate aminotransferase,Control,R3,1375991.74
Q88P87,HIS1_PSEPK,Hisg,ATP phosphoribosyltransferase,Control,R1,1396408.17
Q88P87,HIS1_PSEPK,Hisg,ATP phosphoribosyltransferase,Control,R2,1487984.15
Q88P87,HIS1_PSEPK,Hisg,ATP phosphoribosyltransferase,Control,R3,1388651.42
Q88P88,MURA_PSEPK,Mura,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Control,R1,4478860.03
Q88P88,MURA_PSEPK,Mura,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Control,R2,4254600.9
Q88P88,MURA_PSEPK,Mura,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Control,R3,4621276.64
Q88P89,Q88P89_PSEPK,Ttg2f,BolA family protein,Control,R1,144760.51
Q88P89,Q88P89_PSEPK,Ttg2f,BolA family protein,Control,R2,124875.35
Q88P89,Q88P89_PSEPK,Ttg2f,BolA family protein,Control,R3,92092.44
Q88P90,Q88P90_PSEPK,Ttg2e,Toluene-tolerance protein,Control,R1,126381.3
Q88P90,Q88P90_PSEPK,Ttg2e,Toluene-tolerance protein,Control,R2,99953.57
Q88P90,Q88P90_PSEPK,Ttg2e,Toluene-tolerance protein,Control,R3,96190.04
Q88P91,Q88P91_PSEPK,Ttg2d,Toluene tolerance protein,Control,R1,1012709.64
Q88P91,Q88P91_PSEPK,Ttg2d,Toluene tolerance protein,Control,R2,1372887.35
Q88P91,Q88P91_PSEPK,Ttg2d,Toluene tolerance protein,Control,R3,1005906.36
Q88P92,Q88P92_PSEPK,Mlad,Phospholipid ABC transporter binding protein,Control,R1,444656.71
Q88P92,Q88P92_PSEPK,Mlad,Phospholipid ABC transporter binding protein,Control,R2,431942.95
Q88P92,Q88P92_PSEPK,Mlad,Phospholipid ABC transporter binding protein,Control,R3,583997.4
Q88P93,Q88P93_PSEPK,Mlae,Intermembrane phospholipid transport system permease protein MlaE,Control,R1,131438.21
Q88P93,Q88P93_PSEPK,Mlae,Intermembrane phospholipid transport system permease protein MlaE,Control,R2,133515.4
Q88P93,Q88P93_PSEPK,Mlae,Intermembrane phospholipid transport system permease protein MlaE,Control,R3,156056.3
Q88P94,Q88P94_PSEPK,Mlaf,Phospholipid ABC transporter ATP-binding subunit,Control,R1,244525.62
Q88P94,Q88P94_PSEPK,Mlaf,Phospholipid ABC transporter ATP-binding subunit,Control,R2,158380.95
Q88P94,Q88P94_PSEPK,Mlaf,Phospholipid ABC transporter ATP-binding subunit,Control,R3,244535.22
Q88P95,Q88P95_PSEPK,Kdsd,Arabinose 5-phosphate isomerase,Control,R1,276045.63
Q88P95,Q88P95_PSEPK,Kdsd,Arabinose 5-phosphate isomerase,Control,R2,234326.5
Q88P95,Q88P95_PSEPK,Kdsd,Arabinose 5-phosphate isomerase,Control,R3,253934.18
Q88P96,Q88P96_PSEPK,Kdsc,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,Control,R1,747574.12
Q88P96,Q88P96_PSEPK,Kdsc,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,Control,R2,729960.6
Q88P96,Q88P96_PSEPK,Kdsc,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,Control,R3,720678.82
Q88P97,Q88P97_PSEPK,Lptc,Lipopolysaccharide export system protein LptC,Control,R1,138531.92
Q88P97,Q88P97_PSEPK,Lptc,Lipopolysaccharide export system protein LptC,Control,R2,165637.5
Q88P97,Q88P97_PSEPK,Lptc,Lipopolysaccharide export system protein LptC,Control,R3,148126.64
Q88P98,Q88P98_PSEPK,Lpta,Lipopolysaccharide export system protein LptA,Control,R1,625714.21
Q88P98,Q88P98_PSEPK,Lpta,Lipopolysaccharide export system protein LptA,Control,R2,681169.35
Q88P98,Q88P98_PSEPK,Lpta,Lipopolysaccharide export system protein LptA,Control,R3,634755.23
Q88P99,Q88P99_PSEPK,Lptb,Lipopolysaccharide export system ATP-binding protein LptB,Control,R1,466689.66
Q88P99,Q88P99_PSEPK,Lptb,Lipopolysaccharide export system ATP-binding protein LptB,Control,R2,860952.9
Q88P99,Q88P99_PSEPK,Lptb,Lipopolysaccharide export system ATP-binding protein LptB,Control,R3,1123304.22
Q88PA0,Q88PA0_PSEPK,Ptsn,"Phosphotransferase system enzyme IIA, regulation of potassium transport",Control,R1,835911.6
Q88PA0,Q88PA0_PSEPK,Ptsn,"Phosphotransferase system enzyme IIA, regulation of potassium transport",Control,R2,1169621.9
Q88PA0,Q88PA0_PSEPK,Ptsn,"Phosphotransferase system enzyme IIA, regulation of potassium transport",Control,R3,1088097.2
Q88PA1,Y949_PSEPK,Pp_0949,Nucleotide-binding protein PP_0949,Control,R1,252348.72
Q88PA1,Y949_PSEPK,Pp_0949,Nucleotide-binding protein PP_0949,Control,R2,151200.35
Q88PA1,Y949_PSEPK,Pp_0949,Nucleotide-binding protein PP_0949,Control,R3,377872.6
Q88PA4,Q88PA4_PSEPK,Soda,Superoxide dismutase,Control,R1,5917.02
Q88PA4,Q88PA4_PSEPK,Soda,Superoxide dismutase,Control,R2,7722.7
Q88PA4,Q88PA4_PSEPK,Soda,Superoxide dismutase,Control,R3,6187.88
Q88PA6,Q88PA6_PSEPK,Fumc-i,Fumarate hydratase class II,Control,R1,59170.2
Q88PA6,Q88PA6_PSEPK,Fumc-i,Fumarate hydratase class II,Control,R2,103324.05
Q88PA6,Q88PA6_PSEPK,Fumc-i,Fumarate hydratase class II,Control,R3,61878.8
Q88PA8,Q88PA8_PSEPK,Pmba,Regulatory protease,Control,R1,2527345.08
Q88PA8,Q88PA8_PSEPK,Pmba,Regulatory protease,Control,R2,2679153.65
Q88PA8,Q88PA8_PSEPK,Pmba,Regulatory protease,Control,R3,2649203.13
Q88PA9,Y941_PSEPK,Pp_0941,UPF0307 protein PP_0941,Control,R1,559877.53
Q88PA9,Y941_PSEPK,Pp_0941,UPF0307 protein PP_0941,Control,R2,561260.05
Q88PA9,Y941_PSEPK,Pp_0941,UPF0307 protein PP_0941,Control,R3,624359.72
Q88PB0,Q88PB0_PSEPK,Tldd,Protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD,Control,R1,914482.13
Q88PB0,Q88PB0_PSEPK,Tldd,Protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD,Control,R2,1107284.55
Q88PB0,Q88PB0_PSEPK,Tldd,Protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD,Control,R3,957191.18
Q88PB1,Q88PB1_PSEPK,Pp_0939,Carbon-nitrogen hydrolase family protein,Control,R1,84391.43
Q88PB1,Q88PB1_PSEPK,Pp_0939,Carbon-nitrogen hydrolase family protein,Control,R2,225524.45
Q88PB1,Q88PB1_PSEPK,Pp_0939,Carbon-nitrogen hydrolase family protein,Control,R3,157868.54
Q88PB2,Q88PB2_PSEPK,Pp_0938,TIGR02099 family protein,Control,R1,43361.94
Q88PB2,Q88PB2_PSEPK,Pp_0938,TIGR02099 family protein,Control,R2,81371.15
Q88PB2,Q88PB2_PSEPK,Pp_0938,TIGR02099 family protein,Control,R3,45628.26
Q88PB3,Q88PB3_PSEPK,Rng,Endoribonuclease G (RNAse G),Control,R1,683182.06
Q88PB3,Q88PB3_PSEPK,Rng,Endoribonuclease G (RNAse G),Control,R2,677241.6
Q88PB3,Q88PB3_PSEPK,Rng,Endoribonuclease G (RNAse G),Control,R3,646576.22
Q88PB4,NTPPA_PSEPK,Maf-1,dTTP/UTP pyrophosphatase,Control,R1,5917.02
Q88PB4,NTPPA_PSEPK,Maf-1,dTTP/UTP pyrophosphatase,Control,R2,93964.2
Q88PB4,NTPPA_PSEPK,Maf-1,dTTP/UTP pyrophosphatase,Control,R3,80732
Q88PB6,Q88PB6_PSEPK,Mrec,Cell shape-determining protein MreC,Control,R1,57654.2
Q88PB6,Q88PB6_PSEPK,Mrec,Cell shape-determining protein MreC,Control,R2,217700.15
Q88PB6,Q88PB6_PSEPK,Mrec,Cell shape-determining protein MreC,Control,R3,143085.9
Q88PB7,Q88PB7_PSEPK,Mreb,Cell shape-determining protein MreB,Control,R1,4434635.33
Q88PB7,Q88PB7_PSEPK,Mreb,Cell shape-determining protein MreB,Control,R2,4480733.55
Q88PB7,Q88PB7_PSEPK,Mreb,Cell shape-determining protein MreB,Control,R3,4514204.44
Q88PB8,GATC_PSEPK,Gatc,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C,Control,R1,123415.71
Q88PB8,GATC_PSEPK,Gatc,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C,Control,R2,153489.55
Q88PB8,GATC_PSEPK,Gatc,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C,Control,R3,150311.09
Q88PB9,GATA_PSEPK,Gata,Glutamyl-tRNA(Gln) amidotransferase subunit A,Control,R1,1950526.26
Q88PB9,GATA_PSEPK,Gata,Glutamyl-tRNA(Gln) amidotransferase subunit A,Control,R2,1719876.85
Q88PB9,GATA_PSEPK,Gata,Glutamyl-tRNA(Gln) amidotransferase subunit A,Control,R3,1955705.36
Q88PC0,GATB_PSEPK,Gatb,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,Control,R1,974431.92
Q88PC0,GATB_PSEPK,Gatb,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,Control,R2,1250690.75
Q88PC0,GATB_PSEPK,Gatb,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,Control,R3,1221855.96
Q88PC3,Q88PC3_PSEPK,Arop-i,Aromatic amino acid transport protein AroP,Control,R1,61817.3
Q88PC3,Q88PC3_PSEPK,Arop-i,Aromatic amino acid transport protein AroP,Control,R2,32041.3
Q88PC3,Q88PC3_PSEPK,Arop-i,Aromatic amino acid transport protein AroP,Control,R3,32817.3
Q88PC5,Q88PC5_PSEPK,Pp_0925,Acyl-CoA dehydrogenase,Control,R1,507865.02
Q88PC5,Q88PC5_PSEPK,Pp_0925,Acyl-CoA dehydrogenase,Control,R2,652093.8
Q88PC5,Q88PC5_PSEPK,Pp_0925,Acyl-CoA dehydrogenase,Control,R3,571286.94
Q88PD0,Q88PD0_PSEPK,Xenb,Xenobiotic reductase B,Control,R1,66351.01
Q88PD0,Q88PD0_PSEPK,Xenb,Xenobiotic reductase B,Control,R2,7722.7
Q88PD0,Q88PD0_PSEPK,Xenb,Xenobiotic reductase B,Control,R3,6187.88
Q88PD1,Q88PD1_PSEPK,Pp_0919,ATPase,Control,R1,24537.82
Q88PD1,Q88PD1_PSEPK,Pp_0919,ATPase,Control,R2,54815.85
Q88PD1,Q88PD1_PSEPK,Pp_0919,ATPase,Control,R3,45267.64
Q88PD5,SODF_PSEPK,Sodb,Superoxide dismutase [Fe],Control,R1,5355410.81
Q88PD5,SODF_PSEPK,Sodb,Superoxide dismutase [Fe],Control,R2,5375735.05
Q88PD5,SODF_PSEPK,Sodb,Superoxide dismutase [Fe],Control,R3,5127329.04
Q88PD6,Q88PD6_PSEPK,Pp_0914,GGDEF domain protein,Control,R1,307069.9
Q88PD6,Q88PD6_PSEPK,Pp_0914,GGDEF domain protein,Control,R2,250751.65
Q88PD6,Q88PD6_PSEPK,Pp_0914,GGDEF domain protein,Control,R3,177839.16
Q88PD7,Q88PD7_PSEPK,Pp_0913,Imelysin-like domain-containing protein,Control,R1,1287146.97
Q88PD7,Q88PD7_PSEPK,Pp_0913,Imelysin-like domain-containing protein,Control,R2,1272492.85
Q88PD7,Q88PD7_PSEPK,Pp_0913,Imelysin-like domain-containing protein,Control,R3,1233804.29
Q88PE1,Q88PE1_PSEPK,Pp_0909,Imelysin-like domain-containing protein,Control,R1,480112.72
Q88PE1,Q88PE1_PSEPK,Pp_0909,Imelysin-like domain-containing protein,Control,R2,505198.45
Q88PE1,Q88PE1_PSEPK,Pp_0909,Imelysin-like domain-containing protein,Control,R3,1168171.38
Q88PE9,Q88PE9_PSEPK,Colr,DNA-binding response regulator,Control,R1,121602.52
Q88PE9,Q88PE9_PSEPK,Colr,DNA-binding response regulator,Control,R2,110394.4
Q88PE9,Q88PE9_PSEPK,Colr,DNA-binding response regulator,Control,R3,61459.12
Q88PF3,Q88PF3_PSEPK,Pp_0897,Fumarate hydratase class I,Control,R1,6115258.04
Q88PF3,Q88PF3_PSEPK,Pp_0897,Fumarate hydratase class I,Control,R2,6405033.98
Q88PF3,Q88PF3_PSEPK,Pp_0897,Fumarate hydratase class I,Control,R3,5951080.54
Q88PF6,Q88PF6_PSEPK,Pp_0894,SnoaL-like domain-containing protein,Control,R1,64458
Q88PF6,Q88PF6_PSEPK,Pp_0894,SnoaL-like domain-containing protein,Control,R2,75853.6
Q88PF6,Q88PF6_PSEPK,Pp_0894,SnoaL-like domain-containing protein,Control,R3,91113.1
Q88PF7,Q88PF7_PSEPK,Pp_0893,ThiJ/PfpI family protein,Control,R1,187684.9
Q88PF7,Q88PF7_PSEPK,Pp_0893,ThiJ/PfpI family protein,Control,R2,242650.9
Q88PF7,Q88PF7_PSEPK,Pp_0893,ThiJ/PfpI family protein,Control,R3,154509.94
Q88PF9,Q88PF9_PSEPK,Pp_0891,Lipid/polyisoprenoid-binding YceI-like domain-containing protein,Control,R1,151380.6
Q88PF9,Q88PF9_PSEPK,Pp_0891,Lipid/polyisoprenoid-binding YceI-like domain-containing protein,Control,R2,154627.55
Q88PF9,Q88PF9_PSEPK,Pp_0891,Lipid/polyisoprenoid-binding YceI-like domain-containing protein,Control,R3,125872.84
Q88PG2,Q88PG2_PSEPK,Rega,Photosynthetic apparatus regulatory protein RegA,Control,R1,379312.92
Q88PG2,Q88PG2_PSEPK,Rega,Photosynthetic apparatus regulatory protein RegA,Control,R2,400446.85
Q88PG2,Q88PG2_PSEPK,Rega,Photosynthetic apparatus regulatory protein RegA,Control,R3,381130.48
Q88PG3,Q88PG3_PSEPK,Pp_0887,histidine kinase,Control,R1,11423.91
Q88PG3,Q88PG3_PSEPK,Pp_0887,histidine kinase,Control,R2,22370.25
Q88PG3,Q88PG3_PSEPK,Pp_0887,histidine kinase,Control,R3,6187.88
Q88PG4,Q88PG4_PSEPK,Pp_0886,DUF541 domain-containing protein,Control,R1,213712.92
Q88PG4,Q88PG4_PSEPK,Pp_0886,DUF541 domain-containing protein,Control,R2,160255.95
Q88PG4,Q88PG4_PSEPK,Pp_0886,DUF541 domain-containing protein,Control,R3,301310.18
Q88PG5,Q88PG5_PSEPK,Dppa-iii,Dipeptide ABC transporter-periplasmic binding protein,Control,R1,1155069.85
Q88PG5,Q88PG5_PSEPK,Dppa-iii,Dipeptide ABC transporter-periplasmic binding protein,Control,R2,1118544.4
Q88PG5,Q88PG5_PSEPK,Dppa-iii,Dipeptide ABC transporter-periplasmic binding protein,Control,R3,1109445.66
Q88PG6,Q88PG6_PSEPK,Dppa-ii,Dipeptide ABC transporter-periplasmic binding protein,Control,R1,92299.4
Q88PG6,Q88PG6_PSEPK,Dppa-ii,Dipeptide ABC transporter-periplasmic binding protein,Control,R2,82384.4
Q88PG6,Q88PG6_PSEPK,Dppa-ii,Dipeptide ABC transporter-periplasmic binding protein,Control,R3,56312.1
Q88PG7,Q88PG7_PSEPK,Opdp,Glycine-glutamate dipeptide porin,Control,R1,53892.78
Q88PG7,Q88PG7_PSEPK,Opdp,Glycine-glutamate dipeptide porin,Control,R2,94444.33
Q88PG7,Q88PG7_PSEPK,Opdp,Glycine-glutamate dipeptide porin,Control,R3,132452.41
Q88PG8,Q88PG8_PSEPK,Dppa-i,Dipeptide ABC transporter-periplasmic binding protein,Control,R1,8875.53
Q88PG8,Q88PG8_PSEPK,Dppa-i,Dipeptide ABC transporter-periplasmic binding protein,Control,R2,26381.3
Q88PG8,Q88PG8_PSEPK,Dppa-i,Dipeptide ABC transporter-periplasmic binding protein,Control,R3,22600.68
Q88PH1,Q88PH1_PSEPK,Dppd,ABC-type dipeptide transporter,Control,R1,87401.44
Q88PH1,Q88PH1_PSEPK,Dppd,ABC-type dipeptide transporter,Control,R2,51682.35
Q88PH1,Q88PH1_PSEPK,Dppd,ABC-type dipeptide transporter,Control,R3,141106.52
Q88PH2,Q88PH2_PSEPK,Dppf,"Dipeptide ABC transporter, binding subunit",Control,R1,5917.02
Q88PH2,Q88PH2_PSEPK,Dppf,"Dipeptide ABC transporter, binding subunit",Control,R2,24345.45
Q88PH2,Q88PH2_PSEPK,Dppf,"Dipeptide ABC transporter, binding subunit",Control,R3,6187.88
Q88PH8,RF3_PSEPK,Prfc,Peptide chain release factor 3,Control,R1,1319656.21
Q88PH8,RF3_PSEPK,Prfc,Peptide chain release factor 3,Control,R2,1424060.8
Q88PH8,RF3_PSEPK,Prfc,Peptide chain release factor 3,Control,R3,1446011.7
Q88PH9,Q88PH9_PSEPK,Pp_0871,"Glycine betaine/carnitine/choline ABC transporter, permease protein",Control,R1,2958.51
Q88PH9,Q88PH9_PSEPK,Pp_0871,"Glycine betaine/carnitine/choline ABC transporter, permease protein",Control,R2,3861.35
Q88PH9,Q88PH9_PSEPK,Pp_0871,"Glycine betaine/carnitine/choline ABC transporter, permease protein",Control,R3,3093.94
Q88PI0,Q88PI0_PSEPK,Pp_0870,"Glycine betaine/carnitine/choline ABC transporter, periplasmic binding protein",Control,R1,156322.44
Q88PI0,Q88PI0_PSEPK,Pp_0870,"Glycine betaine/carnitine/choline ABC transporter, periplasmic binding protein",Control,R2,165466.4
Q88PI0,Q88PI0_PSEPK,Pp_0870,"Glycine betaine/carnitine/choline ABC transporter, periplasmic binding protein",Control,R3,307679.22
Q88PI1,Q88PI1_PSEPK,Yehw,Osmoprotectant ABC transporter permease subunit,Control,R1,81013.82
Q88PI1,Q88PI1_PSEPK,Yehw,Osmoprotectant ABC transporter permease subunit,Control,R2,72351
Q88PI1,Q88PI1_PSEPK,Yehw,Osmoprotectant ABC transporter permease subunit,Control,R3,75282.51
Q88PI2,Q88PI2_PSEPK,Yehx,Quaternary amine transport ATP-binding protein,Control,R1,376452.72
Q88PI2,Q88PI2_PSEPK,Yehx,Quaternary amine transport ATP-binding protein,Control,R2,406984.6
Q88PI2,Q88PI2_PSEPK,Yehx,Quaternary amine transport ATP-binding protein,Control,R3,498111.2
Q88PI6,Q88PI6_PSEPK,Spec,ornithine decarboxylase,Control,R1,1221776.82
Q88PI6,Q88PI6_PSEPK,Spec,ornithine decarboxylase,Control,R2,1519975.6
Q88PI6,Q88PI6_PSEPK,Spec,ornithine decarboxylase,Control,R3,1293011.28
Q88PI9,Q88PI9_PSEPK,Pp_0861,Outer membrane ferric siderophore receptor,Control,R1,14792.55
Q88PI9,Q88PI9_PSEPK,Pp_0861,Outer membrane ferric siderophore receptor,Control,R2,19306.75
Q88PI9,Q88PI9_PSEPK,Pp_0861,Outer membrane ferric siderophore receptor,Control,R3,30809.36
Q88PJ1,Q88PJ1_PSEPK,Pp_0859,Ketoglutaramate omega-amidase,Control,R1,77365.9
Q88PJ1,Q88PJ1_PSEPK,Pp_0859,Ketoglutaramate omega-amidase,Control,R2,92689.45
Q88PJ1,Q88PJ1_PSEPK,Pp_0859,Ketoglutaramate omega-amidase,Control,R3,85525
Q88PJ2,Q88PJ2_PSEPK,Pp_0858,Methionine/glutamine aminotransferase,Control,R1,5917.02
Q88PJ2,Q88PJ2_PSEPK,Pp_0858,Methionine/glutamine aminotransferase,Control,R2,181863.35
Q88PJ2,Q88PJ2_PSEPK,Pp_0858,Methionine/glutamine aminotransferase,Control,R3,239349.94
Q88PJ3,DER_PSEPK,Der,GTPase Der,Control,R1,1610676.75
Q88PJ3,DER_PSEPK,Der,GTPase Der,Control,R2,1620417
Q88PJ3,DER_PSEPK,Der,GTPase Der,Control,R3,1504641.28
Q88PJ4,Q88PJ4_PSEPK,Bamb,Outer membrane protein assembly factor BamB,Control,R1,2636347.84
Q88PJ4,Q88PJ4_PSEPK,Bamb,Outer membrane protein assembly factor BamB,Control,R2,2684296.45
Q88PJ4,Q88PJ4_PSEPK,Bamb,Outer membrane protein assembly factor BamB,Control,R3,2798686.92
Q88PJ5,Q88PJ5_PSEPK,Pp_0855,Ancillary SecYEG translocon subunit,Control,R1,577428.51
Q88PJ5,Q88PJ5_PSEPK,Pp_0855,Ancillary SecYEG translocon subunit,Control,R2,603508.3
Q88PJ5,Q88PJ5_PSEPK,Pp_0855,Ancillary SecYEG translocon subunit,Control,R3,538791.24
Q88PJ6,SYH_PSEPK,Hiss,Histidine--tRNA ligase,Control,R1,3002830.74
Q88PJ6,SYH_PSEPK,Hiss,Histidine--tRNA ligase,Control,R2,2959028.6
Q88PJ6,SYH_PSEPK,Hiss,Histidine--tRNA ligase,Control,R3,2848771.24
Q88PJ7,ISPG_PSEPK,Ispg,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),Control,R1,1296091.23
Q88PJ7,ISPG_PSEPK,Ispg,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),Control,R2,1405557.5
Q88PJ7,ISPG_PSEPK,Ispg,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),Control,R3,1301957.88
