Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance,Type
Q88DX1,Q88DX1_PSEPK,Pcnb,Poly(A) polymerase I,0812_0815-Control,803478.3333,0.019359696,-1.713101461,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1636666.667,0.032572306,-1.487151492,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1186666.667,0.023368602,-1.631367275,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1060877.333,0.021110963,-1.675491956,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1296666.667,0.024341255,-1.613657032,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1143998.333,0.022034103,-1.656904622,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1250000,0.025603291,-1.591704203,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1523333.333,0.029735857,-1.526719536,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,937244.3333,0.018300417,-1.737539013,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1250000,0.024963093,-1.602701603,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1410000,0.02913698,-1.53555546,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,1515791.667,0.031187894,-1.50601395,Control
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0812_0815-Control,652720.6,0.01572721,-1.803348312,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,18417.6,0.00036654,-3.435878693,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,404799.2067,0.007971566,-2.098456366,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,218326.8667,0.004344603,-2.362049944,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,84832.33333,0.001592488,-2.797923966,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,279660,0.005386422,-2.268699661,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,43747.2,0.000896058,-3.047663954,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,24726.53333,0.000482668,-3.316351249,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,12052.89333,0.000235342,-3.628300523,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,212229.9333,0.004238332,-2.372804978,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,94368.86667,0.001950088,-2.709945833,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,131967.2167,0.002715267,-2.566187408,Control
Q88DX4,GLUQ_PSEPK,Gluq,Glutamyl-Q tRNA(Asp) synthetase,0812_0815-Control,128642.4667,0.003099622,-2.508691273,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,3924244.067,0.078098786,-1.107355719,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,4531078,0.089228896,-1.04949448,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,3514075,0.06992845,-1.1553461,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,4511681,0.084694071,-1.072146993,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,6317202.333,0.121673156,-0.914805227,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,4139441,0.084786651,-1.071672519,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,4712848.3,0.091996007,-1.036231021,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,5256346.557,0.102634213,-0.988707845,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,3416696.967,0.06823306,-1.166005154,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,3034213.067,0.062700572,-1.202728498,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,3715284.517,0.076443157,-1.116661388,Control
Q88DX5,Q88DX5_PSEPK,Dksa,RNA polymerase-binding transcription factor DksA,0812_0815-Control,3240653.333,0.078083081,-1.107443056,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,607945.3333,0.012099093,-1.9172472,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,560344.3333,0.01103466,-1.957241034,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,487058.4,0.009692234,-2.013576088,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,459389,0.008623731,-2.064304787,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,546153.3333,0.010519245,-1.978015425,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,529598,0.010847561,-1.96466788,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,572608,0.011177455,-1.95165707,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,547999,0.010700102,-1.97061207,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,491197.6333,0.00980945,-2.00835535,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,581863,0.012023923,-1.919953831,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,558678.1833,0.011494981,-1.939491753,Control
Q88DX6,Q88DX6_PSEPK,Pp_4692,Aminotransferase,0812_0815-Control,22530.8,0.000542876,-3.265299019,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3523096.667,0.070115305,-1.15418717,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3208676.667,0.06318732,-1.199370062,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3372762,0.067116387,-1.17317143,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3306918.333,0.062078054,-1.207061909,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3203869,0.061708464,-1.209655264,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3029246.333,0.062046941,-1.207279625,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3304158.333,0.064498018,-1.190453631,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3115213.333,0.060826938,-1.215904043,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3190579.333,0.063717383,-1.195742068,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3609967,0.074598253,-1.127271341,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3853320.333,0.079283287,-1.100818351,Control
Q88DY4,Q88DY4_PSEPK,Pp_4684,Aminoglycoside phosphotransferase domain-containing protein,0812_0815-Control,3577692,0.08620398,-1.064472682,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,649123.6667,0.012918608,-1.888784286,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,564760.3333,0.011121623,-1.953831832,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,408660.0667,0.008132144,-2.089794925,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,640268,0.012019224,-1.920123582,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,641602.6667,0.012357657,-1.908063854,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,745773.3333,0.015275402,-1.816007366,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,578983.3333,0.011301903,-1.946848419,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,568649.3333,0.011103316,-1.954547302,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,878180.3333,0.017537678,-1.756027909,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,671211.3333,0.013870263,-1.857915292,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,840404,0.017291579,-1.762165355,Control
Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0812_0815-Control,228869.5333,0.005514579,-2.258487647,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1077305.067,0.021440108,-1.668773027,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1315426.333,0.02590422,-1.586629487,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1283593.333,0.025542907,-1.592729673,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1259455,0.023642711,-1.626302724,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1519172.667,0.029260189,-1.533722876,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,785743.6667,0.016094099,-1.793333327,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1506697,0.029411112,-1.531488558,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1462603.667,0.028558462,-1.544265178,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1555141.667,0.031056917,-1.507841658,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1135034.667,0.023454952,-1.629765446,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1268948.333,0.026109014,-1.583209526,Control
Q88DY6,Q88DY6_PSEPK,Pp_4682,Uncharacterized protein,0812_0815-Control,1452115,0.034988505,-1.45607462,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,6490000,0.129161466,-0.888867033,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,5226666.667,0.102926875,-0.987471215,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,5136666.667,0.102217265,-0.990475742,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,5976335,0.112188814,-0.950050445,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,5909811,0.113826551,-0.943756422,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,5530051.667,0.113270019,-0.945885027,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,4990000,0.09740608,-1.011413936,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,5646666.667,0.110255513,-0.957599685,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,4566666.667,0.0911985,-1.040012303,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,5755141.333,0.118927262,-0.924718579,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,5828869.667,0.119930841,-0.921069121,Control
Q88DY8,Q88DY8_PSEPK,Ilvi,Acetolactate synthase,0812_0815-Control,3643447.333,0.087788346,-1.056563135,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5233333.333,0.104151773,-0.982333332,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5746666.667,0.113167048,-0.946280011,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5726666.667,0.11395799,-0.943255221,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5423333.333,0.101807769,-0.99221908,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5270535.667,0.10151372,-0.993475257,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5320000,0.108967608,-0.962702584,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,4516678.633,0.088166725,-1.05469529,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5520000,0.107782249,-0.967452759,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,4998676.667,0.099825945,-1.00075657,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5074297.733,0.104857952,-0.979398627,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,5240000,0.107814661,-0.967322179,Control
Q88DY9,Q88DY9_PSEPK,Ilvh,Acetolactate synthase small subunit,0812_0815-Control,2927985.933,0.070549405,-1.151506645,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,30590000,0.608790333,-0.215532252,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,36553333.33,0.719831701,-0.142769031,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,37716666.67,0.750544035,-0.124623822,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,33123333.33,0.621797049,-0.206351343,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,34893333.33,0.672066805,-0.172587555,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,31830000,0.651962209,-0.185777577,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,29686666.67,0.579491346,-0.236953045,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,29696666.67,0.579850276,-0.236684132,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,32416666.67,0.647376215,-0.188843261,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,29783333.33,0.615458437,-0.21080127,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,30790000,0.63351401,-0.198243777,Control
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase (NADP(+)),0812_0815-Control,39136666.67,0.94299242,-0.025491798,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,334735.0667,0.006661768,-2.176410518,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,272728.77,0.00537075,-2.269965064,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,546908.6667,0.010883227,-1.96324232,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,386933,0.007263574,-2.138849608,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,612642.3333,0.011799864,-1.928123011,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,206129.3333,0.004222071,-2.374474417,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,60253.9,0.001176172,-2.929529319,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,243476.4467,0.004754065,-2.322934881,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,103402.2667,0.002064992,-2.685081557,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,226145.3667,0.004673187,-2.330386878,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,179957.85,0.00370269,-2.43148267,Control
Q88DZ4,Q88DZ4_PSEPK,Recc,RecBCD enzyme subunit RecC,0812_0815-Control,30041.06667,0.000723835,-3.140360282,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,258743.6667,0.005149416,-2.288242001,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,144962.8733,0.002854702,-2.54443923,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,314704.7333,0.006262477,-2.203253851,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,350588.3333,0.006581306,-2.181687919,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,146083.6667,0.00281366,-2.550728353,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,332400.3333,0.006808434,-2.166952765,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,271641.2667,0.005302507,-2.275518735,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,171484.2233,0.003348361,-2.475167665,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,231285.2667,0.004618877,-2.335463648,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,361411.4,0.007468395,-2.126772725,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,544325.6667,0.011199673,-1.950794652,Control
Q88DZ5,Q88DZ5_PSEPK,Recb,RecBCD enzyme subunit RecB,0812_0815-Control,288129.9333,0.00694245,-2.158487253,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,84744.13333,0.001686545,-2.773002087,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,369993.4367,0.007286148,-2.137501998,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,204806.0667,0.004075545,-2.389814309,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,444541,0.008345002,-2.078573556,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,558049,0.010748363,-1.96865768,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,99267,0.00203325,-2.691809319,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,446591.6667,0.008717584,-2.059603867,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,409497,0.007995744,-2.097141112,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,94209.93333,0.001881417,-2.725514919,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,403994.3333,0.008348351,-2.078399299,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,532360.6667,0.010953489,-1.960447505,Control
Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0812_0815-Control,22530.8,0.000542876,-3.265299019,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,150220.0333,0.002989621,-2.524383875,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,190520.54,0.003751853,-2.425754214,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,313996.6667,0.006248387,-2.204232088,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,241271.7333,0.004529195,-2.343978934,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,226488.7667,0.004362311,-2.360283347,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,330037.3333,0.006760034,-2.170051146,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,346803.6333,0.006769696,-2.169430843,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,318151.89,0.006212161,-2.206757329,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,453755.6667,0.009061716,-2.042789554,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,151072.1333,0.003121834,-2.505590211,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,184843.0333,0.003803204,-2.419850379,Control
Q88E00,Q88E00_PSEPK,Pp_4668,"Transcriptional regulator, LysR family",0812_0815-Control,22530.8,0.000542876,-3.265299019,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,5616666.667,0.111780725,-0.951633079,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,7206666.667,0.141918305,-0.847961583,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,6816666.667,0.13564848,-0.867585068,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,5260000,0.098741647,-1.005499634,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,5863333.333,0.112931363,-0.947185429,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,5323333.333,0.109035883,-0.962430554,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,4013333.333,0.078341296,-1.106009249,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,4166666.667,0.081357374,-1.089603078,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,3666666.667,0.073225073,-1.135340185,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,6230000,0.128739991,-0.890286526,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,5470000,0.112546984,-0.948666139,Control
Q88E01,Q88E01_PSEPK,Mmsa-ii,methylmalonate-semialdehyde dehydrogenase (CoA acylating),0812_0815-Control,3930000,0.094692791,-1.023683081,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,3774018.667,0.075109058,-1.124307686,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,4568067.667,0.08995732,-1.04596349,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,4290542.333,0.085379787,-1.068644935,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,3784447.667,0.071042318,-1.148482875,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,4162924.667,0.080180459,-1.095931462,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,3853251.333,0.078924733,-1.102786879,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,2996208.333,0.058486755,-1.232942474,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,3416245.333,0.06670482,-1.175842785,Control
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0812_0815-Control,2955235.667,0.059017459,-1.229019496,Control
