Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
Q88D43,Q88D43_PSEPK,Rsme,Ribosomal RNA small subunit methyltransferase E,PP_0815,R2,26502.22
Q88D43,Q88D43_PSEPK,Rsme,Ribosomal RNA small subunit methyltransferase E,PP_0815,R3,47658.773
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0815,R1,541348.8
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0815,R2,440041.8
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0815,R3,493702.4
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0815,R1,270377.48
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0815,R2,327096.02
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0815,R3,412153.873
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0815,R1,3140169.58
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0815,R2,2877294.32
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0815,R3,2265462.392
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0815,R1,3011752.8
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0815,R2,2515449.26
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0815,R3,2903587.338
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0815,R1,544034.96
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0815,R2,670267.42
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0815,R3,713226.4
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0815,R1,3302013.38
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0815,R2,2908176.2
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0815,R3,3371026.573
Q88D55,Q88D55_PSEPK,Pp_4972,MAPEG family protein,PP_0815,R1,263094
Q88D55,Q88D55_PSEPK,Pp_4972,MAPEG family protein,PP_0815,R2,245644
Q88D55,Q88D55_PSEPK,Pp_4972,MAPEG family protein,PP_0815,R3,218579
Q88D56,Q88D56_PSEPK,Pp_4971,Membrane-bound lytic murein transglycosylase A,PP_0815,R1,103942.58
Q88D56,Q88D56_PSEPK,Pp_4971,Membrane-bound lytic murein transglycosylase A,PP_0815,R2,48078.84
Q88D56,Q88D56_PSEPK,Pp_4971,Membrane-bound lytic murein transglycosylase A,PP_0815,R3,103802.173
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0815,R1,821208
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0815,R2,806893.6
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0815,R3,706744.9
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0815,R1,4424388.32
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0815,R2,2967706.04
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0815,R3,4627086.46
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0815,R1,12935353.28
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0815,R2,12790291.94
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0815,R3,11736288.82
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0815,R1,153420.86
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0815,R2,169846.92
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0815,R3,229995.573
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0815,R1,7257383.92
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0815,R2,6638670.8
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0815,R3,6491733.722
Q88D66,Q88D66_PSEPK,Pp_4961,Lipoprotein,PP_0815,R1,325816.9
Q88D66,Q88D66_PSEPK,Pp_4961,Lipoprotein,PP_0815,R2,391154.8
Q88D66,Q88D66_PSEPK,Pp_4961,Lipoprotein,PP_0815,R3,327391.6
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0815,R1,10749979.06
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0815,R2,10780177.72
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0815,R3,10937305.2
Q88D68,Q88D68_PSEPK,Pp_4959,Diguanylate cyclase,PP_0815,R1,485620.48
Q88D68,Q88D68_PSEPK,Pp_4959,Diguanylate cyclase,PP_0815,R2,283773.34
Q88D68,Q88D68_PSEPK,Pp_4959,Diguanylate cyclase,PP_0815,R3,506273
Q88D73,Q88D73_PSEPK,Pp_4954,Uncharacterized protein,PP_0815,R1,5753.48
Q88D73,Q88D73_PSEPK,Pp_4954,Uncharacterized protein,PP_0815,R2,34497.4
Q88D73,Q88D73_PSEPK,Pp_4954,Uncharacterized protein,PP_0815,R3,49389.5
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0815,R1,262011.06
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0815,R2,622335.16
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0815,R3,803208.619
Q88D77,Q88D77_PSEPK,Pp_4950,Metalloprotease TldD/E C-terminal domain-containing protein,PP_0815,R1,760715.18
Q88D77,Q88D77_PSEPK,Pp_4950,Metalloprotease TldD/E C-terminal domain-containing protein,PP_0815,R2,732892.36
Q88D77,Q88D77_PSEPK,Pp_4950,Metalloprotease TldD/E C-terminal domain-containing protein,PP_0815,R3,1017997.7
Q88D78,Q88D78_PSEPK,Pp_4949,"Peptidase, TldD/PmbA family",PP_0815,R1,136181.18
Q88D78,Q88D78_PSEPK,Pp_4949,"Peptidase, TldD/PmbA family",PP_0815,R2,253013.6
Q88D78,Q88D78_PSEPK,Pp_4949,"Peptidase, TldD/PmbA family",PP_0815,R3,245116.8
Q88D80,Q88D80_PSEPK,Puta,Bifunctional protein PutA,PP_0815,R1,2047340.76
Q88D80,Q88D80_PSEPK,Puta,Bifunctional protein PutA,PP_0815,R2,2772054.28
Q88D80,Q88D80_PSEPK,Puta,Bifunctional protein PutA,PP_0815,R3,2734617.092
Q88D82,Q88D82_PSEPK,Rlmj,Ribosomal RNA large subunit methyltransferase J,PP_0815,R1,113138.96
Q88D82,Q88D82_PSEPK,Rlmj,Ribosomal RNA large subunit methyltransferase J,PP_0815,R2,152246.84
Q88D82,Q88D82_PSEPK,Rlmj,Ribosomal RNA large subunit methyltransferase J,PP_0815,R3,110138.773
Q88D83,Q88D83_PSEPK,Pp_4944,Carbamoyltransferase,PP_0815,R1,2964466.62
Q88D83,Q88D83_PSEPK,Pp_4944,Carbamoyltransferase,PP_0815,R2,2865058.18
Q88D83,Q88D83_PSEPK,Pp_4944,Carbamoyltransferase,PP_0815,R3,3312343.519
Q88D84,Q88D84_PSEPK,Pp_4943,Glycosyl transferase,PP_0815,R1,64030.36
Q88D84,Q88D84_PSEPK,Pp_4943,Glycosyl transferase,PP_0815,R2,59342.54
Q88D84,Q88D84_PSEPK,Pp_4943,Glycosyl transferase,PP_0815,R3,61822.646
Q88D85,Q88D85_PSEPK,Pp_4942,GNAT family N-acetyltransferase,PP_0815,R1,85796.88
Q88D85,Q88D85_PSEPK,Pp_4942,GNAT family N-acetyltransferase,PP_0815,R2,57334.32
Q88D85,Q88D85_PSEPK,Pp_4942,GNAT family N-acetyltransferase,PP_0815,R3,75672.573
Q88D87,Q88D87_PSEPK,Pp_4940,Glycosyltransferase,PP_0815,R1,204297.4
Q88D87,Q88D87_PSEPK,Pp_4940,Glycosyltransferase,PP_0815,R2,163553.94
Q88D87,Q88D87_PSEPK,Pp_4940,Glycosyltransferase,PP_0815,R3,412790.2
Q88D88,Q88D88_PSEPK,Pp_4939,Glycosyltransferase family 2 protein,PP_0815,R1,174090.38
Q88D88,Q88D88_PSEPK,Pp_4939,Glycosyltransferase family 2 protein,PP_0815,R2,735606.22
Q88D88,Q88D88_PSEPK,Pp_4939,Glycosyltransferase family 2 protein,PP_0815,R3,130053.746
Q88D89,Q88D89_PSEPK,Pp_4938,Glycosyl transferase,PP_0815,R1,309573.2
Q88D89,Q88D89_PSEPK,Pp_4938,Glycosyl transferase,PP_0815,R2,251827.52
Q88D89,Q88D89_PSEPK,Pp_4938,Glycosyl transferase,PP_0815,R3,224860.573
Q88D90,Q88D90_PSEPK,Pp_4937,Toluene tolerance protein,PP_0815,R1,659813.46
Q88D90,Q88D90_PSEPK,Pp_4937,Toluene tolerance protein,PP_0815,R2,711661.34
Q88D90,Q88D90_PSEPK,Pp_4937,Toluene tolerance protein,PP_0815,R3,665552.346
Q88D92,MSBA_PSEPK,Msba,ATP-dependent lipid A-core flippase,PP_0815,R1,281010.46
Q88D92,MSBA_PSEPK,Msba,ATP-dependent lipid A-core flippase,PP_0815,R2,148303.3
Q88D92,MSBA_PSEPK,Msba,ATP-dependent lipid A-core flippase,PP_0815,R3,564251.373
Q88D93,HLDE_PSEPK,Hlde,Bifunctional protein HldE,PP_0815,R1,2755356.28
Q88D93,HLDE_PSEPK,Hlde,Bifunctional protein HldE,PP_0815,R2,2675423.42
Q88D93,HLDE_PSEPK,Hlde,Bifunctional protein HldE,PP_0815,R3,2921285.6
Q88D95,Q88D95_PSEPK,Pp_4932,D-arabinose 1-dehydrogenase,PP_0815,R1,294560.08
Q88D95,Q88D95_PSEPK,Pp_4932,D-arabinose 1-dehydrogenase,PP_0815,R2,133118.34
Q88D95,Q88D95_PSEPK,Pp_4932,D-arabinose 1-dehydrogenase,PP_0815,R3,163903.446
Q88D96,Q88D96_PSEPK,Pp_4931,FAD dependent oxidoreductase domain-containing protein,PP_0815,R1,983618.52
Q88D96,Q88D96_PSEPK,Pp_4931,FAD dependent oxidoreductase domain-containing protein,PP_0815,R2,1624410.14
Q88D96,Q88D96_PSEPK,Pp_4931,FAD dependent oxidoreductase domain-containing protein,PP_0815,R3,1227507.746
Q88D99,Q88D99_PSEPK,Waaa,3-deoxy-D-manno-octulosonic acid transferase,PP_0815,R1,125020.48
Q88D99,Q88D99_PSEPK,Waaa,3-deoxy-D-manno-octulosonic acid transferase,PP_0815,R2,171687.9
Q88D99,Q88D99_PSEPK,Waaa,3-deoxy-D-manno-octulosonic acid transferase,PP_0815,R3,161579
Q88DA4,Q88DA4_PSEPK,Pp_4923,Outer membrane efflux protein,PP_0815,R1,2662049.14
Q88DA4,Q88DA4_PSEPK,Pp_4923,Outer membrane efflux protein,PP_0815,R2,2223004.54
Q88DA4,Q88DA4_PSEPK,Pp_4923,Outer membrane efflux protein,PP_0815,R3,1935604.065
Q88DA5,THIC_PSEPK,Thic,Phosphomethylpyrimidine synthase,PP_0815,R1,2677171.84
Q88DA5,THIC_PSEPK,Thic,Phosphomethylpyrimidine synthase,PP_0815,R2,3463335.82
Q88DA5,THIC_PSEPK,Thic,Phosphomethylpyrimidine synthase,PP_0815,R3,3413535.084
Q88DA6,Q88DA6_PSEPK,Pp_4921,"Transporter, NCS1 nucleoside transporter family",PP_0815,R1,11506.96
Q88DA6,Q88DA6_PSEPK,Pp_4921,"Transporter, NCS1 nucleoside transporter family",PP_0815,R2,184595.42
Q88DA6,Q88DA6_PSEPK,Pp_4921,"Transporter, NCS1 nucleoside transporter family",PP_0815,R3,15147.373
Q88DA8,Q88DA8_PSEPK,Nudf,ADP-ribose pyrophosphatase,PP_0815,R1,1219627.48
Q88DA8,Q88DA8_PSEPK,Nudf,ADP-ribose pyrophosphatase,PP_0815,R2,934767.1
Q88DA8,Q88DA8_PSEPK,Nudf,ADP-ribose pyrophosphatase,PP_0815,R3,1163213.6
Q88DB1,Q88DB1_PSEPK,Pp_4916,Esterase,PP_0815,R1,148289.4
Q88DB1,Q88DB1_PSEPK,Pp_4916,Esterase,PP_0815,R2,150477.2
Q88DB1,Q88DB1_PSEPK,Pp_4916,Esterase,PP_0815,R3,145886
Q88DB2,Q88DB2_PSEPK,Pare,DNA topoisomerase 4 subunit B,PP_0815,R1,574217.24
Q88DB2,Q88DB2_PSEPK,Pare,DNA topoisomerase 4 subunit B,PP_0815,R2,721056.54
Q88DB2,Q88DB2_PSEPK,Pare,DNA topoisomerase 4 subunit B,PP_0815,R3,543770.319
Q88DB5,Q88DB5_PSEPK,Parc,DNA topoisomerase 4 subunit A,PP_0815,R1,2621233.5
Q88DB5,Q88DB5_PSEPK,Parc,DNA topoisomerase 4 subunit A,PP_0815,R2,1932021.02
Q88DB5,Q88DB5_PSEPK,Parc,DNA topoisomerase 4 subunit A,PP_0815,R3,880232.792
Q88DB6,Q88DB6_PSEPK,Pp_4911,ABC-type transport auxiliary lipoprotein component domain-containing protein,PP_0815,R1,948071.14
Q88DB6,Q88DB6_PSEPK,Pp_4911,ABC-type transport auxiliary lipoprotein component domain-containing protein,PP_0815,R2,723991.8
Q88DB6,Q88DB6_PSEPK,Pp_4911,ABC-type transport auxiliary lipoprotein component domain-containing protein,PP_0815,R3,734750.865
Q88DB7,Q88DB7_PSEPK,Pp_4910,Histidine kinase,PP_0815,R1,543113.48
Q88DB7,Q88DB7_PSEPK,Pp_4910,Histidine kinase,PP_0815,R2,582034.42
Q88DB7,Q88DB7_PSEPK,Pp_4910,Histidine kinase,PP_0815,R3,567130.873
Q88DB8,Q88DB8_PSEPK,Serb,Phosphoserine phosphatase,PP_0815,R1,3426264.38
Q88DB8,Q88DB8_PSEPK,Serb,Phosphoserine phosphatase,PP_0815,R2,3624965.12
Q88DB8,Q88DB8_PSEPK,Serb,Phosphoserine phosphatase,PP_0815,R3,3658315.1
Q88DB9,PSD_PSEPK,Psd,Phosphatidylserine decarboxylase proenzyme,PP_0815,R1,753635.46
Q88DB9,PSD_PSEPK,Psd,Phosphatidylserine decarboxylase proenzyme,PP_0815,R2,514395.84
Q88DB9,PSD_PSEPK,Psd,Phosphatidylserine decarboxylase proenzyme,PP_0815,R3,742588.746
Q88DC0,Q88DC0_PSEPK,Rhda,Sulfurtransferase,PP_0815,R1,1017384.98
Q88DC0,Q88DC0_PSEPK,Rhda,Sulfurtransferase,PP_0815,R2,1234558.33
Q88DC0,Q88DC0_PSEPK,Rhda,Sulfurtransferase,PP_0815,R3,1360599.373
Q88DC1,Q88DC1_PSEPK,Pp_4906,HDOD domain-containing protein,PP_0815,R1,149770.88
Q88DC1,Q88DC1_PSEPK,Pp_4906,HDOD domain-containing protein,PP_0815,R2,105115.64
Q88DC1,Q88DC1_PSEPK,Pp_4906,HDOD domain-containing protein,PP_0815,R3,219300
Q88DC3,Q88DC3_PSEPK,Motb,Flagellar motor rotation protein,PP_0815,R1,237943.02
Q88DC3,Q88DC3_PSEPK,Motb,Flagellar motor rotation protein,PP_0815,R2,319761.06
Q88DC3,Q88DC3_PSEPK,Motb,Flagellar motor rotation protein,PP_0815,R3,413477.419
Q88DC4,RSGA_PSEPK,Rsga,Small ribosomal subunit biogenesis GTPase RsgA,PP_0815,R1,193928.06
Q88DC4,RSGA_PSEPK,Rsga,Small ribosomal subunit biogenesis GTPase RsgA,PP_0815,R2,305360.92
Q88DC4,RSGA_PSEPK,Rsga,Small ribosomal subunit biogenesis GTPase RsgA,PP_0815,R3,364502.373
Q88DC5,ORN_PSEPK,Orn,Oligoribonuclease,PP_0815,R1,221850.2
Q88DC5,ORN_PSEPK,Orn,Oligoribonuclease,PP_0815,R2,793942.54
Q88DC5,ORN_PSEPK,Orn,Oligoribonuclease,PP_0815,R3,758910.046
Q88DC9,Q88DC9_PSEPK,Tsae,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,PP_0815,R1,1318214.48
Q88DC9,Q88DC9_PSEPK,Tsae,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,PP_0815,R2,1168181.26
Q88DC9,Q88DC9_PSEPK,Tsae,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,PP_0815,R3,1417495.873
Q88DD1,MUTL_PSEPK,Mutl,DNA mismatch repair protein MutL,PP_0815,R1,34520.88
Q88DD1,MUTL_PSEPK,Mutl,DNA mismatch repair protein MutL,PP_0815,R2,181957.06
Q88DD1,MUTL_PSEPK,Mutl,DNA mismatch repair protein MutL,PP_0815,R3,264862.746
Q88DD2,MIAA_PSEPK,Miaa,tRNA dimethylallyltransferase,PP_0815,R1,474885
Q88DD2,MIAA_PSEPK,Miaa,tRNA dimethylallyltransferase,PP_0815,R2,482296
Q88DD2,MIAA_PSEPK,Miaa,tRNA dimethylallyltransferase,PP_0815,R3,441486
Q88DD3,HFQ_PSEPK,Hfq,RNA-binding protein Hfq,PP_0815,R1,9103157.4
Q88DD3,HFQ_PSEPK,Hfq,RNA-binding protein Hfq,PP_0815,R2,8086082.7
Q88DD3,HFQ_PSEPK,Hfq,RNA-binding protein Hfq,PP_0815,R3,9179642.873
Q88DD4,Q88DD4_PSEPK,Hflx,GTPase HflX,PP_0815,R1,1897358.72
Q88DD4,Q88DD4_PSEPK,Hflx,GTPase HflX,PP_0815,R2,1814221.28
Q88DD4,Q88DD4_PSEPK,Hflx,GTPase HflX,PP_0815,R3,1919263.273
Q88DD5,Q88DD5_PSEPK,Hflk,Protein HflK,PP_0815,R1,8556692.4
Q88DD5,Q88DD5_PSEPK,Hflk,Protein HflK,PP_0815,R2,7973905
Q88DD5,Q88DD5_PSEPK,Hflk,Protein HflK,PP_0815,R3,8124057.7
Q88DD6,Q88DD6_PSEPK,Hflc,Protein HflC,PP_0815,R1,8766245.78
Q88DD6,Q88DD6_PSEPK,Hflc,Protein HflC,PP_0815,R2,7792224.02
Q88DD6,Q88DD6_PSEPK,Hflc,Protein HflC,PP_0815,R3,8073809.546
Q88DD7,HISZ_PSEPK,Hisz,ATP phosphoribosyltransferase regulatory subunit,PP_0815,R1,2993197.48
Q88DD7,HISZ_PSEPK,Hisz,ATP phosphoribosyltransferase regulatory subunit,PP_0815,R2,3003411.42
Q88DD7,HISZ_PSEPK,Hisz,ATP phosphoribosyltransferase regulatory subunit,PP_0815,R3,2933687.746
Q88DD8,PURA_PSEPK,Pura,Adenylosuccinate synthetase,PP_0815,R1,12707985.76
Q88DD8,PURA_PSEPK,Pura,Adenylosuccinate synthetase,PP_0815,R2,12861994.64
Q88DD8,PURA_PSEPK,Pura,Adenylosuccinate synthetase,PP_0815,R3,13004125.15
Q88DD9,Q88DD9_PSEPK,Pp_4888,Methyl-accepting chemotaxis transducer,PP_0815,R1,1184767.72
Q88DD9,Q88DD9_PSEPK,Pp_4888,Methyl-accepting chemotaxis transducer,PP_0815,R2,1070810.72
Q88DD9,Q88DD9_PSEPK,Pp_4888,Methyl-accepting chemotaxis transducer,PP_0815,R3,2054397.765
Q88DE5,Q88DE5_PSEPK,Pp_4881,"Iron ABC transporter, periplasmic iron-binding protein",PP_0815,R1,2248445.94
Q88DE5,Q88DE5_PSEPK,Pp_4881,"Iron ABC transporter, periplasmic iron-binding protein",PP_0815,R2,1901608.8
Q88DE5,Q88DE5_PSEPK,Pp_4881,"Iron ABC transporter, periplasmic iron-binding protein",PP_0815,R3,1991849.646
Q88DE6,Q88DE6_PSEPK,Rnr,Ribonuclease R,PP_0815,R1,9243964.04
Q88DE6,Q88DE6_PSEPK,Rnr,Ribonuclease R,PP_0815,R2,7970204.88
Q88DE6,Q88DE6_PSEPK,Rnr,Ribonuclease R,PP_0815,R3,7660915.157
Q88DE7,RLMB_PSEPK,Rlmb,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,PP_0815,R1,602804.6
Q88DE7,RLMB_PSEPK,Rlmb,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,PP_0815,R2,636669.2
Q88DE7,RLMB_PSEPK,Rlmb,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,PP_0815,R3,638588.6
Q88DE8,RS6_PSEPK,Rpsf,Small ribosomal subunit protein bS6,PP_0815,R1,12358837.28
Q88DE8,RS6_PSEPK,Rpsf,Small ribosomal subunit protein bS6,PP_0815,R2,12072883.62
Q88DE8,RS6_PSEPK,Rpsf,Small ribosomal subunit protein bS6,PP_0815,R3,11136664.94
Q88DE9,RS18_PSEPK,Rpsr,Small ribosomal subunit protein bS18,PP_0815,R1,5529492.08
Q88DE9,RS18_PSEPK,Rpsr,Small ribosomal subunit protein bS18,PP_0815,R2,5691283.22
Q88DE9,RS18_PSEPK,Rpsr,Small ribosomal subunit protein bS18,PP_0815,R3,4983948.473
Q88DF1,RL9_PSEPK,Rpli,Large ribosomal subunit protein bL9,PP_0815,R1,13312841.78
Q88DF1,RL9_PSEPK,Rpli,Large ribosomal subunit protein bL9,PP_0815,R2,13714759.72
Q88DF1,RL9_PSEPK,Rpli,Large ribosomal subunit protein bL9,PP_0815,R3,12245158.67
Q88DF2,Q88DF2_PSEPK,Dnab,Replicative DNA helicase,PP_0815,R1,373996.72
Q88DF2,Q88DF2_PSEPK,Dnab,Replicative DNA helicase,PP_0815,R2,445145.48
Q88DF2,Q88DF2_PSEPK,Dnab,Replicative DNA helicase,PP_0815,R3,584974.619
Q88DF4,Q88DF4_PSEPK,Pp_4871,Cytokinin riboside 5'-monophosphate phosphoribohydrolase,PP_0815,R1,38596.58
Q88DF4,Q88DF4_PSEPK,Pp_4871,Cytokinin riboside 5'-monophosphate phosphoribohydrolase,PP_0815,R2,38121.82
Q88DF4,Q88DF4_PSEPK,Pp_4871,Cytokinin riboside 5'-monophosphate phosphoribohydrolase,PP_0815,R3,41181.773
Q88DF5,Q88DF5_PSEPK,Pp_4870,Azurin,PP_0815,R1,2951668.26
Q88DF5,Q88DF5_PSEPK,Pp_4870,Azurin,PP_0815,R2,3060280.14
Q88DF5,Q88DF5_PSEPK,Pp_4870,Azurin,PP_0815,R3,3024397.673
Q88DF6,NADE_PSEPK,Nade,NH(3)-dependent NAD(+) synthetase,PP_0815,R1,5205606
Q88DF6,NADE_PSEPK,Nade,NH(3)-dependent NAD(+) synthetase,PP_0815,R2,5237504
Q88DF6,NADE_PSEPK,Nade,NH(3)-dependent NAD(+) synthetase,PP_0815,R3,5489689
Q88DF7,PNCB_PSEPK,Pncb,Nicotinate phosphoribosyltransferase,PP_0815,R1,108736
Q88DF7,PNCB_PSEPK,Pncb,Nicotinate phosphoribosyltransferase,PP_0815,R2,86941.9
Q88DF7,PNCB_PSEPK,Pncb,Nicotinate phosphoribosyltransferase,PP_0815,R3,62804.5
Q88DF8,Q88DF8_PSEPK,Pp_4867,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein (BraC-like)",PP_0815,R1,8635393.3
Q88DF8,Q88DF8_PSEPK,Pp_4867,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein (BraC-like)",PP_0815,R2,10043838.66
Q88DF8,Q88DF8_PSEPK,Pp_4867,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein (BraC-like)",PP_0815,R3,8959363.446
Q88DF9,Q88DF9_PSEPK,Brad,High-affinity branched-chain amino acid transport system permease protein BraD,PP_0815,R1,352976
Q88DF9,Q88DF9_PSEPK,Brad,High-affinity branched-chain amino acid transport system permease protein BraD,PP_0815,R2,227800
Q88DF9,Q88DF9_PSEPK,Brad,High-affinity branched-chain amino acid transport system permease protein BraD,PP_0815,R3,412519
Q88DG1,Q88DG1_PSEPK,Braf,High-affinity branched-chain amino acid transport ATP-binding protein BraF,PP_0815,R1,125958.44
Q88DG1,Q88DG1_PSEPK,Braf,High-affinity branched-chain amino acid transport ATP-binding protein BraF,PP_0815,R2,438586.84
Q88DG1,Q88DG1_PSEPK,Braf,High-affinity branched-chain amino acid transport ATP-binding protein BraF,PP_0815,R3,353804.236
Q88DG2,Q88DG2_PSEPK,Livf-ii,High-affinity branched-chain amino acid transport ATP-binding protein,PP_0815,R1,202468.46
Q88DG2,Q88DG2_PSEPK,Livf-ii,High-affinity branched-chain amino acid transport ATP-binding protein,PP_0815,R2,137457.08
Q88DG2,Q88DG2_PSEPK,Livf-ii,High-affinity branched-chain amino acid transport ATP-binding protein,PP_0815,R3,179689.019
Q88DG3,Q88DG3_PSEPK,Ydfg,"3-hydroxy acid dehydrogenase, NADP-dependent / malonic semialdehyde reductase",PP_0815,R1,2389592
Q88DG3,Q88DG3_PSEPK,Ydfg,"3-hydroxy acid dehydrogenase, NADP-dependent / malonic semialdehyde reductase",PP_0815,R2,2405419
Q88DG3,Q88DG3_PSEPK,Ydfg,"3-hydroxy acid dehydrogenase, NADP-dependent / malonic semialdehyde reductase",PP_0815,R3,2202848
Q88DG9,Q88DG9_PSEPK,Pp_4856,Bacterioferritin,PP_0815,R1,108383.48
Q88DG9,Q88DG9_PSEPK,Pp_4856,Bacterioferritin,PP_0815,R2,372342
Q88DG9,Q88DG9_PSEPK,Pp_4856,Bacterioferritin,PP_0815,R3,307689
Q88DH4,Q88DH4_PSEPK,Pp_4851,"Phosphate starvation-inducible protein, PSIF",PP_0815,R1,208822
Q88DH4,Q88DH4_PSEPK,Pp_4851,"Phosphate starvation-inducible protein, PSIF",PP_0815,R2,369633
Q88DH4,Q88DH4_PSEPK,Pp_4851,"Phosphate starvation-inducible protein, PSIF",PP_0815,R3,285646
Q88DH7,CBPA_PSEPK,Cbpa,Curved DNA-binding protein,PP_0815,R1,2681234.34
Q88DH7,CBPA_PSEPK,Cbpa,Curved DNA-binding protein,PP_0815,R2,2547135.8
Q88DH7,CBPA_PSEPK,Cbpa,Curved DNA-binding protein,PP_0815,R3,2646357.373
Q88DH8,CBPM_PSEPK,Cbpm,Chaperone modulatory protein CbpM,PP_0815,R1,318403
Q88DH8,CBPM_PSEPK,Cbpm,Chaperone modulatory protein CbpM,PP_0815,R2,319279
Q88DH8,CBPM_PSEPK,Cbpm,Chaperone modulatory protein CbpM,PP_0815,R3,244309
Q88DH9,Q88DH9_PSEPK,Mnat,L-amino acid N-acyltransferase,PP_0815,R1,329041.48
Q88DH9,Q88DH9_PSEPK,Mnat,L-amino acid N-acyltransferase,PP_0815,R2,1137797.4
Q88DH9,Q88DH9_PSEPK,Mnat,L-amino acid N-acyltransferase,PP_0815,R3,839687.9
Q88DI0,Q88DI0_PSEPK,Urte,"Urea ABC transporter, ATP-binding protein",PP_0815,R1,196538.78
Q88DI0,Q88DI0_PSEPK,Urte,"Urea ABC transporter, ATP-binding protein",PP_0815,R2,211904.42
Q88DI0,Q88DI0_PSEPK,Urte,"Urea ABC transporter, ATP-binding protein",PP_0815,R3,183288.1
Q88DI1,Q88DI1_PSEPK,Urtd,"Urea ABC transporter, ATP-binding protein",PP_0815,R1,117000
Q88DI1,Q88DI1_PSEPK,Urtd,"Urea ABC transporter, ATP-binding protein",PP_0815,R2,56298.6
Q88DI1,Q88DI1_PSEPK,Urtd,"Urea ABC transporter, ATP-binding protein",PP_0815,R3,86813.1
Q88DI3,Q88DI3_PSEPK,Urtb,Urea ABC transporter,PP_0815,R1,361702.48
