Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance,Type
Q88CR6,Q88CR6_PSEPK,Pp_5114,Ribosomal RNA small subunit methyltransferase D,0812_0815-Control,R3,653862.7333,0.014176755,-1.848423175,0812_0815_NONTARGET
Q88CR7,Q88CR7_PSEPK,Pp_5113,Predicted Zn-dependent peptidases,0812_0815-Control,R1,141985.1333,0.00307332,-2.512392164,0812_0815_NONTARGET
Q88CR7,Q88CR7_PSEPK,Pp_5113,Predicted Zn-dependent peptidases,0812_0815-Control,R2,414010.4667,0.00888862,-2.051165664,0812_0815_NONTARGET
Q88CR7,Q88CR7_PSEPK,Pp_5113,Predicted Zn-dependent peptidases,0812_0815-Control,R3,108071.7333,0.002343162,-2.630197644,0812_0815_NONTARGET
Q88CR8,Q88CR8_PSEPK,Pp_5112,Processin peptidase,0812_0815-Control,R1,502904.8,0.010885559,-1.963149257,0812_0815_NONTARGET
Q88CR8,Q88CR8_PSEPK,Pp_5112,Processin peptidase,0812_0815-Control,R2,921995.1333,0.019794824,-1.703448356,0812_0815_NONTARGET
Q88CR8,Q88CR8_PSEPK,Pp_5112,Processin peptidase,0812_0815-Control,R3,1373333.333,0.029775989,-1.526133799,0812_0815_NONTARGET
Q88CR9,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,0812_0815-Control,R1,2563333.333,0.055484292,-1.255829952,0812_0815_NONTARGET
Q88CR9,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,0812_0815-Control,R2,2840000,0.060973532,-1.214858645,0812_0815_NONTARGET
Q88CR9,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,0812_0815-Control,R3,2623333.333,0.056877921,-1.245056283,0812_0815_NONTARGET
Q88CS0,Q88CS0_PSEPK,Ftse,Cell division ATP-binding protein FtsE,0812_0815-Control,R1,970978,0.021017176,-1.677425648,0812_0815_NONTARGET
Q88CS0,Q88CS0_PSEPK,Ftse,Cell division ATP-binding protein FtsE,0812_0815-Control,R2,477323.6,0.010247925,-1.989364078,0812_0815_NONTARGET
Q88CS0,Q88CS0_PSEPK,Ftse,Cell division ATP-binding protein FtsE,0812_0815-Control,R3,770697.7,0.016709917,-1.777025698,0812_0815_NONTARGET
Q88CS1,Q88CS1_PSEPK,Ftsx,Cell division protein FtsX,0812_0815-Control,R1,181307.7333,0.003924473,-2.406218709,0812_0815_NONTARGET
Q88CS1,Q88CS1_PSEPK,Ftsx,Cell division protein FtsX,0812_0815-Control,R2,247765.2667,0.00531941,-2.274136561,0812_0815_NONTARGET
Q88CS1,Q88CS1_PSEPK,Ftsx,Cell division protein FtsX,0812_0815-Control,R3,133795.0667,0.002900884,-2.537469661,0812_0815_NONTARGET
Q88CS6,THIG_PSEPK,Thig,Thiazole synthase,0812_0815-Control,R1,1394398.667,0.030182271,-1.520248079,0812_0815_NONTARGET
Q88CS6,THIG_PSEPK,Thig,Thiazole synthase,0812_0815-Control,R2,1950000,0.04186563,-1.378142374,0812_0815_NONTARGET
Q88CS6,THIG_PSEPK,Thig,Thiazole synthase,0812_0815-Control,R3,1470614.367,0.031885193,-1.496410956,0812_0815_NONTARGET
Q88CS7,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,0812_0815-Control,R1,828905.6667,0.017941968,-1.746129929,0812_0815_NONTARGET
Q88CS7,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,0812_0815-Control,R2,832323.8,0.01786962,-1.747884672,0812_0815_NONTARGET
Q88CS7,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,0812_0815-Control,R3,525678.3667,0.01139752,-1.943189656,0812_0815_NONTARGET
Q88CT1,Q88CT1_PSEPK,Pp_5099,DUF4426 domain-containing protein,0812_0815-Control,R1,14357.2,0.000310767,-3.507565287,0812_0815_NONTARGET
Q88CT1,Q88CT1_PSEPK,Pp_5099,DUF4426 domain-containing protein,0812_0815-Control,R2,211859.8,0.004548535,-2.342128427,0812_0815_NONTARGET
Q88CT1,Q88CT1_PSEPK,Pp_5099,DUF4426 domain-containing protein,0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
Q88CT2,Q88CT2_PSEPK,Metw,Methionine biosynthesis protein MetW,0812_0815-Control,R1,379691.8,0.008218569,-2.08520382,0812_0815_NONTARGET
Q88CT2,Q88CT2_PSEPK,Metw,Methionine biosynthesis protein MetW,0812_0815-Control,R2,627569.8,0.013473643,-1.870514949,0812_0815_NONTARGET
Q88CT2,Q88CT2_PSEPK,Metw,Methionine biosynthesis protein MetW,0812_0815-Control,R3,414479.7333,0.008986561,-2.046406461,0812_0815_NONTARGET
Q88CT5,Q88CT5_PSEPK,Proi,Pyrroline-5-carboxylate reductase,0812_0815-Control,R1,2303333.333,0.049856496,-1.302278245,0812_0815_NONTARGET
Q88CT5,Q88CT5_PSEPK,Proi,Pyrroline-5-carboxylate reductase,0812_0815-Control,R2,2620000,0.05625023,-1.249875694,0812_0815_NONTARGET
Q88CT5,Q88CT5_PSEPK,Proi,Pyrroline-5-carboxylate reductase,0812_0815-Control,R3,2833333.333,0.061431046,-1.21161209,0812_0815_NONTARGET
Q88CU0,Q88CU0_PSEPK,Pp_5090,Cell division protein,0812_0815-Control,R1,920414,0.019922699,-1.700651822,0812_0815_NONTARGET
Q88CU0,Q88CU0_PSEPK,Pp_5090,Cell division protein,0812_0815-Control,R2,831574,0.017853523,-1.748276083,0812_0815_NONTARGET
Q88CU0,Q88CU0_PSEPK,Pp_5090,Cell division protein,0812_0815-Control,R3,1020848,0.022133563,-1.654948679,0812_0815_NONTARGET
Q88CU1,SYR_PSEPK,Args,Arginine--tRNA ligase,0812_0815-Control,R1,5403202.333,0.1169543,-0.931983807,0812_0815_NONTARGET
Q88CU1,SYR_PSEPK,Args,Arginine--tRNA ligase,0812_0815-Control,R2,5688661.8,0.12213303,-0.91316687,0812_0815_NONTARGET
Q88CU1,SYR_PSEPK,Args,Arginine--tRNA ligase,0812_0815-Control,R3,5752299.333,0.124718741,-0.904068283,0812_0815_NONTARGET
Q88CU3,RL31_PSEPK,Rpme,Large ribosomal subunit protein bL31,0812_0815-Control,R1,568102.4,0.012296785,-1.910208414,0812_0815_NONTARGET
Q88CU3,RL31_PSEPK,Rpme,Large ribosomal subunit protein bL31,0812_0815-Control,R2,925328.4667,0.019866389,-1.701881062,0812_0815_NONTARGET
Q88CU3,RL31_PSEPK,Rpme,Large ribosomal subunit protein bL31,0812_0815-Control,R3,477349.7,0.010349679,-1.985073107,0812_0815_NONTARGET
Q88CU5,Q88CU5_PSEPK,Maeb,Malic enzyme B,0812_0815-Control,R1,14476238.13,0.313343493,-0.503979319,0812_0815_NONTARGET
Q88CU5,Q88CU5_PSEPK,Maeb,Malic enzyme B,0812_0815-Control,R2,14701995.13,0.315645273,-0.50080071,0812_0815_NONTARGET
Q88CU5,Q88CU5_PSEPK,Maeb,Malic enzyme B,0812_0815-Control,R3,14997281.03,0.325164233,-0.487897231,0812_0815_NONTARGET
Q88CU6,Q88CU6_PSEPK,Mrca,Penicillin-binding protein 1A,0812_0815-Control,R1,1229648.333,0.02661619,-1.574854112,0812_0815_NONTARGET
Q88CU6,Q88CU6_PSEPK,Mrca,Penicillin-binding protein 1A,0812_0815-Control,R2,1053927.467,0.022627352,-1.645366262,0812_0815_NONTARGET
Q88CU6,Q88CU6_PSEPK,Mrca,Penicillin-binding protein 1A,0812_0815-Control,R3,1328577.667,0.028805617,-1.540522813,0812_0815_NONTARGET
Q88CV1,AROK_PSEPK,Arok,Shikimate kinase,0812_0815-Control,R1,492654.4667,0.010663687,-1.972092613,0812_0815_NONTARGET
Q88CV1,AROK_PSEPK,Arok,Shikimate kinase,0812_0815-Control,R2,650313.1333,0.013961933,-1.85505446,0812_0815_NONTARGET
Q88CV1,AROK_PSEPK,Arok,Shikimate kinase,0812_0815-Control,R3,458509.7667,0.0099412,-2.00256117,0812_0815_NONTARGET
Q88CV2,AROB_PSEPK,Arob,3-dehydroquinate synthase,0812_0815-Control,R1,1822330.733,0.039445018,-1.404007838,0812_0815_NONTARGET
Q88CV2,AROB_PSEPK,Arob,3-dehydroquinate synthase,0812_0815-Control,R2,2110673.333,0.045315214,-1.343755962,0812_0815_NONTARGET
Q88CV2,AROB_PSEPK,Arob,3-dehydroquinate synthase,0812_0815-Control,R3,2043043.333,0.044296337,-1.353632183,0812_0815_NONTARGET
Q88CV3,Q88CV3_PSEPK,Pp_5077,SPOR domain-containing protein,0812_0815-Control,R1,1612939,0.034912657,-1.457017094,0812_0815_NONTARGET
Q88CV3,Q88CV3_PSEPK,Pp_5077,SPOR domain-containing protein,0812_0815-Control,R2,1863902.667,0.040017158,-1.397753755,0812_0815_NONTARGET
Q88CV3,Q88CV3_PSEPK,Pp_5077,SPOR domain-containing protein,0812_0815-Control,R3,1112030.667,0.024110544,-1.617792997,0812_0815_NONTARGET
Q88CV4,Q88CV4_PSEPK,Gltb,L-glutamate synthase(NADPH) alpha subunit,0812_0815-Control,R1,6696666.667,0.144951811,-0.838776355,0812_0815_NONTARGET
Q88CV4,Q88CV4_PSEPK,Gltb,L-glutamate synthase(NADPH) alpha subunit,0812_0815-Control,R2,7010000,0.150501571,-0.822458967,0812_0815_NONTARGET
Q88CV4,Q88CV4_PSEPK,Gltb,L-glutamate synthase(NADPH) alpha subunit,0812_0815-Control,R3,5967108.667,0.129376139,-0.888145814,0812_0815_NONTARGET
Q88CV5,Q88CV5_PSEPK,Gltd,Glutamate synthase (NADPH) beta subunit,0812_0815-Control,R1,2152904.8,0.046600415,-1.331610211,0812_0815_NONTARGET
Q88CV5,Q88CV5_PSEPK,Gltd,Glutamate synthase (NADPH) beta subunit,0812_0815-Control,R2,2458661.8,0.052786371,-1.277478191,0812_0815_NONTARGET
Q88CV5,Q88CV5_PSEPK,Gltd,Glutamate synthase (NADPH) beta subunit,0812_0815-Control,R3,2144562.067,0.04649742,-1.332571141,0812_0815_NONTARGET
Q88CV6,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,0812_0815-Control,R1,756018.0667,0.016364289,-1.786102864,0812_0815_NONTARGET
Q88CV6,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,0812_0815-Control,R2,716356.6,0.015379856,-1.813047719,0812_0815_NONTARGET
Q88CV6,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,0812_0815-Control,R3,1149749.667,0.02492835,-1.603306468,0812_0815_NONTARGET
Q88CW1,Q88CW1_PSEPK,Trxc,Thioredoxin 2,0812_0815-Control,R1,268867.7333,0.005819741,-2.235096352,0812_0815_NONTARGET
Q88CW1,Q88CW1_PSEPK,Trxc,Thioredoxin 2,0812_0815-Control,R2,15985.4,0.000343199,-3.464453477,0812_0815_NONTARGET
Q88CW1,Q88CW1_PSEPK,Trxc,Thioredoxin 2,0812_0815-Control,R3,168510.4,0.003653566,-2.437283051,0812_0815_NONTARGET
Q88CW2,SELO_PSEPK,Selo,Protein adenylyltransferase SelO,0812_0815-Control,R1,294502.0667,0.006374605,-2.195546691,0812_0815_NONTARGET
Q88CW2,SELO_PSEPK,Selo,Protein adenylyltransferase SelO,0812_0815-Control,R2,198549.3333,0.004262766,-2.370308552,0812_0815_NONTARGET
Q88CW2,SELO_PSEPK,Selo,Protein adenylyltransferase SelO,0812_0815-Control,R3,162279.4333,0.003518469,-2.453646278,0812_0815_NONTARGET
Q88CW3,Q88CW3_PSEPK,Kefa,"Mechanosensitive channel protein, intermediate (Smaller, MscS-like) conductance, K+ efflux",0812_0815-Control,R1,415144,0.008985944,-2.046436272,0812_0815_NONTARGET
Q88CW3,Q88CW3_PSEPK,Kefa,"Mechanosensitive channel protein, intermediate (Smaller, MscS-like) conductance, K+ efflux",0812_0815-Control,R2,257289.4667,0.00552389,-2.257754978,0812_0815_NONTARGET
Q88CW3,Q88CW3_PSEPK,Kefa,"Mechanosensitive channel protein, intermediate (Smaller, MscS-like) conductance, K+ efflux",0812_0815-Control,R3,189220.3667,0.00410259,-2.386941881,0812_0815_NONTARGET
Q88CW6,BETA_PSEPK,Beta,Oxygen-dependent choline dehydrogenase,0812_0815-Control,R1,844450.4,0.018278439,-1.738060892,0812_0815_NONTARGET
Q88CW6,BETA_PSEPK,Beta,Oxygen-dependent choline dehydrogenase,0812_0815-Control,R2,554298.6,0.011900544,-1.924433203,0812_0815_NONTARGET
Q88CW6,BETA_PSEPK,Beta,Oxygen-dependent choline dehydrogenase,0812_0815-Control,R3,474046.7333,0.010278066,-1.988088603,0812_0815_NONTARGET
Q88CW7,BETB_PSEPK,Betb,Betaine aldehyde dehydrogenase,0812_0815-Control,R1,1146388,0.024813989,-1.605303406,0812_0815_NONTARGET
Q88CW7,BETB_PSEPK,Betb,Betaine aldehyde dehydrogenase,0812_0815-Control,R2,933990.2667,0.020052354,-1.697834635,0812_0815_NONTARGET
Q88CW7,BETB_PSEPK,Betb,Betaine aldehyde dehydrogenase,0812_0815-Control,R3,1317480.333,0.02856501,-1.54416562,0812_0815_NONTARGET
Q88CX2,Q88CX2_PSEPK,Ctpa,Carboxy-terminal-processing protease,0812_0815-Control,R1,1314785.733,0.02845902,-1.545780055,0812_0815_NONTARGET
Q88CX2,Q88CX2_PSEPK,Ctpa,Carboxy-terminal-processing protease,0812_0815-Control,R2,1900000,0.040792152,-1.389423384,0812_0815_NONTARGET
Q88CX2,Q88CX2_PSEPK,Ctpa,Carboxy-terminal-processing protease,0812_0815-Control,R3,1267281.033,0.027476612,-1.561036826,0812_0815_NONTARGET
Q88CX3,Q88CX3_PSEPK,Pp_5057,"Peptidase, M23/M37 family",0812_0815-Control,R1,14357.2,0.000310767,-3.507565287,0812_0815_NONTARGET
Q88CX3,Q88CX3_PSEPK,Pp_5057,"Peptidase, M23/M37 family",0812_0815-Control,R2,15985.4,0.000343199,-3.464453477,0812_0815_NONTARGET
Q88CX3,Q88CX3_PSEPK,Pp_5057,"Peptidase, M23/M37 family",0812_0815-Control,R3,19257.76667,0.000417538,-3.37930384,0812_0815_NONTARGET
Q88CX4,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",0812_0815-Control,R1,3290000,0.071213259,-1.14743914,0812_0815_NONTARGET
Q88CX4,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",0812_0815-Control,R2,3116666.667,0.066913442,-1.174486629,0812_0815_NONTARGET
Q88CX4,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",0812_0815-Control,R3,3090000,0.066995976,-1.173951281,0812_0815_NONTARGET
Q88CX5,Q88CX5_PSEPK,Pp_5055,Sulfurtransferase,0812_0815-Control,R1,1626251.667,0.035200815,-1.453447283,0812_0815_NONTARGET
Q88CX5,Q88CX5_PSEPK,Pp_5055,Sulfurtransferase,0812_0815-Control,R2,1620669.667,0.034795054,-1.458482481,0812_0815_NONTARGET
Q88CX5,Q88CX5_PSEPK,Pp_5055,Sulfurtransferase,0812_0815-Control,R3,1576380.667,0.034178369,-1.466248661,0812_0815_NONTARGET
Q88CX7,SECB_PSEPK,Secb,Protein-export protein SecB,0812_0815-Control,R1,6590244.667,0.142648267,-0.845733499,0812_0815_NONTARGET
Q88CX7,SECB_PSEPK,Secb,Protein-export protein SecB,0812_0815-Control,R2,6943333.333,0.149070267,-0.82660897,0812_0815_NONTARGET
Q88CX7,SECB_PSEPK,Secb,Protein-export protein SecB,0812_0815-Control,R3,7136836,0.154737636,-0.810404044,0812_0815_NONTARGET
Q88CY1,Q88CY1_PSEPK,Glng,DNA-binding transcriptional regulator NtrC,0812_0815-Control,R1,2493333.333,0.053969116,-1.267854694,0812_0815_NONTARGET
Q88CY1,Q88CY1_PSEPK,Glng,DNA-binding transcriptional regulator NtrC,0812_0815-Control,R2,2790000,0.059900055,-1.222572782,0812_0815_NONTARGET
Q88CY1,Q88CY1_PSEPK,Glng,DNA-binding transcriptional regulator NtrC,0812_0815-Control,R3,2893333.333,0.062731939,-1.20251129,0812_0815_NONTARGET
Q88CY2,Q88CY2_PSEPK,Glnl,Sensory histidine kinase/phosphatase NtrB,0812_0815-Control,R1,895087,0.019374487,-1.712769788,0812_0815_NONTARGET
Q88CY2,Q88CY2_PSEPK,Glnl,Sensory histidine kinase/phosphatase NtrB,0812_0815-Control,R2,973133.3333,0.020892738,-1.680004636,0812_0815_NONTARGET
Q88CY2,Q88CY2_PSEPK,Glnl,Sensory histidine kinase/phosphatase NtrB,0812_0815-Control,R3,1061734,0.023020034,-1.637894036,0812_0815_NONTARGET
Q88CY3,Q88CY3_PSEPK,Glna,Glutamine synthetase,0812_0815-Control,R1,22280000,0.482258786,-0.316719851,0812_0815_NONTARGET
Q88CY3,Q88CY3_PSEPK,Glna,Glutamine synthetase,0812_0815-Control,R2,20470000,0.439481763,-0.357059142,0812_0815_NONTARGET
Q88CY3,Q88CY3_PSEPK,Glna,Glutamine synthetase,0812_0815-Control,R3,19400000,0.420621986,-0.376108031,0812_0815_NONTARGET
Q88CY4,THII_PSEPK,Thii,tRNA sulfurtransferase,0812_0815-Control,R1,366158.0667,0.007925626,-2.100966431,0812_0815_NONTARGET
Q88CY4,THII_PSEPK,Thii,tRNA sulfurtransferase,0812_0815-Control,R2,408401.1333,0.00876819,-2.057090046,0812_0815_NONTARGET
Q88CY4,THII_PSEPK,Thii,tRNA sulfurtransferase,0812_0815-Control,R3,380222.0333,0.008243801,-2.083872481,0812_0815_NONTARGET
Q88CY5,Q88CY5_PSEPK,Typa,Large ribosomal subunit assembly factor BipA,0812_0815-Control,R1,9775087.333,0.211585357,-0.674514391,0812_0815_NONTARGET
Q88CY5,Q88CY5_PSEPK,Typa,Large ribosomal subunit assembly factor BipA,0812_0815-Control,R2,10358661.8,0.222395845,-0.652873331,0812_0815_NONTARGET
Q88CY5,Q88CY5_PSEPK,Typa,Large ribosomal subunit assembly factor BipA,0812_0815-Control,R3,9799679,0.212472188,-0.672697911,0812_0815_NONTARGET
Q88CY8,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",0812_0815-Control,R1,3841452.4,0.083149649,-1.080139581,0812_0815_NONTARGET
Q88CY8,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",0812_0815-Control,R2,3786666.667,0.081298043,-1.089919908,0812_0815_NONTARGET
Q88CY8,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",0812_0815-Control,R3,3420614.367,0.074164207,-1.129805645,0812_0815_NONTARGET
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",0812_0815-Control,R1,3026666.667,0.065513312,-1.183670444,0812_0815_NONTARGET
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",0812_0815-Control,R2,3020000,0.064838052,-1.188170042,0812_0815_NONTARGET
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",0812_0815-Control,R3,2339550,0.05072506,-1.29477743,0812_0815_NONTARGET
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,0812_0815-Control,R1,275105.4,0.005954757,-2.225135922,0812_0815_NONTARGET
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,0812_0815-Control,R2,274781.1333,0.005899428,-2.229190075,0812_0815_NONTARGET
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,0812_0815-Control,R3,266106.7,0.005769605,-2.238853952,0812_0815_NONTARGET
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,0812_0815-Control,R1,241218.4,0.005221261,-2.282224605,0812_0815_NONTARGET
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,0812_0815-Control,R2,503990.2667,0.010820446,-1.965754836,0812_0815_NONTARGET
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,0812_0815-Control,R3,676311,0.014663468,-1.83376331,0812_0815_NONTARGET
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,0812_0815-Control,R1,391682.8,0.008478118,-2.071700537,0812_0815_NONTARGET
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,0812_0815-Control,R2,491978.9333,0.010562568,-1.976230479,0812_0815_NONTARGET
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,0812_0815-Control,R3,771280.7,0.016722558,-1.776697297,0812_0815_NONTARGET
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,0812_0815-Control,R1,1583044.4,0.034265578,-1.465141942,0812_0815_NONTARGET
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,0812_0815-Control,R2,1307666.8,0.028075022,-1.551679887,0812_0815_NONTARGET
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,0812_0815-Control,R3,1477650.367,0.032037744,-1.494338075,0812_0815_NONTARGET
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,0812_0815-Control,R1,502840.3333,0.010884164,-1.963204932,0812_0815_NONTARGET
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,0812_0815-Control,R2,589380.1333,0.012653728,-1.897781492,0812_0815_NONTARGET
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,0812_0815-Control,R3,456876.3333,0.009905785,-2.004111099,0812_0815_NONTARGET
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0812_0815-Control,R1,1627381.4,0.035225268,-1.45314569,0812_0815_NONTARGET
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0812_0815-Control,R2,1988589.133,0.042694121,-1.369631923,0812_0815_NONTARGET
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0812_0815-Control,R3,2146493.7,0.046539301,-1.332180143,0812_0815_NONTARGET
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",0812_0815-Control,R1,357383,0.007735686,-2.111501147,0812_0815_NONTARGET
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",0812_0815-Control,R2,319135.3333,0.006851693,-2.164202095,0812_0815_NONTARGET
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",0812_0815-Control,R3,289322.0333,0.006272949,-2.202528252,0812_0815_NONTARGET
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,0812_0815-Control,R1,256093.1333,0.00554323,-2.256237104,0812_0815_NONTARGET
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,0812_0815-Control,R2,15985.4,0.000343199,-3.464453477,0812_0815_NONTARGET
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,0812_0815-Control,R1,774089.2,0.016755445,-1.775844029,0812_0815_NONTARGET
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,0812_0815-Control,R2,571313.8667,0.012265854,-1.91130222,0812_0815_NONTARGET
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,0812_0815-Control,R3,1068509.767,0.023166943,-1.635131265,0812_0815_NONTARGET
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,0812_0815-Control,R1,1608242.333,0.034810996,-1.458283548,0812_0815_NONTARGET
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,0812_0815-Control,R2,1805328.467,0.038759596,-1.411620755,0812_0815_NONTARGET
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,0812_0815-Control,R3,1413029.367,0.030636661,-1.513758573,0812_0815_NONTARGET
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,0812_0815-Control,R1,2766666.667,0.059885517,-1.2226782,0812_0815_NONTARGET
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,0812_0815-Control,R2,2820000,0.060544141,-1.217927877,0812_0815_NONTARGET
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,0812_0815-Control,R3,3096666.667,0.06714052,-1.173015302,0812_0815_NONTARGET
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,0812_0815-Control,R1,7934159.333,0.171737794,-0.76513412,0812_0815_NONTARGET
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,0812_0815-Control,R2,7188226,0.154328004,-0.811555262,0812_0815_NONTARGET
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,0812_0815-Control,R3,7763219.333,0.168318594,-0.773867904,0812_0815_NONTARGET
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,0812_0815-Control,R1,2498119.067,0.054072705,-1.267021903,0812_0815_NONTARGET
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,0812_0815-Control,R2,2750000,0.059041272,-1.228844291,0812_0815_NONTARGET
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,0812_0815-Control,R3,2656666.667,0.05760064,-1.239572694,0812_0815_NONTARGET
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,0812_0815-Control,R1,2416666.667,0.052309638,-1.281418286,0812_0815_NONTARGET
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,0812_0815-Control,R2,2900000,0.062261705,-1.205778987,0812_0815_NONTARGET
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,0812_0815-Control,R3,2790000,0.060491512,-1.218305558,0812_0815_NONTARGET
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,0812_0815-Control,R1,2771452.4,0.059989106,-1.221927614,0812_0815_NONTARGET
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,0812_0815-Control,R2,2731995.133,0.058654716,-1.231697064,0812_0815_NONTARGET
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,0812_0815-Control,R3,2627895.4,0.056976834,-1.244301686,0812_0815_NONTARGET
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,0812_0815-Control,R1,1465666.333,0.031724886,-1.498599925,0812_0815_NONTARGET
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,0812_0815-Control,R2,1061475.467,0.022789404,-1.642267024,0812_0815_NONTARGET
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,0812_0815-Control,R3,1699279,0.036842995,-1.43364507,0812_0815_NONTARGET
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,0812_0815-Control,R1,901381.6667,0.019510737,-1.709726317,0812_0815_NONTARGET
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,0812_0815-Control,R2,1143682,0.024554342,-1.609871699,0812_0815_NONTARGET
