Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance,Source
Q88KZ0,Q88KZ0_PSEPK,Gapb,Glyceraldehyde-3-phosphate dehydrogenase,PP_0812,R3,9017077.167,0.192031846,-0.716626742,September
Q88KZ1,Q88KZ1_PSEPK,Mfd,Transcription-repair-coupling factor,PP_0812,R1,5494678.333,0.112319678,-0.949544149,September
Q88KZ1,Q88KZ1_PSEPK,Mfd,Transcription-repair-coupling factor,PP_0812,R2,4663435.4,0.098802034,-1.005234113,September
Q88KZ1,Q88KZ1_PSEPK,Mfd,Transcription-repair-coupling factor,PP_0812,R3,1524479.167,0.032466014,-1.488571035,September
Q88KZ2,Q88KZ2_PSEPK,Pp_2147,Peptidoglycan-binding protein CsiV,PP_0812,R1,127679.4667,0.002609965,-2.583365363,September
Q88KZ2,Q88KZ2_PSEPK,Pp_2147,Peptidoglycan-binding protein CsiV,PP_0812,R2,33537.46667,0.000710543,-3.148409824,September
Q88KZ2,Q88KZ2_PSEPK,Pp_2147,Peptidoglycan-binding protein CsiV,PP_0812,R3,386699.7,0.008235336,-2.084318693,September
Q88KZ4,Q88KZ4_PSEPK,Nagz,Beta-hexosaminidase,PP_0812,R1,518478.2667,0.010598493,-1.974755866,September
Q88KZ4,Q88KZ4_PSEPK,Nagz,Beta-hexosaminidase,PP_0812,R2,903268.6667,0.019137133,-1.718123133,September
Q88KZ4,Q88KZ4_PSEPK,Nagz,Beta-hexosaminidase,PP_0812,R3,586475.8333,0.012489861,-1.903442407,September
Q88KZ5,Q88KZ5_PSEPK,Pp_2144,"Transcriptional regulator, TetR family",PP_0812,R1,147362.5333,0.003012317,-2.521099344,September
Q88KZ5,Q88KZ5_PSEPK,Pp_2144,"Transcriptional regulator, TetR family",PP_0812,R2,380102.0667,0.008053046,-2.094039847,September
Q88KZ5,Q88KZ5_PSEPK,Pp_2144,"Transcriptional regulator, TetR family",PP_0812,R3,1361159,0.028987872,-1.537783669,September
Q88KZ8,Q88KZ8_PSEPK,Pp_2140,PasA protein,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
Q88KZ8,Q88KZ8_PSEPK,Pp_2140,PasA protein,PP_0812,R2,108229.7333,0.002293013,-2.63959349,September
Q88KZ8,Q88KZ8_PSEPK,Pp_2140,PasA protein,PP_0812,R3,134683,0.002868271,-2.542379747,September
Q88KZ9,Q88KZ9_PSEPK,Topa,DNA topoisomerase 1,PP_0812,R1,667896.6,0.013652834,-1.86477719,September
Q88KZ9,Q88KZ9_PSEPK,Topa,DNA topoisomerase 1,PP_0812,R2,1460000,0.03093234,-1.509587222,September
Q88KZ9,Q88KZ9_PSEPK,Topa,DNA topoisomerase 1,PP_0812,R3,1296666.667,0.027614413,-1.558864182,September
Q88L01,FADA_PSEPK,Fada,3-ketoacyl-CoA thiolase,PP_0812,R1,806967.2,0.016495651,-1.78263054,September
Q88L01,FADA_PSEPK,Fada,3-ketoacyl-CoA thiolase,PP_0812,R2,793265.0667,0.016806538,-1.774521749,September
Q88L01,FADA_PSEPK,Fada,3-ketoacyl-CoA thiolase,PP_0812,R3,1002753.167,0.021355095,-1.670498486,September
Q88L02,FADB_PSEPK,Fadb,Fatty acid oxidation complex subunit alpha,PP_0812,R1,1919447.267,0.039236455,-1.406310237,September
Q88L02,FADB_PSEPK,Fadb,Fatty acid oxidation complex subunit alpha,PP_0812,R2,2320000,0.04915276,-1.308452093,September
Q88L02,FADB_PSEPK,Fadb,Fatty acid oxidation complex subunit alpha,PP_0812,R3,1790410.5,0.03812941,-1.418739912,September
Q88L05,Q88L05_PSEPK,Pp_2132,Universal stress protein,PP_0812,R1,235708.8,0.00481825,-2.317110626,September
Q88L05,Q88L05_PSEPK,Pp_2132,Universal stress protein,PP_0812,R2,490204.1333,0.010385727,-1.983563109,September
Q88L05,Q88L05_PSEPK,Pp_2132,Universal stress protein,PP_0812,R3,1395504,0.029719299,-1.526961443,September
Q88L06,Q88L06_PSEPK,Uup,ATP-binding protein Uup,PP_0812,R1,1743333.333,0.035636415,-1.448105988,September
Q88L06,Q88L06_PSEPK,Uup,ATP-binding protein Uup,PP_0812,R2,1913333.333,0.040536902,-1.39214944,September
Q88L06,Q88L06_PSEPK,Uup,ATP-binding protein Uup,PP_0812,R3,1933333.333,0.041173161,-1.38538579,September
Q88L08,Q88L08_PSEPK,Pp_2129,MOSC domain-containing protein,PP_0812,R1,287907.2,0.005885266,-2.230233897,September
Q88L08,Q88L08_PSEPK,Pp_2129,MOSC domain-containing protein,PP_0812,R2,424557.3667,0.008994899,-2.046003697,September
Q88L08,Q88L08_PSEPK,Pp_2129,MOSC domain-containing protein,PP_0812,R3,801171,0.017062108,-1.767967308,September
Q88L09,Q88L09_PSEPK,Pp_2128,CheV-like chemotaxis protein,PP_0812,R1,210293.8667,0.00429873,-2.366659816,September
Q88L09,Q88L09_PSEPK,Pp_2128,CheV-like chemotaxis protein,PP_0812,R2,340153.0667,0.007206665,-2.142265687,September
Q88L09,Q88L09_PSEPK,Pp_2128,CheV-like chemotaxis protein,PP_0812,R3,431069.5,0.009180255,-2.037145233,September
Q88L15,Q88L15_PSEPK,Moab-i,Molybdenum cofactor biosynthesis protein B,PP_0812,R1,1242712.667,0.025402959,-1.595115698,September
Q88L15,Q88L15_PSEPK,Moab-i,Molybdenum cofactor biosynthesis protein B,PP_0812,R2,1179959.333,0.024999249,-1.602073038,September
Q88L15,Q88L15_PSEPK,Moab-i,Molybdenum cofactor biosynthesis protein B,PP_0812,R3,1723333.333,0.036700904,-1.43532324,September
Q88L20,PDXB_PSEPK,Pdxb,Erythronate-4-phosphate dehydrogenase,PP_0812,R1,196438.1333,0.004015498,-2.396260624,September
Q88L20,PDXB_PSEPK,Pdxb,Erythronate-4-phosphate dehydrogenase,PP_0812,R2,192463.1,0.004077626,-2.389592601,September
Q88L20,PDXB_PSEPK,Pdxb,Erythronate-4-phosphate dehydrogenase,PP_0812,R3,554564.3333,0.011810259,-1.927740594,September
Q88L24,Q88L24_PSEPK,Acna-i,Aconitate hydratase,PP_0812,R1,1213120.667,0.024798053,-1.605582421,September
Q88L24,Q88L24_PSEPK,Acna-i,Aconitate hydratase,PP_0812,R2,860769,0.018236712,-1.73905346,September
Q88L24,Q88L24_PSEPK,Acna-i,Aconitate hydratase,PP_0812,R3,1203333.333,0.025626743,-1.591306581,September
Q88L25,Q88L25_PSEPK,Pp_2111,Aerotaxis receptor,PP_0812,R1,118296.8,0.002418169,-2.616513426,September
Q88L25,Q88L25_PSEPK,Pp_2111,Aerotaxis receptor,PP_0812,R2,128469.1,0.002721815,-2.565141396,September
Q88L25,Q88L25_PSEPK,Pp_2111,Aerotaxis receptor,PP_0812,R3,320689,0.006829541,-2.165608465,September
Q88L30,Q88L30_PSEPK,Pp_2105,DUF883 domain-containing protein,PP_0812,R1,1206090.867,0.024654353,-1.608106394,September
Q88L30,Q88L30_PSEPK,Pp_2105,DUF883 domain-containing protein,PP_0812,R2,2315370.067,0.049054667,-1.309319664,September
Q88L30,Q88L30_PSEPK,Pp_2105,DUF883 domain-containing protein,PP_0812,R3,2173814.5,0.046294559,-1.334470047,September
Q88L37,Q88L37_PSEPK,Dacb,D-alanyl-D-alanine carboxypeptidase,PP_0812,R1,562816.6,0.011504837,-1.939119524,September
Q88L37,Q88L37_PSEPK,Dacb,D-alanyl-D-alanine carboxypeptidase,PP_0812,R2,1412045.333,0.029916347,-1.524091438,September
Q88L37,Q88L37_PSEPK,Dacb,D-alanyl-D-alanine carboxypeptidase,PP_0812,R3,599651.8333,0.012770463,-1.893793363,September
Q88L39,RLMKL_PSEPK,Rlml,Ribosomal RNA large subunit methyltransferase K/L,PP_0812,R1,711219.8667,0.014538428,-1.837482543,September
Q88L39,RLMKL_PSEPK,Rlml,Ribosomal RNA large subunit methyltransferase K/L,PP_0812,R2,453537.4667,0.009608887,-2.017326908,September
Q88L39,RLMKL_PSEPK,Rlml,Ribosomal RNA large subunit methyltransferase K/L,PP_0812,R3,648604.5,0.013812981,-1.859712571,September
Q88L40,PYRD_PSEPK,Pyrd,Dihydroorotate dehydrogenase (quinone),PP_0812,R1,2256666.667,0.046129738,-1.336019009,September
Q88L40,PYRD_PSEPK,Pyrd,Dihydroorotate dehydrogenase (quinone),PP_0812,R2,3040000,0.064407064,-1.191066494,September
Q88L40,PYRD_PSEPK,Pyrd,Dihydroorotate dehydrogenase (quinone),PP_0812,R3,2890000,0.061546777,-1.210794686,September
Q88L41,Q88L41_PSEPK,Pp_2094,Nitrate-binding protein NasS,PP_0812,R1,37789.06667,0.000772467,-3.112120257,September
Q88L41,Q88L41_PSEPK,Pp_2094,Nitrate-binding protein NasS,PP_0812,R2,33537.46667,0.000710543,-3.148409824,September
Q88L41,Q88L41_PSEPK,Pp_2094,Nitrate-binding protein NasS,PP_0812,R3,165668.8333,0.00352816,-2.452451715,September
Q88L46,Q88L46_PSEPK,Oprf,Outer membrane porin F,PP_0812,R1,15570000,0.318274753,-0.49719781,September
Q88L46,Q88L46_PSEPK,Oprf,Outer membrane porin F,PP_0812,R2,13210000,0.279874119,-0.55303726,September
Q88L46,Q88L46_PSEPK,Oprf,Outer membrane porin F,PP_0812,R3,12196666.67,0.259745855,-0.585451374,September
Q88L48,Q88L48_PSEPK,Cmpx,Small-conductance mechanosensitive channel,PP_0812,R1,1325818,0.02710176,-1.567002512,September
Q88L48,Q88L48_PSEPK,Cmpx,Small-conductance mechanosensitive channel,PP_0812,R2,750026.0333,0.015890452,-1.79886374,September
Q88L48,Q88L48_PSEPK,Cmpx,Small-conductance mechanosensitive channel,PP_0812,R3,1076364,0.022922746,-1.639733364,September
Q88L50,Q88L50_PSEPK,Cmax,CmaX protein,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
Q88L50,Q88L50_PSEPK,Cmax,CmaX protein,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88L50,Q88L50_PSEPK,Cmax,CmaX protein,PP_0812,R3,218487.5,0.004653011,-2.332265933,September
Q88L51,RRAAH_PSEPK,Pp_2084,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,PP_0812,R1,2512338,0.051356054,-1.289408355,September
Q88L51,RRAAH_PSEPK,Pp_2084,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,PP_0812,R2,2648384.367,0.056110086,-1.250959062,September
Q88L51,RRAAH_PSEPK,Pp_2084,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,PP_0812,R3,2656666.667,0.056577602,-1.247355462,September
Q88L53,Q88L53_PSEPK,Ppsa,Phosphoenolpyruvate synthase,PP_0812,R1,8792780.6,0.179737962,-0.745360186,September
Q88L53,Q88L53_PSEPK,Ppsa,Phosphoenolpyruvate synthase,PP_0812,R2,13333333.33,0.282487125,-0.549001341,September
Q88L53,Q88L53_PSEPK,Ppsa,Phosphoenolpyruvate synthase,PP_0812,R3,13816666.67,0.294246125,-0.531289248,September
Q88L54,PSRP_PSEPK,Pp_2081,Putative phosphoenolpyruvate synthase regulatory protein,PP_0812,R1,604098,0.012348692,-1.908379025,September
Q88L54,PSRP_PSEPK,Pp_2081,Putative phosphoenolpyruvate synthase regulatory protein,PP_0812,R2,205833.7333,0.004360903,-2.360423527,September
Q88L54,PSRP_PSEPK,Pp_2081,Putative phosphoenolpyruvate synthase regulatory protein,PP_0812,R3,700861.6667,0.014925874,-1.826060221,September
Q88L55,Q88L55_PSEPK,Gdhb,NAD-specific glutamate dehydrogenase,PP_0812,R1,4496666.667,0.091918784,-1.036595728,September
Q88L55,Q88L55_PSEPK,Gdhb,NAD-specific glutamate dehydrogenase,PP_0812,R2,3103333.333,0.065748878,-1.182111652,September
Q88L55,Q88L55_PSEPK,Gdhb,NAD-specific glutamate dehydrogenase,PP_0812,R3,2420000,0.051537439,-1.287877162,September
Q88L82,Q88L82_PSEPK,Pp_2053,DUF3144 domain-containing protein,PP_0812,R1,37789.06667,0.000772467,-3.112120257,September
Q88L82,Q88L82_PSEPK,Pp_2053,DUF3144 domain-containing protein,PP_0812,R2,33537.46667,0.000710543,-3.148409824,September
Q88L82,Q88L82_PSEPK,Pp_2053,DUF3144 domain-containing protein,PP_0812,R3,71622.5,0.001525306,-2.816643052,September
Q88L83,Q88L83_PSEPK,Pp_2052,Bifunctional enzyme: sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase,PP_0812,R1,395561.2,0.008085879,-2.092272737,September
Q88L83,Q88L83_PSEPK,Pp_2052,Bifunctional enzyme: sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88L83,Q88L83_PSEPK,Pp_2052,Bifunctional enzyme: sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase,PP_0812,R3,177816,0.003786852,-2.421721692,September
Q88LA3,Q88LA3_PSEPK,Pp_2032,ATPase,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
Q88LA3,Q88LA3_PSEPK,Pp_2032,ATPase,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88LA3,Q88LA3_PSEPK,Pp_2032,ATPase,PP_0812,R3,11231.5,0.000239191,-3.621254767,September
Q88LB0,Q88LB0_PSEPK,Sbcd,Nuclease SbcCD subunit D,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
Q88LB0,Q88LB0_PSEPK,Sbcd,Nuclease SbcCD subunit D,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88LB0,Q88LB0_PSEPK,Sbcd,Nuclease SbcCD subunit D,PP_0812,R3,592478.8333,0.012617703,-1.899019689,September
Q88LB1,Q88LB1_PSEPK,Sbcc,Exonuclease SbcC,PP_0812,R1,2163333.333,0.044221861,-1.354362981,September
Q88LB1,Q88LB1_PSEPK,Sbcc,Exonuclease SbcC,PP_0812,R2,1647399,0.034902676,-1.45714128,September
Q88LB1,Q88LB1_PSEPK,Sbcc,Exonuclease SbcC,PP_0812,R3,828107.5,0.01763576,-1.75360581,September
Q88LB4,Q88LB4_PSEPK,Ppgl,L-alpha-hydroxyglutaric acid gamma-lactonase,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
Q88LB4,Q88LB4_PSEPK,Ppgl,L-alpha-hydroxyglutaric acid gamma-lactonase,PP_0812,R2,287332.4,0.006087578,-2.215555478,September
Q88LB4,Q88LB4_PSEPK,Ppgl,L-alpha-hydroxyglutaric acid gamma-lactonase,PP_0812,R3,226248.6667,0.004818296,-2.3171065,September
Q88LB8,Q88LB8_PSEPK,Pepn,Aminopeptidase N,PP_0812,R1,3841997.667,0.078536343,-1.104929326,September
Q88LB8,Q88LB8_PSEPK,Pepn,Aminopeptidase N,PP_0812,R2,2649118.367,0.056125637,-1.250838714,September
Q88LB8,Q88LB8_PSEPK,Pepn,Aminopeptidase N,PP_0812,R3,3453499.667,0.073547326,-1.13343311,September
Q88LC3,NADK_PSEPK,Nadk,NAD kinase,PP_0812,R1,450072.2667,0.00920017,-2.03620417,September
Q88LC3,NADK_PSEPK,Nadk,NAD kinase,PP_0812,R2,138205.4,0.002928093,-2.533415066,September
Q88LC3,NADK_PSEPK,Nadk,NAD kinase,PP_0812,R3,467608.5,0.009958407,-2.001810131,September
Q88LC7,Q88LC7_PSEPK,Fadh,"2,4-dienoyl-CoA reductase",PP_0812,R1,169923.8667,0.003473505,-2.459232041,September
Q88LC7,Q88LC7_PSEPK,Fadh,"2,4-dienoyl-CoA reductase",PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88LC7,Q88LC7_PSEPK,Fadh,"2,4-dienoyl-CoA reductase",PP_0812,R3,243534,0.005186413,-2.285132926,September
Q88LC9,Q88LC9_PSEPK,Pp_2006,TULIP family P47-like protein,PP_0812,R1,212814.8,0.004350262,-2.361484595,September
Q88LC9,Q88LC9_PSEPK,Pp_2006,TULIP family P47-like protein,PP_0812,R2,33537.46667,0.000710543,-3.148409824,September
Q88LC9,Q88LC9_PSEPK,Pp_2006,TULIP family P47-like protein,PP_0812,R3,385960.1667,0.008219586,-2.085150043,September
Q88LD4,Q88LD4_PSEPK,Metz,O-succinylhomoserine sulfhydrylase,PP_0812,R1,1786666.667,0.036522215,-1.437442888,September
Q88LD4,Q88LD4_PSEPK,Metz,O-succinylhomoserine sulfhydrylase,PP_0812,R2,1355051.033,0.028708835,-1.541984426,September
Q88LD4,Q88LD4_PSEPK,Metz,O-succinylhomoserine sulfhydrylase,PP_0812,R3,2113333.333,0.045006524,-1.346724525,September
Q88LD5,Q88LD5_PSEPK,Purf,Amidophosphoribosyltransferase,PP_0812,R1,4192314,0.085697348,-1.067032619,September
Q88LD5,Q88LD5_PSEPK,Purf,Amidophosphoribosyltransferase,PP_0812,R2,3670218.667,0.077759214,-1.109248138,September
Q88LD5,Q88LD5_PSEPK,Purf,Amidophosphoribosyltransferase,PP_0812,R3,3651100.667,0.077755529,-1.109268721,September
Q88LD7,Q88LD7_PSEPK,Dedd,Cell division protein,PP_0812,R1,1209447.267,0.024722963,-1.606899485,September
Q88LD7,Q88LD7_PSEPK,Dedd,Cell division protein,PP_0812,R2,1005257.333,0.021297919,-1.671662828,September
Q88LD7,Q88LD7_PSEPK,Dedd,Cell division protein,PP_0812,R3,1250410.5,0.02662932,-1.574639917,September
Q88LD8,Q88LD8_PSEPK,Folc,Dihydrofolate synthase/folylpolyglutamate synthase,PP_0812,R1,129326.5333,0.002643633,-2.577798786,September
Q88LD8,Q88LD8_PSEPK,Folc,Dihydrofolate synthase/folylpolyglutamate synthase,PP_0812,R2,190255.4,0.004030853,-2.394603086,September
Q88LD8,Q88LD8_PSEPK,Folc,Dihydrofolate synthase/folylpolyglutamate synthase,PP_0812,R3,298316.8333,0.006353093,-2.197014768,September
Q88LD9,ACCD_PSEPK,Accd,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,PP_0812,R1,3796666.667,0.077609708,-1.110083953,September
Q88LD9,ACCD_PSEPK,Accd,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,PP_0812,R2,3800000,0.080508831,-1.094156481,September
Q88LD9,ACCD_PSEPK,Accd,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,PP_0812,R3,3780000,0.080500629,-1.094200729,September
Q88LE1,Q88LE1_PSEPK,Fimv,Motility protein fimV,PP_0812,R1,3849839,0.078696632,-1.104043855,September
Q88LE1,Q88LE1_PSEPK,Fimv,Motility protein fimV,PP_0812,R2,3230647.333,0.068446221,-1.164650526,September
Q88LE1,Q88LE1_PSEPK,Fimv,Motility protein fimV,PP_0812,R3,4230000,0.090084037,-1.045352161,September
Q88LE2,Q88LE2_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,PP_0812,R1,133634.8667,0.002731702,-2.563566638,September
Q88LE2,Q88LE2_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88LE2,Q88LE2_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,PP_0812,R3,11231.5,0.000239191,-3.621254767,September
Q88LE4,Q88LE4_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,PP_0812,R1,2802657.6,0.057290633,-1.241916379,September
Q88LE4,Q88LE4_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,PP_0812,R2,4819107.667,0.10210019,-0.990973449,September
Q88LE4,Q88LE4_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,PP_0812,R3,4901323.667,0.104380856,-0.981379146,September
Q88LE5,LEU3_PSEPK,Leub,3-isopropylmalate dehydrogenase,PP_0812,R1,6283434.933,0.128443077,-0.8912893,September
Q88LE5,LEU3_PSEPK,Leub,3-isopropylmalate dehydrogenase,PP_0812,R2,7911985,0.167627542,-0.775654623,September
Q88LE5,LEU3_PSEPK,Leub,3-isopropylmalate dehydrogenase,PP_0812,R3,8080410.5,0.17208416,-0.764259104,September
Q88LE6,Q88LE6_PSEPK,Pp_1987,"Methlytransferase, UbiE/COQ5 family",PP_0812,R1,859447.2667,0.017568424,-1.755267188,September
Q88LE6,Q88LE6_PSEPK,Pp_1987,"Methlytransferase, UbiE/COQ5 family",PP_0812,R2,1017307.033,0.02155321,-1.666488031,September
Q88LE6,Q88LE6_PSEPK,Pp_1987,"Methlytransferase, UbiE/COQ5 family",PP_0812,R3,1403333.333,0.029886036,-1.524531687,September
Q88LE7,LEUD_PSEPK,Leud,3-isopropylmalate dehydratase small subunit,PP_0812,R1,3044860.667,0.062241636,-1.205918999,September
Q88LE7,LEUD_PSEPK,Leud,3-isopropylmalate dehydratase small subunit,PP_0812,R2,4496666.667,0.095268783,-1.021049383,September
Q88LE7,LEUD_PSEPK,Leud,3-isopropylmalate dehydratase small subunit,PP_0812,R3,3903333.333,0.083127192,-1.080256888,September
Q88LE8,LEUC_PSEPK,Leuc,3-isopropylmalate dehydratase large subunit,PP_0812,R1,5400000,0.110384307,-0.957092663,September
Q88LE8,LEUC_PSEPK,Leuc,3-isopropylmalate dehydratase large subunit,PP_0812,R2,5110000,0.108263191,-0.965519178,September
Q88LE8,LEUC_PSEPK,Leuc,3-isopropylmalate dehydratase large subunit,PP_0812,R3,4510000,0.096047046,-1.017515987,September
Q88LF1,Q88LF1_PSEPK,Ibpa,Small heat shock protein IbpA,PP_0812,R1,6311503,0.129016831,-0.88935363,September
Q88LF1,Q88LF1_PSEPK,Ibpa,Small heat shock protein IbpA,PP_0812,R2,6085514.667,0.128930966,-0.889642765,September
Q88LF1,Q88LF1_PSEPK,Ibpa,Small heat shock protein IbpA,PP_0812,R3,5963958.333,0.127011215,-0.896157928,September
Q88LF6,SYE_PSEPK,Gltx,Glutamate--tRNA ligase,PP_0812,R1,2756666.667,0.056350508,-1.249102168,September
Q88LF6,SYE_PSEPK,Gltx,Glutamate--tRNA ligase,PP_0812,R2,2513333.333,0.053248823,-1.273689987,September
Q88LF6,SYE_PSEPK,Gltx,Glutamate--tRNA ligase,PP_0812,R3,2336666.667,0.049762734,-1.303095765,September
Q88LF9,UVRB_PSEPK,Uvrb,UvrABC system protein B,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
Q88LF9,UVRB_PSEPK,Uvrb,UvrABC system protein B,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88LF9,UVRB_PSEPK,Uvrb,UvrABC system protein B,PP_0812,R3,1186517.333,0.025268622,-1.597418441,September
Q88LG1,Q88LG1_PSEPK,Tyrb,Aminotransferase,PP_0812,R1,5408894.533,0.110566125,-0.956377909,September
Q88LG1,Q88LG1_PSEPK,Tyrb,Aminotransferase,PP_0812,R2,4520204.133,0.09576746,-1.01878203,September
Q88LG1,Q88LG1_PSEPK,Tyrb,Aminotransferase,PP_0812,R3,5827370.167,0.124102371,-0.906219922,September
Q88LG2,Q88LG2_PSEPK,Pp_1971,DUF1285 domain-containing protein,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
Q88LG2,Q88LG2_PSEPK,Pp_1971,DUF1285 domain-containing protein,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88LG2,Q88LG2_PSEPK,Pp_1971,DUF1285 domain-containing protein,PP_0812,R3,11231.5,0.000239191,-3.621254767,September
Q88LG6,Q88LG6_PSEPK,Ycfh,tRNA D-aminoacylase,PP_0812,R1,47236.33333,0.000965583,-3.015210244,September
Q88LG6,Q88LG6_PSEPK,Ycfh,tRNA D-aminoacylase,PP_0812,R2,184897.4667,0.003917337,-2.407009117,September
Q88LG6,Q88LG6_PSEPK,Ycfh,tRNA D-aminoacylase,PP_0812,R3,97626.33333,0.002079096,-2.68212555,September
Q88LG8,Q88LG8_PSEPK,Pp_1964,"dGMP, dTMP, dhydroxyCMP kinase",PP_0812,R1,92989.2,0.001900842,-2.721053911,September
Q88LG8,Q88LG8_PSEPK,Pp_1964,"dGMP, dTMP, dhydroxyCMP kinase",PP_0812,R2,115868.7333,0.002454857,-2.609973819,September
Q88LG8,Q88LG8_PSEPK,Pp_1964,"dGMP, dTMP, dhydroxyCMP kinase",PP_0812,R3,108509.3333,0.002310865,-2.636225433,September
Q88LH3,Q88LH3_PSEPK,Pp_1959,Uncharacterized protein,PP_0812,R1,442227.8667,0.009039818,-2.043840317,September
Q88LH3,Q88LH3_PSEPK,Pp_1959,Uncharacterized protein,PP_0812,R2,266681.7333,0.005650062,-2.247946809,September
Q88LH3,Q88LH3_PSEPK,Pp_1959,Uncharacterized protein,PP_0812,R3,152086.5,0.003238904,-2.489601863,September
Q88LL2,Q88LL2_PSEPK,Yceg,Endolytic murein transglycosylase,PP_0812,R1,219527.5333,0.004487481,-2.347997425,September
Q88LL2,Q88LL2_PSEPK,Yceg,Endolytic murein transglycosylase,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
Q88LL2,Q88LL2_PSEPK,Yceg,Endolytic murein transglycosylase,PP_0812,R3,336425.3333,0.00716467,-2.144803837,September
Q88LL4,Q88LL4_PSEPK,Fabf,3-oxoacyl-[acyl-carrier-protein] synthase 2,PP_0812,R1,2024562.667,0.041385176,-1.383155199,September
Q88LL4,Q88LL4_PSEPK,Fabf,3-oxoacyl-[acyl-carrier-protein] synthase 2,PP_0812,R2,1873154.333,0.039685649,-1.401366517,September
Q88LL4,Q88LL4_PSEPK,Fabf,3-oxoacyl-[acyl-carrier-protein] synthase 2,PP_0812,R3,1374216.667,0.029265954,-1.533637317,September
Q88LL5,ACP_PSEPK,Acpp,Acyl carrier protein,PP_0812,R1,17392227.87,0.355523894,-0.449131206,September
Q88LL5,ACP_PSEPK,Acpp,Acyl carrier protein,PP_0812,R2,16943402.73,0.358971984,-0.444939444,September
Q88LL5,ACP_PSEPK,Acpp,Acyl carrier protein,PP_0812,R3,16065689,0.342142345,-0.465793173,September
Q88LL6,Q88LL6_PSEPK,Fabg,3-oxoacyl-[acyl-carrier-protein] reductase,PP_0812,R1,6896666.667,0.140978477,-0.850847187,September
Q88LL6,Q88LL6_PSEPK,Fabg,3-oxoacyl-[acyl-carrier-protein] reductase,PP_0812,R2,9376666.667,0.198659071,-0.701891601,September
Q88LL6,Q88LL6_PSEPK,Fabg,3-oxoacyl-[acyl-carrier-protein] reductase,PP_0812,R3,10083333.33,0.214739331,-0.668088404,September
Q88LL7,Q88LL7_PSEPK,Fabd,Malonyl CoA-acyl carrier protein transacylase,PP_0812,R1,978341.8,0.019998811,-1.698995813,September
Q88LL7,Q88LL7_PSEPK,Fabd,Malonyl CoA-acyl carrier protein transacylase,PP_0812,R2,1505051.033,0.031886815,-1.496388852,September
Q88LL7,Q88LL7_PSEPK,Fabd,Malonyl CoA-acyl carrier protein transacylase,PP_0812,R3,2212665.667,0.047121952,-1.326776731,September
Q88LL9,RL32_PSEPK,Rpmf,Large ribosomal subunit protein bL32,PP_0812,R1,3792324.267,0.077520942,-1.110580958,September
Q88LL9,RL32_PSEPK,Rpmf,Large ribosomal subunit protein bL32,PP_0812,R2,4073859.367,0.086310961,-1.063934045,September
Q88LL9,RL32_PSEPK,Rpmf,Large ribosomal subunit protein bL32,PP_0812,R3,3187077.167,0.06787347,-1.16829995,September
Q88LM0,Q88LM0_PSEPK,Pp_1910,Large ribosomal RNA subunit accumulation protein YceD,PP_0812,R1,375561.2,0.007677049,-2.114805705,September
Q88LM0,Q88LM0_PSEPK,Pp_1910,Large ribosomal RNA subunit accumulation protein YceD,PP_0812,R2,785051.0333,0.016632511,-1.779042188,September
Q88LM0,Q88LM0_PSEPK,Pp_1910,Large ribosomal RNA subunit accumulation protein YceD,PP_0812,R3,1232190.667,0.026241302,-1.581014614,September
Q88LM2,Q88LM2_PSEPK,Pp_1908,Peptidase,PP_0812,R1,1594629.867,0.032596688,-1.486826529,September
