Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundanceop3-method,log10_%_abundance
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",PP_0815,R1,2446666.667,0.059456836,-1.225798203
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",PP_0815,R2,2273333.333,0.057040283,-1.243818326
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",PP_0815,R3,2746666.667,0.065445324,-1.184121381
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0812_15,R1,417477.6667,0.009549479,-2.020020314
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0812_15,R2,207677.7,0.005094146,-2.292928591
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0812_15,R3,136361.9667,0.003704632,-2.431254909
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0815,R1,286908.3333,0.006972205,-2.156629846
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0815,R2,312278.6667,0.007835395,-2.105939129
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0815,R3,266855,0.006358402,-2.196651993
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0812_15,R1,192645.4,0.004406615,-2.355894918
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0812_15,R2,511546.7333,0.012547779,-1.901433141
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0815,R1,775205.6667,0.018838396,-1.72495607
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0815,R2,512461.3333,0.012858185,-1.890820344
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0815,R3,677878.1333,0.016151925,-1.791775713
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0812_15,R1,501599.4,0.011473699,-1.940296553
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0812_15,R2,1003599.033,0.024617377,-1.608758222
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0812_15,R3,660912.2667,0.017955423,-1.745804353
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0815,R1,1113382,0.027056473,-1.567728813
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0815,R2,1157994,0.029055267,-1.536775137
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0815,R3,1127286.8,0.026860067,-1.570892916
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0812_15,R1,1372260.367,0.031389396,-1.503217041
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0812_15,R2,1457003.033,0.035738967,-1.446858001
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0812_15,R3,1455761.967,0.03954961,-1.402857797
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0815,R1,2053645.333,0.049905962,-1.301847566
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0815,R2,1400054,0.035128802,-1.454336659
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0815,R3,2012305.333,0.047947563,-1.31923346
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0812_15,R1,577840.6667,0.013217659,-1.878845458
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0812_15,R2,548436.0333,0.01345264,-1.871192475
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0812_15,R3,787928.3333,0.021406149,-1.669461448
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0815,R1,816515,0.019842261,-1.702408841
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0815,R2,895212,0.022461794,-1.648555551
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0815,R3,727443.6667,0.017332932,-1.761127971
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0812_15,R1,1372677.367,0.031398935,-1.503085088
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0812_15,R2,1249178.367,0.030641216,-1.513694002
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0812_15,R3,1082303.3,0.029403621,-1.531599183
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0815,R1,1684537,0.040936202,-1.387892454
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0815,R2,1441322,0.036164259,-1.44172043
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0815,R3,2080884.667,0.049581615,-1.304679328
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0812_15,R1,460646.3333,0.010536929,-1.977285943
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0812_15,R2,290119.3333,0.007116365,-2.147741786
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0812_15,R3,176183.3,0.004786484,-2.319983425
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0815,R1,543451.6667,0.013206505,-1.879212084
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0815,R2,499637.6667,0.012536426,-1.901826274
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0815,R3,780904.6667,0.018606757,-1.73032932
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0812_15,R1,229535.4,0.005250445,-2.279803887
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0812_15,R2,12320.1,0.000302201,-3.519704224
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0815,R1,455183.8,0.011061494,-1.956186211
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0815,R2,501448.3333,0.012581857,-1.900255254
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0815,R3,1313855.8,0.03130548,-1.504379635
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0812_15,R1,639922.8,0.01463774,-1.834525977
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0812_15,R2,1045653.433,0.025648933,-1.590930689
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0812_15,R3,892963.5667,0.024259708,-1.615114426
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0815,R1,962111.3333,0.023380421,-1.631147678
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0815,R2,797482.6333,0.020009664,-1.698760211
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0815,R3,1025780.667,0.024441462,-1.611872828
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,PP_0812_15,R1,1458895,0.033371096,-1.476629525
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,PP_0812_15,R2,1433067.367,0.035151847,-1.45405185
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,PP_0812_15,R3,944197.9333,0.025651625,-1.59088512
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,PP_0815,R1,1149822.8,0.027942027,-1.553742092
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,PP_0815,R2,1417641.667,0.035570095,-1.448914976
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,PP_0815,R3,674141.9333,0.016062902,-1.794175996
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,PP_0812_15,R1,2093632.333,0.047890223,-1.319753144
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,PP_0812_15,R2,3783333.333,0.092801747,-1.03244385
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,PP_0812_15,R3,2873943,0.078078235,-1.107470015
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,PP_0815,R1,3376666.667,0.082056914,-1.085884818
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,PP_0815,R2,2943333.333,0.073851276,-1.131641997
Q88D21,Q88D21_PSEPK,Pp_5007,Polyhydroxyalkanoate granule-associated protein GA2,PP_0815,R3,2990000,0.071243271,-1.14725615
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,PP_0812_15,R1,7762263.067,0.177555772,-0.750665204
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,PP_0812_15,R2,6042608.967,0.148219736,-0.829093966
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,PP_0812_15,R3,3805447.7,0.103385014,-0.985542408
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,PP_0815,R1,9328279.8,0.226688013,-0.644571444
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,PP_0815,R2,11071848,0.277804112,-0.556261331
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,PP_0815,R3,11154276.67,0.265774968,-0.575485926
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,PP_0812_15,R1,2284147.367,0.052248107,-1.281929441
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,PP_0812_15,R2,2130773.367,0.052265945,-1.281781197
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,PP_0812_15,R3,1852098.967,0.050317149,-1.298283976
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,PP_0815,R1,3203333.333,0.077844713,-1.108770876
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,PP_0815,R2,3176666.667,0.07970585,-1.0985098
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,PP_0815,R3,3007982.333,0.071671739,-1.144652057
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,PP_0812_15,R1,2730000,0.062446641,-1.204490914
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,PP_0812_15,R2,2890000,0.070889088,-1.149420614
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,PP_0812_15,R3,2330000,0.06330059,-1.198592244
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,PP_0815,R1,2143333.333,0.052085485,-1.28328329
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,PP_0815,R2,2010000,0.050432978,-1.297285388
Q88D29,Q88D29_PSEPK,Pyrc',Dihydroorotase-like protein,PP_0815,R3,2686666.667,0.064015693,-1.193713551
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,PP_0812_15,R1,2064961.4,0.047234397,-1.325741623
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,PP_0812_15,R2,2427440.033,0.05954291,-1.225169946
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,PP_0812_15,R3,2160864.6,0.058705581,-1.231320611
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,PP_0815,R1,2047396.133,0.049754099,-1.30317113
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,PP_0815,R2,1887641.667,0.047362881,-1.324561891
Q88D30,PYRB_PSEPK,Pyrb,Aspartate carbamoyltransferase catalytic subunit,PP_0815,R3,1939230.267,0.04620639,-1.335297957
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,PP_0812_15,R1,776485.3667,0.017761503,-1.750520286
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,PP_0812_15,R2,1516282.333,0.037193035,-1.429538382
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,PP_0812_15,R3,1199755,0.032594506,-1.486855597
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,PP_0815,R1,1353360,0.032888217,-1.482959672
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,PP_0815,R2,1409393.667,0.035363144,-1.45144913
Q88D31,Q88D31_PSEPK,Pyrr,Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,PP_0815,R3,1613278.667,0.038439883,-1.415217947
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,PP_0812_15,R1,695158.7,0.015901218,-1.798569599
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,PP_0812_15,R2,1206564,0.029595924,-1.528768093
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,PP_0812_15,R3,800810.3,0.021756122,-1.662418515
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,PP_0815,R1,1111797.333,0.027017964,-1.56834738
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,PP_0815,R2,1081661.667,0.027140009,-1.566390007
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,PP_0815,R3,1156887.333,0.027565364,-1.559636272
Q88D37,Q88D37_PSEPK,Pilh,Protein PilH,PP_0812_15,R1,174428.1,0.003989908,-2.399037111
Q88D37,Q88D37_PSEPK,Pilh,Protein PilH,PP_0812_15,R2,146195.7667,0.00358605,-2.445383659
Q88D37,Q88D37_PSEPK,Pilh,Protein PilH,PP_0812_15,R3,139775.2667,0.003797363,-2.420517836
Q88D37,Q88D37_PSEPK,Pilh,Protein PilH,PP_0815,R1,518460.4667,0.01259919,-1.899657362
Q88D37,Q88D37_PSEPK,Pilh,Protein PilH,PP_0815,R2,309511.3333,0.007765959,-2.10980489
Q88D37,Q88D37_PSEPK,Pilh,Protein PilH,PP_0815,R3,309161.9333,0.007366457,-2.132741323
Q88D40,Q88D40_PSEPK,Pp_4988,histidine kinase,PP_0812_15,R1,794153.6667,0.018165652,-1.740749016
Q88D40,Q88D40_PSEPK,Pp_4988,histidine kinase,PP_0812_15,R2,608213.4,0.014918925,-1.826262472
Q88D40,Q88D40_PSEPK,Pp_4988,histidine kinase,PP_0812_15,R3,802822.6333,0.021810792,-1.661328558
Q88D40,Q88D40_PSEPK,Pp_4988,histidine kinase,PP_0815,R1,561780,0.013651905,-1.864806735
Q88D40,Q88D40_PSEPK,Pp_4988,histidine kinase,PP_0815,R2,756944.6667,0.018992524,-1.721417312
Q88D40,Q88D40_PSEPK,Pp_4988,histidine kinase,PP_0815,R3,723183.3333,0.01723142,-1.763678929
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0812_15,R1,26234.63333,0.000600097,-3.221778562
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0812_15,R2,16426.8,0.000402935,-3.394765487
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0812_15,R3,38089.76667,0.001034809,-2.985139853
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0815,R1,642253.3333,0.015607501,-1.806666642
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0815,R2,719610,0.018055759,-1.743384256
Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PP_0815,R3,831538.3333,0.019813214,-1.703045063
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0812_15,R1,591005.0333,0.013518784,-1.869062382
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0812_15,R2,12320.1,0.000302201,-3.519704224
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0815,R1,74938.26667,0.001821087,-2.739669365
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0815,R2,337020.3333,0.008456189,-2.072825342
Q88D45,Q88D45_PSEPK,Pp_4983,Tryptophan 2-monooxygenase,PP_0815,R3,67187.6,0.001600891,-2.79563821
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0812_15,R1,983991.7333,0.022508051,-1.647662111
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0812_15,R2,914880.0667,0.022441181,-1.648954291
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0812_15,R3,838081.6,0.022768695,-1.64266186
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0815,R1,1126800.133,0.027382549,-1.562526119
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0815,R2,1279693,0.03210882,-1.493375651
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,PP_0815,R3,1535879,0.036595667,-1.436570336
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0812_15,R1,3033333.333,0.069385157,-1.158733424
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0812_15,R2,2017974.667,0.049499094,-1.305402747
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0812_15,R3,2683688.333,0.072909465,-1.137216087
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0815,R1,1522500.667,0.036998531,-1.431815517
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0815,R2,1685838.667,0.042299435,-1.373665435
Q88D48,Q88D48_PSEPK,Rhle,ATP-dependent RNA helicase RhlE,PP_0815,R3,1263695,0.030110289,-1.521285071
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0812_15,R1,2393257.333,0.054743913,-1.261664163
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0812_15,R2,1555035.033,0.038143604,-1.418578279
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0812_15,R3,2272098.967,0.061727556,-1.209520921
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0815,R1,4679014.333,0.113705472,-0.944218633
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0815,R2,4277861,0.107335955,-0.969254777
Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,PP_0815,R3,4662847.667,0.111102515,-0.95427611
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0812_15,R1,1848174,0.042275553,-1.373910705
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0812_15,R2,1786547.033,0.043822384,-1.358304002
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0812_15,R3,1135271.633,0.030842645,-1.510848379
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0815,R1,3365498.333,0.081785511,-1.087323629
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0815,R2,3456139.333,0.086718109,-1.061890203
Q88D52,Q88D52_PSEPK,Pp_4975,Long-chain acyl-CoA thioester hydrolase family protein,PP_0815,R3,3582243.667,0.085354768,-1.068772214
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0812_15,R1,507943.0333,0.011618805,-1.934838553
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0812_15,R2,408380.7333,0.01001721,-1.999253212
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0812_15,R3,111888.9,0.003039757,-2.517161161
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0815,R1,955427.6667,0.023218,-1.634175195
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0815,R2,1236319.667,0.031020538,-1.508350668
Q88D58,Q88D58_PSEPK,Pp_4969,DUF1090 domain-containing protein,PP_0815,R3,1162327,0.027694976,-1.557599012
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0812_15,R1,3945872.333,0.090258782,-1.044510531
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0812_15,R2,3205069.667,0.078617462,-1.104480983
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0812_15,R3,2170290.633,0.058961664,-1.229430269
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0815,R1,3534779,0.085899227,-1.066010742
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0815,R2,4045246,0.101499404,-0.993536509
Q88D60,METK_PSEPK,Metk,S-adenosylmethionine synthase,PP_0815,R3,4626666.667,0.110240424,-0.957659127
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0812_15,R1,5623333.333,0.128629407,-0.890659733
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0812_15,R2,7636666.667,0.18732053,-0.727414622
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0812_15,R3,5686666.667,0.154493285,-0.811090393
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0815,R1,8720000,0.211906109,-0.673856524
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0815,R2,8320000,0.208757401,-0.680358119
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,PP_0815,R3,7460000,0.17775077,-0.75018851
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0812_15,R1,487149.7,0.011143173,-1.952991122
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0812_15,R2,518248.3333,0.012712163,-1.895780542
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0812_15,R3,510195.6333,0.013860809,-1.858211428
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0815,R1,501762.1333,0.012193402,-1.913875125
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0815,R2,533142.3333,0.013377092,-1.873638277
Q88D63,Q88D63_PSEPK,Epd,D-erythrose 4-phosphate dehydrogenase,PP_0815,R3,923552,0.022005641,-1.657465985
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0812_15,R1,5824454.067,0.133229888,-0.875398336
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0812_15,R2,6450523.733,0.158225516,-0.800723479
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0812_15,R3,5549925.267,0.150778344,-0.82166103
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0815,R1,6308392.8,0.153301258,-0.814454281
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0815,R2,6767648,0.169807284,-0.770043684
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,PP_0815,R3,6873089.8,0.163766354,-0.78577532
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0812_15,R1,7806948.333,0.178577913,-0.748172256
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0812_15,R2,6416191,0.157383365,-0.803041173
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0812_15,R3,6562590,0.17829005,-0.748872893
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0815,R1,7475954,0.181674349,-0.740706388
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0815,R2,6939231.333,0.174112487,-0.75917008
Q88D67,Q88D67_PSEPK,Fba,"Fructose-1,6-bisphosphate aldolase",PP_0815,R3,7607391.333,0.181262689,-0.74169158
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0812_15,R1,1140000,0.02607662,-1.58374871
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0812_15,R2,707177.7,0.01734643,-1.760789899
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0812_15,R3,1339107.333,0.036380379,-1.439132777
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0815,R1,829335,0.020153802,-1.695643014
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0815,R2,731892.6667,0.018363944,-1.73603405
Q88D75,Q88D75_PSEPK,Dbpa,"ATP-dependent RNA helicase, specific for 23S rRNA",PP_0815,R3,1092397.8,0.02602876,-1.584546521
Q88D77,Q88D77_PSEPK,Pp_4950,Metalloprotease TldD/E C-terminal domain-containing protein,PP_0812_15,R1,1094947,0.025046067,-1.601260463
Q88D77,Q88D77_PSEPK,Pp_4950,Metalloprotease TldD/E C-terminal domain-containing protein,PP_0812_15,R2,1264148.667,0.031008424,-1.508520306
Q88D77,Q88D77_PSEPK,Pp_4950,Metalloprotease TldD/E C-terminal domain-containing protein,PP_0812_15,R3,1042098.967,0.028311364,-1.5480392
Q88D77,Q88D77_PSEPK,Pp_4950,Metalloprotease TldD/E C-terminal domain-containing protein,PP_0815,R1,559285.8,0.013591293,-1.866739216
