Organism,Protein,COG,Cat,Annotation
2257,2364,COG0442,J,Prolyl-tRNA synthetase
2221,4601,COG0443,O,Molecular chaperone DnaK (HSP70)
1474,8269,COG0444,E P,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"
1741,1794,COG0445,J,tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA
1456,2863,COG0446,I,"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase"
2139,2643,COG0449,M,"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains"
1665,2528,COG0450,V,Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)
2134,16200,COG0451,M,Nucleoside-diphosphate-sugar epimerase
2083,2328,COG0452,H,Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC
1055,1639,COG0455,D N,"MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase"
2163,14227,COG0456,J,Ribosomal protein S18 acetylase RimI and related acetyltransferases
2042,2719,COG0458,E F,Carbamoylphosphate synthase large subunit
2261,3246,COG0459,O,Chaperonin GroEL (HSP60 family)
1996,2377,COG0460,E,Homoserine dehydrogenase
2141,2309,COG0461,F,Orotate phosphoribosyltransferase
2205,2703,COG0462,F,Phosphoribosylpyrophosphate synthetase
2198,17824,COG0463,M,Glycosyltransferase involved in cell wall bisynthesis
2056,3230,COG0465,O,ATP-dependent Zn proteases
1663,2256,COG0466,O,"ATP-dependent Lon protease, bacterial type"
535,1405,COG0467,T,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family"
2237,2554,COG0468,L,RecA/RadA recombinase
2067,2541,COG0469,G,Pyruvate kinase
1112,1312,COG0470,L,"DNA polymerase III, delta prime subunit"
1261,2728,COG0471,G,Di- and tricarboxylate antiporter
2133,3820,COG0472,M,UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase
1958,3176,COG0473,C E,Isocitrate/isopropylmalate dehydrogenase
1472,3051,COG0474,P,Magnesium-transporting ATPase (P-type)
1682,3384,COG0475,P,"Kef-type K+ transport system, membrane component KefB"
1832,2756,COG0476,H,Molybdopterin or thiamine biosynthesis adenylyltransferase
846,2343,COG0477,G E P R,"MFS family permease, includes anhydromuropeptide permease AmpG"
1779,2228,COG0479,C,"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit"
2282,3770,COG0480,J,"Translation elongation factor EF-G, a GTPase"
2058,2089,COG0481,J,"Translation elongation factor EF-4, membrane-bound GTPase"
2069,2309,COG0482,J,"tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain"
1844,3774,COG0483,G,"Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family"
2230,6029,COG0484,O,"DnaJ molecular chaperone, contains DnaJ and DnaJ_C domains"
1839,2023,COG0486,J,tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE
1969,7381,COG0488,R,ATPase components of ABC transporters with duplicated ATPase domains
2111,5318,COG0489,D,"Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family"
2130,11220,COG0491,R,"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II"
2240,5650,COG0492,O,Thioredoxin reductase
1785,4090,COG0493,E R,NADPH-dependent glutamate synthase beta chain or related oxidoreductase
2021,5714,COG0494,V,"8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family"
2263,2339,COG0495,J,Leucyl-tRNA synthetase
1523,1736,COG0496,L,Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE
1916,1986,COG0497,L,DNA repair ATPase RecN
2015,2871,COG0498,E,Threonine synthase
1600,1742,COG0499,H,S-adenosylhomocysteine hydrolase
1763,3687,COG0501,O,Zn-dependent protease with chaperone function
1451,1721,COG0502,H,Biotin synthase or related enzyme
1809,2778,COG0503,F,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
2168,2262,COG0504,F,CTP synthase (UTP-ammonia lyase)
2021,2150,COG0505,E F,Carbamoylphosphate synthase small subunit
1361,1521,COG0506,E,Proline dehydrogenase
1567,2562,COG0507,L,ATPase/5'-3' helicase helicase subunit RecD of the DNA repair enzyme RecBCD (exonuclease V)
1837,5533,COG0508,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"
1784,2127,COG0509,E,Glycine cleavage system protein H (lipoate-binding)
1763,2591,COG0511,I,Biotin carboxyl carrier protein
1937,2515,COG0512,E H,Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)
2060,6519,COG0513,L,Superfamily II DNA and RNA helicase
1634,2798,COG0514,L,Superfamily II DNA helicase RecQ
1565,13905,COG0515,T,"Serine/threonine protein kinase, uncludes type III secretion system effector YopO"
2092,2802,COG0516,F,IMP dehydrogenase/GMP reductase
1685,3044,COG0517,T,CBS domain
2156,3659,COG0518,F,"GMP synthase, glutamine amidotransferase domain"
2145,2209,COG0519,F,"GMP synthase, PP-ATPase domain/subunit"
1975,4163,COG0520,E,Selenocysteine lyase/Cysteine desulfurase
1631,1838,COG0521,H,Molybdopterin adenylyltransferase MoaB/MogA
2281,2357,COG0522,J,Ribosomal protein S4 or related protein
1207,2680,COG0523,R,"Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family"
2081,8020,COG0524,G,"Sugar or nucleoside kinase, ribokinase family"
2261,2320,COG0525,J,Valyl-tRNA synthetase
1758,5226,COG0526,O,Thiol-disulfide isomerase or thioredoxin
2122,3290,COG0527,E,Aspartate kinase
2213,2286,COG0528,F,Uridylate kinase
1152,1419,COG0529,P,Adenylylsulfate kinase or related kinase
1232,1840,COG0530,P,Ca2+/Na+ antiporter
1739,6620,COG0531,E,"Serine and glutamate transporter AimA/YbeC, amino acid:H+ symporter family"
2261,2275,COG0532,J,"Translation initiation factor IF-2, a GTPase"
2263,2362,COG0533,J,tRNA A37 threonylcarbamoyltransferase TsaD
1860,6458,COG0534,V,"Na+-driven multidrug efflux pump, DinF/NorM/MATE family"
1548,4743,COG0535,D H,"Radical SAM superfamily maturase, SkfB/NifB/PqqE family"
2042,2043,COG0536,L D,GTPase involved in cell partioning and DNA repair
2239,4083,COG0537,F R,"Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family"
1299,1332,COG0538,C,Isocitrate dehydrogenase
2058,2445,COG0539,J,Ribosomal protein S1
2056,2118,COG0540,F,"Aspartate carbamoyltransferase, catalytic subunit"
2188,2198,COG0541,U,Signal recognition particle GTPase Srp/Ffh
2073,5306,COG0542,O,"ATP-dependent Clp protease, ATP-binding subunit ClpA"
1343,2441,COG0543,C H,NAD(P)H-flavin reductase
2055,2178,COG0544,O,FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
1216,2675,COG0545,O,FKBP-type peptidyl-prolyl cis-trans isomerase
1960,5333,COG0546,C,"Phosphoglycolate phosphatase, HAD superfamily"
1875,2363,COG0547,E,"Anthranilate phosphoribosyltransferase, glycosyltransferase domain"
1852,2346,COG0548,E,N-acetylglutamate kinase
528,653,COG0549,E,Carbamate kinase
2235,3258,COG0550,L,DNA topoisomerase IA
1145,1620,COG0551,L,"DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains"
2170,2175,COG0552,U,Signal recognition particle GTPase FtsY
1491,3044,COG0553,K L,"Superfamily II DNA or RNA helicase, SNF2 family"
1558,1911,COG0554,C,Glycerol kinase
830,1020,COG0555,P,"ABC-type sulfate transport system, permease component"
2124,2145,COG0556,L,Excinuclease UvrABC helicase subunit UvrB
1844,2255,COG0557,K,Exoribonuclease R
2065,3742,COG0558,I,Phosphatidylglycerophosphate synthase
1293,5367,COG0559,E,"Branched-chain amino acid ABC-type transport system, permease component"
1608,2928,COG0560,E,Phosphoserine phosphatase
2188,3055,COG0563,F,Adenylate kinase or related kinase
2096,6030,COG0564,J,"Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific"
1118,1222,COG0565,J,"tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase"
2060,5192,COG0566,J,tRNA G18 (ribose-2'-O)-methylase SpoU
1359,1387,COG0567,C,"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes"
2086,4965,COG0568,K,"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)"
1950,5434,COG0569,T P,"Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain"
2068,2168,COG0571,K,dsRNA-specific ribonuclease
1726,2082,COG0573,P,"ABC-type phosphate transport system, permease component"
1828,3187,COG0574,G,Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
1925,1930,COG0575,I,CDP-diglyceride synthetase
2215,2459,COG0576,O,Molecular chaperone GrpE (heat shock protein HSP-70)
1662,6238,COG0577,V,"ABC-type antimicrobial peptide transport system, permease component"
1313,1880,COG0578,C,Glycerol-3-phosphate dehydrogenase
1147,1469,COG0579,G,L-2-hydroxyglutarate oxidase LhgO
1181,1729,COG0580,G,Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)
1828,2237,COG0581,P,"ABC-type phosphate transport system, permease component"
794,1619,COG0582,L X,"Integrase/recombinase, includes phage integrase"
1902,34485,COG0583,K,"DNA-binding transcriptional regulator, LysR family"
1748,3650,COG0584,I,Glycerophosphoryl diester phosphodiesterase
584,626,COG0585,J,tRNA(Glu) U13 pseudouridine synthase TruD
1603,3496,COG0586,M,"Undecaprenyl phosphate translocase (flippase), DedA/Tvp38 family"
2078,3192,COG0587,L,"DNA polymerase III, alpha subunit"
1832,9659,COG0589,T,"Nucleotide-binding universal stress protein, UspA family"
2021,3190,COG0590,J,tRNA(Arg) A34 adenosine deaminase TadA
1627,4270,COG0591,E,Na+/proline symporter
2275,2576,COG0592,L,"DNA polymerase III sliding clamp (beta) subunit, PCNA homolog"
2041,3073,COG0593,L,Chromosomal replication initiation ATPase DnaA
1906,1906,COG0594,J,RNase P protein component
2096,22530,COG0596,H R,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold"
2030,2344,COG0597,M U,Lipoprotein signal peptidase
1722,2711,COG0598,P,Mg2+ and Co2+ transporter CorA
1360,2555,COG0599,R,"Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family"
1516,5902,COG0600,P,"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"
1824,8432,COG0601,E P,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
1575,1883,COG0602,H,Organic radical activating enzyme NrdG/QueE
1304,1428,COG0603,J,7-cyano-7-deazaguanine synthase (queuosine biosynthesis)
1655,8394,COG0604,C R,NADPH:quinone reductase or related Zn-dependent oxidoreductase
1837,2363,COG0605,P,Superoxide dismutase
1753,2072,COG0606,O,"Predicted Mg-chelatase, contains ChlI-like and ATPase domains, YifB family"
2030,8655,COG0607,P,Rhodanese-related sulfurtransferase
1955,2199,COG0608,L,"ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation"
1748,4852,COG0609,P,"ABC-type Fe3+-siderophore transport system, permease component"
1578,1601,COG0611,H,Thiamine monophosphate kinase
1842,4923,COG0612,R,"Predicted Zn-dependent peptidase, M16 family"
1453,2366,COG0613,F,"5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain"
1806,5468,COG0614,P,"ABC-type Fe3+-hydroxamate transport system, periplasmic component"
1659,2674,COG0616,O,"Periplasmic serine protease, ClpP class"
2052,2932,COG0617,J,tRNA nucleotidyltransferase (CCA-adding enzyme)/poly(A) polymerase
1193,1793,COG0620,E,Methionine synthase II (cobalamin-independent)
2130,4601,COG0621,J,tRNA A37 methylthiotransferase MiaB
2040,8023,COG0624,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
981,8295,COG0625,O,Glutathione S-transferase or stringent starvation protein SspA
1672,3840,COG0626,E,Cystathionine beta-lyase/cystathionine gamma-synthase
989,1405,COG0627,V,S-formylglutathione hydrolase FrmB
2121,5839,COG0628,R,Predicted PurR-regulated permease PerM
2076,3739,COG0629,L,Single-stranded DNA-binding protein
1375,2877,COG0631,T,Serine/threonine protein phosphatase PrpC
2043,2047,COG0632,L,Holliday junction resolvasome RuvABC DNA-binding subunit
1416,5252,COG0633,C,Ferredoxin
1622,1737,COG0634,F,Hypoxanthine-guanine phosphoribosyltransferase
1979,3392,COG0635,H,Coproporphyrinogen-III oxidase HemN (oxygen-independent) or related Fe-S oxidoreductase
1809,2076,COG0636,C,"FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K"
1767,4143,COG0637,G,"Beta-phosphoglucomutase, HAD superfamily"
2064,10977,COG0640,K,"DNA-binding transcriptional regulator, ArsR family"
691,1233,COG0641,O,"Sulfatase maturation enzyme AslB, radical SAM superfamily"
2071,22632,COG0642,T,Signal transduction histidine kinase
1246,2833,COG0643,T,Chemotaxis protein histidine kinase CheA
1620,4194,COG0644,C,Dehydrogenase (flavoprotein)
728,916,COG0645,R,"Predicted kinase, contains AAA domain"
1573,1854,COG0646,E,"Methionine synthase I (cobalamin-dependent), methyltransferase domain"
1433,1717,COG0649,C,NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)
1213,2337,COG0651,C P,"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit"
1983,4027,COG0652,O,Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
2058,2337,COG0653,U,Preprotein translocase subunit SecA
1361,6530,COG0654,C H,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
1390,3149,COG0655,C,"Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase"
1252,2670,COG0656,Q,"Aldo/keto reductase, related to diketogulonate reductase"
1495,5288,COG0657,I,Acetyl esterase/lipase
1905,1910,COG0658,U,"DNA uptake channel protein ComEC, N-terminal domain"
1505,3234,COG0659,P,"Sulfate permease or related transporter, MFS superfamily, contains STAS domain"
1608,2608,COG0661,T H,"Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family"
1708,3917,COG0662,G,"Mannose-6-phosphate isomerase, cupin superfamily"
1621,2419,COG0663,R,"Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily"
1884,11674,COG0664,T,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases
1770,8471,COG0665,E,Glycine/D-amino acid oxidase (deaminating)
1171,3503,COG0666,T,Ankyrin repeat
1757,8211,COG0667,H R,"Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family"
1935,4296,COG0668,M,Small-conductance mechanosensitive channel
1986,2025,COG0669,H,Phosphopantetheine adenylyltransferase
1167,1309,COG0670,P,"Integral membrane protein YbhL, putative Ca2+ regulator, Bax inhibitor (BI-1)/TMBIM family"
1572,2692,COG0671,I,Membrane-associated phospholipid phosphatase
613,687,COG0672,P,High-affinity Fe2+/Pb2+ permease
1864,13722,COG0673,R,Predicted dehydrogenase
384,391,COG0676,G,D-hexose-6-phosphate mutarotase
605,727,COG0678,O,Peroxiredoxin
1466,2716,COG0679,R,"Predicted permease, AEC (auxin efflux carrier) family"
2103,3083,COG0681,U,Signal peptidase I
2027,2450,COG0682,M,Prolipoprotein diacylglyceryltransferase
1606,8381,COG0683,E,"ABC-type branched-chain amino acid transport system, periplasmic component"
971,1890,COG0684,J,RNA degradosome component RraA (regulator of RNase E activity)
1801,2271,COG0685,E,"5,10-methylenetetrahydrofolate reductase"
1160,3064,COG0687,E,Spermidine/putrescine-binding periplasmic protein
1444,1610,COG0688,I,Phosphatidylserine decarboxylase
1566,1578,COG0689,J,Ribonuclease PH
1888,1891,COG0690,U,Preprotein translocase subunit SecE
2079,2093,COG0691,O,tmRNA-binding protein
1289,1331,COG0692,L,Uracil-DNA glycosylase
1632,3243,COG0693,V,"Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)"
1354,1809,COG0694,O,"Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain"
1714,3219,COG0695,O,Glutaredoxin
1322,1384,COG0696,G,"Phosphoglycerate mutase (BPG-independent), AlkP superfamily"
2068,13867,COG0697,G E R,Permease of the drug/metabolite transporter (DMT) superfamily
513,548,COG0700,S,Spore maturation protein SpmB (function unknown)
1453,4449,COG0702,R,"Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains"
1964,2378,COG0703,E,Shikimate kinase
1805,2479,COG0704,P,Phosphate uptake regulator PhoU
1695,3287,COG0705,O,"Membrane-associated serine protease, rhomboid family"
2072,2328,COG0706,M,Membrane protein insertase Oxa1/YidC/SpoIIIJ
2064,2822,COG0707,M,UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase
1868,2906,COG0708,L,Exonuclease III
839,866,COG0709,E,Selenophosphate synthase
1959,2636,COG0711,C,"FoF1-type ATP synthase, membrane subunit b or b'"
1945,2003,COG0712,C,"FoF1-type ATP synthase, delta subunit"
1386,1616,COG0713,C,NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
1941,7177,COG0714,R,"MoxR-like ATPase, includes components of a predicted archaeal secretion system"
1667,6898,COG0715,P,"ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component"
889,1911,COG0716,C,Flavodoxin
1488,1667,COG0717,F,dCTP deaminase
1807,1918,COG0718,K,DNA-binding nucleoid-associated protein YbaB/EfbC
1524,2053,COG0720,H,6-pyruvoyl-tetrahydropterin synthase
1836,1854,COG0721,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit
769,1130,COG0722,E,3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase
1423,2108,COG0723,C,Rieske Fe-S protein
1502,2092,COG0725,P,"ABC-type molybdate transport system, periplasmic Mo-binding protein ModA"
1852,6321,COG0726,M G,"Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family"
862,1301,COG0727,R,"Uncharacterized protein YkgJ, contains CxxCxxCC motif"
1617,1981,COG0728,M,Lipid II flippase MurJ/MviN (peptidoglycan biosynthesis)
803,899,COG0729,M,Outer membrane translocation and assembly module TamA
1918,5465,COG0730,P,"Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family"
1292,2487,COG0732,V,Restriction endonuclease S subunit
2049,4946,COG0735,P,Fe2+ or Zn2+ uptake regulation protein Fur/Zur
1385,2701,COG0737,V F,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family"
1814,5282,COG0739,M,"Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain"
2050,3767,COG0740,O,"ATP-dependent protease ClpP, protease subunit"
1556,4304,COG0741,M U,"Soluble lytic murein transglycosylase or regulatory protein ( may contain LysM/invasin domain), , includes type III secretion system proteins IagB/IpgF/YsaH"
1987,2037,COG0742,J,16S rRNA G966 N2-methylase RsmD
1706,1716,COG0743,I,1-deoxy-D-xylulose 5-phosphate reductoisomerase
1715,3543,COG0744,M,"Penicillin-binding protein 1B/1F, peptidoglycan transglycosylase/transpeptidase"
2126,31286,COG0745,K T,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
1555,1662,COG0746,H,Molybdopterin-guanine dinucleotide biosynthesis protein A
1802,9317,COG0747,E,"ABC-type transport system, periplasmic component"
444,474,COG0748,P,"Putative heme iron utilization protein, contains PNPOx domain"
2000,2350,COG0749,L,"DNA polymerase I, 3'-5' exonuclease and polymerase domains"
2182,2501,COG0750,K O,"Membrane-associated protease RseP, regulator of RpoE activity"
1311,1318,COG0751,J,"Glycyl-tRNA synthetase, beta subunit"
1307,1308,COG0752,J,"Glycyl-tRNA synthetase, alpha subunit"
995,1581,COG0753,P,Catalase
1618,1940,COG0755,O,"ABC-type transport system involved in cytochrome c biogenesis, permease component"
1663,1719,COG0756,V F,dUTP pyrophosphatase (dUTPase)
1620,1754,COG0757,E,3-dehydroquinate dehydratase
1981,2266,COG0758,L,Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake
1943,2056,COG0759,M,"Membrane-anchored protein YidD, putatitve component of membrane protein insertase Oxa1/YidC/SpoIIIJ"
1676,4210,COG0760,O,"Peptidyl-prolyl isomerase, parvulin family"
1754,1859,COG0761,I,4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH
1172,1248,COG0762,O,"Cytochrome b6 maturation protein CCB3/Ycf19 and related maturases, YggT family"
1265,1359,COG0763,M,Lipid A disaccharide synthetase
1744,3018,COG0764,I,3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase
1444,6676,COG0765,E,"ABC-type amino acid transport system, permease component"
2007,2445,COG0766,M,UDP-N-acetylglucosamine enolpyruvyl transferase
1343,2373,COG0767,M,Permease subunit MlaE of the ABC-type intermembrane phospholipid transporter Mla
2023,5041,COG0768,D M,"Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)"
2044,3002,COG0769,M,UDP-N-acetylmuramyl tripeptide synthase
2055,2353,COG0770,M,UDP-N-acetylmuramyl pentapeptide synthase
2011,2067,COG0771,M,UDP-N-acetylmuramoylalanine-D-glutamate ligase
2026,4359,COG0772,D,Peptodoglycan polymerase FtsW/RodA/SpoVE
2009,2768,COG0773,M,"UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family"
1279,1295,COG0774,M,UDP-3-O-acyl-N-acetylglucosamine deacetylase
1367,1924,COG0775,F H,"Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB"
2016,5214,COG0776,B,"DNA-binding chromatin protein HU or IHF, alpha or beta variants"
1642,1810,COG0777,I,Acetyl-CoA carboxylase beta subunit
2051,6650,COG0778,C,Nitroreductase
1805,1806,COG0779,J,Ribosome maturation factor RimP
1136,1148,COG0780,J,"NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily"
2078,2921,COG0781,K,Transcription antitermination protein NusB
1985,3481,COG0782,K,"Transcription elongation factor, GreA/GreB family"
1295,1777,COG0783,B,DNA-binding ferritin-like chromatin protein Dps
1621,17364,COG0784,T,"CheY-like REC (receiver) domain, includes chemotaxis protein CheY and sporulation regulator Spo0F"
401,506,COG0786,E,Na+/glutamate symporter
1941,2379,COG0787,M,Alanine racemase
1110,1277,COG0788,F,Formyltetrahydrofolate hydrolase
1906,9983,COG0789,K,"DNA-binding transcriptional regulator, MerR family"
1008,3397,COG0790,R,TPR repeat
1599,4245,COG0791,M,"Cell wall-associated hydrolase, NlpC_P60 family"
1805,1824,COG0792,L,"Predicted endonuclease distantly related to archaeal Holliday junction resolvase, YraN/UPF0102 family"
1868,4910,COG0793,O,"C-terminal processing protease CtpA/Prc, contains a PDZ domain"
1416,1660,COG0794,M G,D-arabinose 5-phosphate isomerase GutQ
1361,2725,COG0795,M N,"Lipopolysaccharide export LptBFGC system, permease protein LptF"
1700,1779,COG0796,M,Glutamate racemase
1039,1452,COG0797,M,"Peptidoglycan lytic transglycosylase RlpA, contains C-terminal SPOR domain"
1119,1395,COG0798,P,"Arsenite efflux pump ArsB, ACR3 family"
1954,1955,COG0799,J,"Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits"
1267,1911,COG0800,G,2-keto-3-deoxy-6-phosphogluconate aldolase
1836,2078,COG0801,H,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (folate biosynthesis)"
2046,2051,COG0802,J,tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE
1607,2459,COG0803,P,"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA"
672,726,COG0804,E,Urease alpha subunit
1795,2004,COG0805,U,Twin-arginine protein secretion pathway component TatC
1913,1916,COG0806,J,"Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing"
1804,2505,COG0807,H,GTP cyclohydrolase II
1758,1894,COG0809,J,S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)
1307,4212,COG0810,M,"Periplasmic protein TonB, links inner and outer membranes"
1385,4202,COG0811,U,Biopolymer transport protein ExbB/TolQ
2026,2114,COG0812,M,UDP-N-acetylenolpyruvoylglucosamine reductase
258,709,COG0814,E,Amino acid permease
1404,1622,COG0815,M,Apolipoprotein N-acyltransferase
1983,2075,COG0816,J K L,"YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor"
1826,1878,COG0817,L,Holliday junction resolvasome RuvABC endonuclease subunit RuvC
1190,1279,COG0818,I,Diacylglycerol kinase
584,762,COG0819,H,Aminopyrimidine aminohydrolase TenA (thiamine salvage pathway)
1918,2130,COG0820,J,Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37
1742,1767,COG0821,I,4-hydroxy-3-methylbut-2-enyl diphosphate synthase IspG/GcpE
1818,2317,COG0822,O,"Fe-S cluster assembly scaffold protein IscU, NifU family"
1470,3701,COG0823,U,Periplasmic component TolB of the Tol biopolymer transport system
1835,4867,COG0824,I,Acyl-CoA thioesterase FadM
1639,1702,COG0825,I,Acetyl-CoA carboxylase alpha subunit
1157,2358,COG0826,J,"23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family"
1599,1721,COG0828,J,Ribosomal protein S21
663,707,COG0829,O,Urease accessory protein UreH
664,704,COG0830,O,Urease accessory protein UreF
678,736,COG0831,E,Urease gamma subunit
665,721,COG0832,E,Urease beta subunit
320,474,COG0833,E,Amino acid permease
1767,11106,COG0834,T E,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
1239,4105,COG0835,T,Chemotaxis signal transduction protein CheW
1465,1697,COG0836,M,Mannose-1-phosphate guanylyltransferase
726,830,COG0837,G,Glucokinase
1414,1656,COG0838,C,NADH:ubiquinone oxidoreductase subunit 3 (chain A)
1395,1616,COG0839,C,NADH:ubiquinone oxidoreductase subunit 6 (chain J)
1354,16692,COG0840,T,Methyl-accepting chemotaxis protein (MCP)
1659,8652,COG0841,V,Multidrug efflux pump subunit AcrB
1895,6282,COG0842,V,"ABC-type multidrug transport system, permease component"
1458,2624,COG0843,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
1713,11708,COG0845,V M,Multidrug efflux pump subunit AcrA (membrane-fusion protein)
1500,1973,COG0846,O,"NAD-dependent protein deacetylase, SIR2 family"
1641,3355,COG0847,L,"DNA polymerase III, epsilon subunit or related 3'-5' exonuclease"
1353,4483,COG0848,U,Biopolymer transport protein ExbD
1578,1717,COG0849,D,Cell division ATPase FtsA
871,893,COG0850,D,Septum site-determining protein MinC
731,739,COG0851,D,Septum formation topological specificity factor MinE
1469,1805,COG0852,C,NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)
1200,1212,COG0854,H,Pyridoxine 5'-phosphate synthase PdxJ
1526,1648,COG0855,P,Polyphosphate kinase
664,726,COG0857,R,BioD-like N-terminal domain of phosphotransacetylase
2037,2063,COG0858,J,Ribosome-binding factor RbfA
1098,3450,COG0859,M,ADP-heptose:LPS heptosyltransferase
1758,3474,COG0860,M,N-acetylmuramoyl-L-alanine amidase
1341,2342,COG0861,P,Tellurite resistance membrane protein TerC
627,899,COG0864,K,"Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain"
1642,1723,COG1003,E,"Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain"
1705,2205,COG1004,M,UDP-glucose 6-dehydrogenase
1422,1682,COG1005,C,NADH:ubiquinone oxidoreductase subunit 1 (chain H)
