orgId	locusId	sysName	geneName	desc	set8IT058 Adaptation in M9 media timecourse 1; day 2	set8IT059 Adaptation in M9 media timecourse 1; day 3	set8IT060 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT062 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT064 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT070 Adaptation in M9 media timecourse 2; day 3	set8IT073 48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.	set8IT080 Adaptation in M9 media timecourse 3; day 2	set8IT081 Adaptation in M9 media timecourse 3; day 3	"set8IT082 24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO."	"set8IT084 40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO."	"set8IT085 40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO."	set8IT089 Adaptation in M9 media timecourse 4; day 2	set8IT090 Adaptation in M9 media timecourse 4; day 3	set8IT092 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set8IT093 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT094 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set8IT095 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT096 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set9IT020 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay	set9IT022 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay	set9IT025 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay
Putida	PP_0801	PP_0801		conserved exported protein of unknown function	0.249	-1.693	-0.962	-1.255	-1.908	0.263	-0.266	0.17	-0.277	-1.241	-0.737	-0.158	0.325	-0.192	-0.478	-0.713	0.397	-0.158	0.113	0.043	-0.076	0.371
Putida	PP_0802	PP_0802		putative chemotaxis protein	0.316	-0.003	-0.299	-0.096	0.146	0.129	0.388	0.108	0.019	0.152	0.114	-0.037	-0.063	0.061	0.063	0.162	0.117	-0.284	-0.352	0.015	0.018	0.413
Putida	PP_0803	PP_0803		"Protein secretion ABC efflux system, membrane fusion protein"	0.265	0.446	0.82	0.576	1.114	0.118	1.489	0.466	0.238	1.418	0.901	0.916	0.057	0.121	1.131	1.649	1.096	1.632	1.035	0.975	0.684	2.175
Putida	PP_0804	PP_0804		"Protein secretion ABC efflux system, permease and ATP-binding protein"	0.254	0.463	0.87	0.861	0.923	0.414	1.755	0.176	0.071	1.072	0.768	0.786	-0.165	0.098	1.058	1.761	0.96	1.727	0.92	0.899	0.777	2.013
Putida	PP_0805	PP_0805		Outer membrane efflux protein	0.267	0.276	0.986	0.686	0.908	0.104	1.487	0.38	0.187	1.128	0.788	0.84	-0.101	0.094	0.996	1.91	1.173	1.808	1.21	0.862	0.654	2.112
Putida	PP_0806	PP_0806		putative Surface adhesion protein	0.244	0.388	0.862	0.904	1.157	0.201	1.669	0.203	0.261	1.321	0.668	0.92	0.053	0.114	0.98	1.72	1.031	1.723	1.003	1.068	0.884	2.181
Putida	PP_0807	PP_0807		DNA-binding transcriptional dual regulator (NO)	0.233	0.323	0.222	0.002	0.18	-0.077	-0.304	0.207	0.132	0.073	-0.042	0.167	-0.264	-0.001	0.089	0.385	0.069	-0.008	-0.343	-0.066	-0.108	-0.323
Putida	PP_0808	PP_0808		Flavohemoprotein	-0.019	0.29	-0.151	0.104	0.117	0.194	-0.115	0.118	-0.043	-0.141	0.091	-0.076	0.096	0.085	0.019	-0.067	0.067	-0.06	-0.14	-0.006	-0.13	0.078
Putida	PP_0809	PP_0809		disulfide bond formation protein B	-0.568	-0.706	-1.456	-0.805	-0.991	-0.14	0.05	-0.01	-0.69	-1.002	-1.296	-1.35	0.163	0.034	0.261	-0.083	-0.028	-0.388	-0.023	-0.023	-0.021	0.178
Putida	PP_0817	PP_0817		aminotransferase	0.041	0.036	-0.351	0.17	0.18	-0.229	0.1	0.144	0.121	0.588	0.257	0.218	-0.139	-0.265	0.074	0.008	-0.059	-0.098	-0.046	0.136	0.203	0.226
Putida	PP_0818	PP_0818		conserved protein of unknown function	0.103	0.055	-0.103	-0.032	0.047	0.024	-0.011	0.029	0.053	0.019	-0.112	-0.024	0.01	0.13	0.063	0.052	0.156	0.151	0.023	-0.029	-0.101	-0.385
Putida	PP_0819	PP_0819		conserved ferredoxin-like protein of unknown function	-0.171	0.177	0.332	-0.234	0.571	0.11	0.207	-0.195	-0.186	-0.078	-0.033	-0.454	-0.206	0.038	-0.13	0.109	0.086	0.013	-0.302	-0.22	-0.264	-0.024
Putida	PP_0820	PP_0820		GCN5-related N-acetyltransferase	0.222	0.103	0.375	0.209	0.17	-0.263	0.072	0.028	0.19	-0.306	0.364	0.464	-0.414	0.22	0.286	0.393	0.478	-0.337	-0.055	0.165	-0.089	0.072
Putida	PP_0821	PP_0821		conserved exported protein of unknown function	0.346	-0.001	-0.703	0.322	0.445	-0.163	-0.111	0.024	-0.095	-0.099	-0.38	-0.077	0.043	-0.076	-1.048	-0.487	-0.07	0.371	-0.242	0.024	0.366	0.332
Putida	PP_0822	PP_0822		tRNA 2-selenouridine synthase	0.166	0.093	0.204	-0.052	0.308	0.072	-0.07	0.167	0.14	0.309	-0.072	0.011	0.063	-0.113	-0.08	0.195	-0.171	0.068	0.065	-0.067	0.293	-0.016
Putida	PP_0823	PP_0823		"Selenide, water dikinase"	0.011	-0.025	-0.137	0.087	0.067	0.082	0.093	0.054	0.026	0.195	0.168	0.099	0.215	-0.024	-0.211	0.122	0.078	0.422	0.205	0.201	0.056	0.048
Putida	PP_0824	PP_0824		phosphonate transport system-binding protein	-0.311	0.088	-0.171	0.155	0.235	-0.257	0.162	-0.045	0.268	-0.177	0.237	-0.042	-0.012	-0.029	-0.023	0.112	-0.07	0.077	0.261	-0.125	-0.426	-0.581
Putida	PP_0825	PP_0825		phosphonates import ATP-binding protein	-0.042	-0.15	0.14	0.214	-0.18	0.071	-0.117	-0.232	-0.276	-0.025	0.173	-0.459	-0.887	-0.343	-0.162	-0.116	-0.366	-0.035	-0.193	-0.126	-0.063	0.257
Putida	PP_0826	PP_0826		"phosphonate ABC transporter, permease protein"	0.105	0.05	0.197	0.053	-0.305	0.452	-0.026	-0.151	-0.066	-0.052	0.107	0.022	0.11	0.095	0.145	-0.406	0.029	0.243	-0.219	0.15	-0.1	-0.323
Putida	PP_0827	PP_0827		putative phosphonate transport system permease protein PtxC	0.044	0.236	0.155	-0.162	-0.135	0.084	-0.224	-0.106	-0.085	-0.98	0.065	-0.262	-0.355	0.027	0.008	-0.155	0.129	0.047	-0.043	-0.146	0.406	0.064
Putida	PP_0828	PP_0828		conserved membrane protein of unknown function	0.092	0.432	0.008	-0.189	-0.009	0.348	-0.309	0.081	0.26	0.13	0.134	0.101	0.132	0.036	-0.243	-0.089	-0.178	-0.062	-0.181	0.61	0.198	-0.003
Putida	PP_0829	PP_0829		conserved protein of unknown function	0.236	0.117	0.103	0.066	0.501	0.036	0.237	-0.016	-0.07	0.042	0.105	-0.238	-0.09	0.077	0.005	-0.017	0.206	-0.147	0.135	-0.064	-0.088	-0.06
Putida	PP_0830	PP_0830		"Acetyltransferase, GNAT family"	0.079	0.142	0.169	0.134	0.154	-0.18	0.113	0.017	-0.304	0.124	0.059	-0.429	-0.067	-0.012	0.152	-0.013	0.156	-0.382	0.18	-0.02	-0.002	0.129
Putida	PP_0831	PP_0831		hypothetical protein	-0.048	0.1	0.102	-0.473	-0.14	0.05	-0.802	0.069	-0.147	-0.512	-0.376	-0.301	-0.036	0.063	0.128	0.394	0.124	0.02	0.076	-0.533	-0.164	-0.176
Putida	PP_0832	PP_0832		S-adenosylmethionine:tRNA ribosyltransferase-isomerase	-0.052	-0.733	1.198	0.768	0.471	0.522	1.225	-0.128	-0.089	0.697	0.477	0.357	-0.728	-0.688	-0.297	0.288	0.319	0.081	-0.121	0.848	0.679	1.577
Putida	PP_0833	PP_0833		queuine tRNA-ribosyltransferase	-1.809	-0.511	1.008	0.669	1.19	0.273	1.804	-0.23	-0.729	1.99	1.304	1.096	-0.852	-0.345	1.552	1.696	1.084	1.678	1.91	1.295	1.218	2.484
Putida	PP_0834	PP_0834		Sec translocation complex subunit YajC	-0.614	1.463	0.395	-0.614	1.337	-0.187	1.816	1.28	-0.557	1.369	-0.163	0.194	0.212	-1.904	0.98	0.082	1.333	1.108	-1.157	1.121	1.746	1.606
Putida	PP_0837	PP_0837		putative regulator of flagellation	0.132	0.108	-0.2	0.05	0.165	0.095	0.216	0.168	-0.179	-0.341	0.193	-0.137	0.056	-0.044	-0.004	0.02	-0.124	0.14	-0.154	0.163	-0.291	-0.117
Putida	PP_0839	PP_0839		tRNA Cm32/Um32 methyltransferase	-0.351	0.407	0.387	0.534	-1.428	0.253	0.933	-0.554	-0.288	0.357	0.439	0.165	-0.316	-0.633	0.039	0.137	-0.19	0.336	-0.662	0.386	0.04	-0.105
Putida	PP_0840	PP_0840		serine acetyltransferase	0.363	-0.132	-0.055	0.032	0.442	0.056	0.265	0.15	-0.116	0.491	-0.098	0.711	0.012	0.241	0.192	0.336	0.433	0.119	-0.008	-0.298	-0.376	-0.105
Putida	PP_0841	PP_0841		DNA-binding transcriptional dual regulator 2Fe-2S cluster IscR	-0.066	-0.245	-0.658	-1.574	-0.346	-0.068	-0.555	-0.281	-0.796	-0.428	-0.803	-0.585	-0.019	-0.598	-0.27	-0.049	-0.77	-0.391	-0.273	-0.342	-0.114	-0.493
Putida	PP_0846	PP_0846		DnaK-like molecular chaperone specific for IscU	-4.082	-1.263	-1.293	-1.658	1.101	0.151	0.887	0.868	-0.234	0.841	0.284	0.975	-0.48	0.022	-0.299	1.107	0.79	1.891	-0.701	-0.11	0.507	0.246
Putida	PP_0848	PP_0848		donor of Fe2+ and regulator of cysteine desulfurase activity	0.247	0.994	-0.353	0.183	0.696	-0.211	-0.291	-0.092	0.223	0.305	0.342	-0.245	-0.929	-0.741	-0.581	0.151	0.353	0.779	0.184	-0.026	-0.066	-0.072
Putida	PP_0850	PP_0850		Dual-specificity RNA methyltransferase RlmN	-0.176	-0.06	0.363	-0.501	0.231	0.01	0.066	-0.337	-0.005	-0.01	-0.196	0.061	0.196	0.065	0.01	0.076	-0.041	0.02	-0.024	0.297	-0.322	-0.325
Putida	PP_0851	PP_0851		Type IV pili biogenesis protein PilF	0.052	0.225	0.228	0.036	0.229	0.084	0.101	0.155	0.101	0.15	0.107	0.18	-0.143	-0.064	0.022	-0.047	-0.067	0.165	0.077	0.217	0.188	-0.136
Putida	PP_0852	PP_0852		"Transcriptional regulator, Cro/CI family"	-0.544	-0.208	-0.094	-1.219	-0.5	-0.498	0.838	-0.61	-0.497	0.475	-0.477	-0.108	-0.143	0.439	1.344	0.606	0.837	1.693	0.904	0.349	0.068	0.522
Putida	PP_0855	PP_0855		conserved protein of unknown function	-0.882	0.601	1.244	0.577	0.679	0.383	2.792	-0.378	0.082	1.747	0.546	0.628	0.155	0.24	1.263	1.295	0.872	1.619	1.037	-0.32	0.562	0.622
Putida	PP_0856	PP_0856		conserved lipoprotein of unknown function	-1.309	-0.608	0.888	0.531	1.019	0.253	3.498	0.415	0.707	3.151	2.121	2.339	-0.337	0.632	1.591	1.749	1.548	2.347	1.209	1.328	1.231	2.532
Putida	PP_0858	PP_0858		putative methionine/glutamine aminotransferase	0.09	0.032	0.161	0.258	0.287	-0.13	-0.137	-0.077	0.058	0.054	-0.106	0.053	0.112	0.14	-0.046	0.222	0.078	0.343	0.112	-0.13	0.023	0.142
Putida	PP_0859	PP_0859		putative ketoglutaramate omega-amidase	-0.167	-0.297	0.043	-0.309	-0.409	-0.142	0.179	-0.129	-0.292	-0.079	0.023	-0.01	0.135	0.336	0.467	0.28	0.437	0.239	0.285	-0.608	-0.173	-0.068
Putida	PP_0860	PP_0860		"putative Sulfite reductase, flavoprotein component"	-0.013	-0.09	-0.053	-0.02	0.073	-0.163	-0.337	0.065	-0.025	-0.176	0.28	0.036	-0.032	-0.066	-0.054	-0.243	-0.146	-0.175	0.073	0.006	-0.084	0.068
Putida	PP_0861	PP_0861		outer membrane ferric siderophore receptor	-0.089	-0.048	-0.164	-0.079	0.055	-0.02	-0.012	-0.078	0.067	-0.07	0.065	0.038	0.095	0.031	0.147	0.025	-0.05	0.108	0.161	-0.034	-0.233	-0.149
Putida	PP_0862	PP_0862		PKHD-type hydroxylase PP_0862	0.085	0.056	-0.52	-0.1	-0.271	-0.143	-0.463	0.231	0.008	-0.422	-0.023	0.232	-0.308	-0.107	-0.093	-0.247	0.124	-0.272	-0.049	0.205	0.2	-0.128
Putida	PP_0863	PP_0863		conserved protein of unknown function	0.021	0.205	-0.085	0.145	0.048	0.099	0.312	-0.139	-0.121	0.22	-0.039	-0.238	0.218	-0.003	0.029	0.297	-0.004	0.323	-0.024	0.095	0.047	0.067
Putida	PP_0864	PP_0864		ornithine decarboxylase	0.069	-0.004	-0.025	0.049	0.071	0.103	-0.03	0.092	0.133	0.189	-0.013	-0.006	-0.186	-0.264	-0.052	-0.343	-0.042	-0.137	-0.017	-0.209	-0.25	-0.027
Putida	PP_0865	PP_0865		ECF subfamily RNA polymerase sigma-24 factor	0.099	0.194	-0.406	0.304	0.247	-0.123	-0.708	0.188	-0.031	-0.476	-0.196	-0.032	-0.017	0.223	0.192	0.406	0.083	0.13	-0.065	0.167	0.347	0.228
Putida	PP_0866	PP_0866		putative Transmembrane sensor	-0.005	-0.145	0.08	0.093	0.11	0.078	-0.089	-0.119	-0.179	0.079	-0.007	0.092	0.019	-0.047	-0.237	0.053	0.06	-0.168	0.06	-0.099	-0.27	-0.064
Putida	PP_0867	PP_0867		FecA-like outer membrane receptor	0.005	0.077	-0.162	0.037	0.033	-0.016	-0.088	0.075	0.082	0.101	-0.076	0.062	0.002	0.025	0.003	0.019	0.08	0.09	0.066	0.058	0.074	0.173
Putida	PP_0868	PP_0868		ABC transporter ATP-binding subunit	-0.037	0.002	-0.024	-0.101	-0.041	0.071	0.387	0.109	-0.252	-0.136	-0.318	-0.057	-0.186	-0.046	0.165	0.209	-0.108	0.287	-0.016	0.02	0.155	-0.338
Putida	PP_0869	PP_0869		osmoprotectant ABC transporter permease subunit	0.175	-0.183	0.042	-0.004	0.469	0.181	0.231	0.208	-0.003	0	0.022	0.369	-0.155	-0.296	0.293	-0.423	0.01	-0.363	-0.192	0.194	-0.693	0.274
Putida	PP_0870	PP_0870		"putative Glycine betaine/carnitine/choline ABC transporter, periplasmic binding protein"	0.25	0.095	-0.109	-0.149	0.093	0.215	0.027	-0.012	-0.002	0.02	-0.157	0.031	0.065	0.192	-0.004	0.236	0.197	0.175	0.014	0.019	-0.218	-0.232
Putida	PP_0871	PP_0871		"putative Glycine betaine/carnitine/choline ABC transporter, permease protein"	-0.143	-0.211	0.833	0.256	0.728	0.135	0.379	0.175	-0.061	-0.615	0.082	0.086	-0.03	0.194	0.218	0.039	-0.207	0.24	0.102	-0.023	-0.075	0.028
Putida	PP_0872	PP_0872		Peptide chain release factor 3	0.112	-0.177	0.643	0.605	0.742	0.188	1.223	0.057	0.265	0.858	0.868	0.78	0.371	-0.027	0.725	0.58	0.503	1.25	0.133	0.988	0.676	1.518
Putida	PP_0873	PP_0873		putrescine-binding periplasmic protein	0.035	0.155	-0.152	0.048	0.042	-0.024	-0.04	0.109	-0.073	-0.075	-0.101	-0.167	0.013	-0.027	0.043	-0.063	-0.117	-0.18	-0.016	-0.1	-0.046	-0.267
Putida	PP_0874	PP_0874		conserved protein of unknown function	-0.02	0.314	0.039	0.579	-0.326	-0.08	-0.358	0.505	0.244	1.089	-0.374	-0.079	-0.63	0.447	-0.243	0.28	-0.046	0.72	0.554	0.736	0.047	0.218
Putida	PP_0875	PP_0875		conserved protein of unknown function	-0.062	-0.065	-0.239	-0.232	-0.123	-0.124	-0.015	0	-0.09	0.084	-0.225	0.097	0.072	0.216	0.293	0.062	0.212	-0.063	0.204	0.042	0.185	-0.213
Putida	PP_0876	PP_0876		"Transcriptional regulator, AraC family"	-0.137	-0.006	-0.149	-0.353	-0.109	-0.088	-0.007	-0.235	0.049	-0.564	-0.187	-0.016	-0.246	0.109	0.203	-0.425	0.108	-0.398	-0.111	-0.253	-0.056	-0.283
Putida	PP_0878	PP_0878		"dipeptide ABC transporter, binding subunit"	0.336	0.173	0.107	0.043	0.171	-0.176	-0.064	0.295	0.234	0.034	0.247	0.152	-0.366	-0.444	0.163	-0.046	-0.124	-0.405	-0.255	0.484	0.313	0.393
Putida	PP_0879	PP_0879		dipeptide ABC transporter - putative ATP binding subunit	-0.171	-0.389	0.061	0.261	-0.881	-0.103	-0.354	0.204	0.385	0.284	0.155	-0.281	0.185	-0.063	-0.493	0.001	-0.355	-0.616	-0.515	0.338	0.658	0.64
Putida	PP_0880	PP_0880		dipeptide ABC transporter - putative membrane subunit	0.372	0.345	-0.222	-0.213	-0.02	-0.093	-0.513	0.392	0.656	0.707	-0.02	-0.121	-1.183	-0.5	-1.052	-0.608	-1.424	-1.363	-0.576	0.725	0.783	1.099
Putida	PP_0881	PP_0881		dipeptide ABC transporter - putative membrane subunit	0.193	-0.405	0.335	-0.17	-0.747	-0.235	0.104	0.201	-0.022	-0.037	0.008	0.411	-0.175	0.065	-0.453	-0.842	-1.121	-0.887	-0.78	-0.097	-0.021	0.381
Putida	PP_0882	PP_0882		dipeptide ABC transporter - periplasmic binding protein	0.039	-0.363	-0.199	0.195	-0.081	-0.06	-0.01	0.081	-0.114	0.114	0.246	0.132	0.015	0.156	0.244	-0.382	-0.25	0.086	0.109	-0.302	-0.286	-0.116
Putida	PP_0883	PP_0883		glycine-glutamate dipeptide porin	-0.113	-0.17	-0.176	-0.115	-0.193	0.092	0.015	-0.078	-0.082	-0.015	-0.172	-0.133	0	-0.082	-0.112	-0.165	-0.026	-0.132	0.075	0.055	0.25	0.128
Putida	PP_0884	PP_0884		dipeptide ABC transporter - periplasmic binding protein	-0.006	-0.051	-0.331	0.003	0.051	0.088	0.215	0.037	-0.113	0.152	-0.148	-0.046	-0.069	0.013	-0.096	0.019	-0.02	-0.021	0.02	-0.247	-0.04	-0.108
Putida	PP_0885	PP_0885		dipeptide ABC transporter - periplasmic binding protein	0.096	-0.002	-0.25	0.082	0.12	-0.047	0.035	-0.011	0.006	-0.139	-0.005	0.051	0.206	0.032	-0.085	0.052	-0.188	0.038	0.1	-0.22	0.076	-0.061
Putida	PP_0886	PP_0886		conserved exported protein of unknown function	0.101	0.341	0.562	0.493	-0.004	-0.219	-0.321	0.238	0.001	0.331	-0.354	-0.032	0.108	-0.015	0.103	-0.477	0.555	-0.339	-0.06	-0.082	-0.01	-0.034
Putida	PP_0887	PP_0887		Sensor histidine kinase	-0.228	-0.294	-0.037	-0.713	-0.102	-0.232	-0.002	-0.024	-0.108	0.105	-0.145	0.134	-0.142	-0.189	0.053	0.519	0.061	0.431	-0.026	0.379	0.642	0.778
Putida	PP_0888	PP_0888		Photosynthetic apparatus regulatory protein RegA	-0.512	-1.37	1.069	-0.76	0.217	-0.348	2.475	-1.289	-0.241	1.575	0.559	0.838	0.718	0.542	1.632	1.967	1.816	1.912	1.778	1.232	1.027	2.399
Putida	PP_0889	PP_0889		conserved exported protein of unknown function	0.108	0.034	0.101	-0.124	0.158	0.101	-0.09	0.002	0.03	-0.018	0.038	-0.009	-0.054	-0.117	0.194	-0.13	-0.142	-0.2	-0.135	-0.07	-0.227	0.019
Putida	PP_0890	PP_0890		conserved exported protein of unknown function	-0.172	0.227	-0.107	0.32	-0.114	-0.358	-0.125	-0.018	-0.002	-0.029	0.219	-0.113	-0.347	0.096	0.052	-0.153	-0.04	-0.228	-0.116	0.033	-0.234	0.131
Putida	PP_0891	PP_0891		conserved exported protein of unknown function	-0.081	0.074	0.377	0.266	0.335	-0.076	-0.075	-0.179	0.082	0.281	-0.203	-0.215	-0.038	-0.041	0.032	0.454	0.474	-0.524	0.093	0.344	0.515	0.064
Putida	PP_0892	PP_0892		Phospholipase family protein	-0.027	0.112	0.105	0.136	-0.02	0.1	-0.064	-0.062	-0.044	-0.325	0.135	-0.061	-0.13	-0.303	-0.082	-0.023	0.014	-0.143	-0.056	-0.082	-0.114	-0.196
Putida	PP_0893	PP_0893		ThiJ/PfpI family protein	-0.451	0.204	0.214	-0.396	-0.785	-0.401	-0.105	-0.079	-0.329	-0.664	0.215	-1.17	0.146	-0.1	-0.066	-0.489	0.391	-0.126	0.03	-0.137	-0.27	0.151
Putida	PP_0894	PP_0894		conserved protein of unknown function	0.07	0.164	-0.367	0.01	0.076	-0.145	-0.016	0.005	-0.042	0.051	-0.012	-0.114	-0.227	0.067	0.211	-0.2	-0.159	0.141	-0.1	0.056	-0.031	0.204
Putida	PP_0895	PP_0895		conserved protein of unknown function	-0.143	-0.119	-0.211	0.116	-0.039	-0.102	0.058	0.057	0.018	0.101	-0.121	-0.229	-0.015	0.025	-0.122	0.037	0.024	0.177	0.068	-0.119	0.124	-0.076
Putida	PP_0896	PP_0896		Carbon-nitrogen hydrolase family protein	0.079	-0.418	0.122	0.005	-0.151	0.272	0.548	-0.107	0.021	-0.071	0.134	-0.07	-0.382	-0.098	0.136	0.159	-0.013	-0.285	-0.152	-0.465	-0.386	-0.465
Putida	PP_0899	PP_0899		putative Ferredoxin reductase	0.22	0.132	-0.062	0.236	-0.006	0.048	0.106	-0.182	0.046	0.197	-0.196	0.236	0.09	0.194	0.169	-0.17	0.133	-0.1	0.134	-0.118	0.061	-0.067
Putida	PP_0900	PP_0900		PAP2 family protein	-0.136	-0.086	-0.073	0.071	0.129	0.078	-0.218	0.123	0.519	0.571	-0.133	-0.076	0.305	0.121	-0.257	-0.163	-0.321	0.582	0.085	-0.126	0.22	0.026
Putida	PP_0901	PP_0901		DNA-binding response regulator	-0.162	0.018	0.109	0.078	0.028	0.145	-0.179	-0.3	-0.242	-0.393	-0.243	-0.289	0.108	-0.155	-0.266	-0.421	-0.14	-0.1	-0.071	0.112	-0.054	-0.032
Putida	PP_0902	PP_0902		integral membrane sensor signal transduction histidine kinase	-0.107	0.048	-0.308	0.11	0.031	-0.067	-0.142	0.202	-0.081	-0.054	-0.166	-0.124	0.142	0.016	-0.254	-0.026	0.086	-0.099	-0.103	-0.088	-0.176	-0.438
Putida	PP_0903	PP_0903		conserved protein of unknown function	0.043	-0.418	-0.311	-0.036	0.548	0.27	-0.027	-0.488	-0.329	-0.186	-0.122	0.088	0.148	-0.003	-0.244	-0.026	-0.094	-0.017	-0.012	-0.05	-0.042	-0.276
Putida	PP_0904	PP_0904		InaA protein	0.015	0.165	-0.199	0.049	-0.047	-0.076	-0.336	-0.098	0.052	0.01	-0.062	-0.12	-0.034	0.079	0.049	-0.089	-0.042	-0.192	-0.088	0.013	-0.138	-0.276
Putida	PP_0905	PP_0905		conserved exported protein of unknown function	-0.199	-0.108	-0.046	-0.187	-0.323	-0.026	0.002	-0.186	0.293	-1.075	0.254	0.189	0.084	-0.663	-1.016	-0.25	0.234	-0.232	0.349	-0.144	0.578	-0.44
Putida	PP_0906	PP_0906		putative Multidrug efflux RND transporter	-0.019	-0.069	0.075	-0.074	-0.098	-0.024	-0.145	0.066	0.061	-0.085	0.01	0.072	-0.034	0.057	-0.004	-0.014	-0.092	-0.077	0.147	-0.161	0.011	-0.125
Putida	PP_0907	PP_0907		RND efflux membrane fusion protein-related protein	-0.095	-0.07	0.05	-0.191	0.077	-0.091	-0.148	0.06	-0.231	-0.21	-0.213	-0.051	0.082	0.07	-0.144	-0.109	0.004	-0.255	-0.012	-0.085	0.023	-0.065
Putida	PP_0908	PP_0908		conserved exported protein of unknown function	-0.349	-1.015	-1.264	-1.163	-1.955	-0.656	-0.306	-0.607	-1.069	-0.872	-1.011	-1.437	0.114	-0.124	-0.22	0.17	0.084	0.113	-0.015	0.224	0.379	1.065
Putida	PP_0909	PP_0909		conserved exported protein of unknown function	-0.298	-1	-1.064	-1.336	-1.278	-1.185	-0.968	-0.557	-0.801	-1.188	-1.173	-0.743	-0.176	-0.28	-0.009	-0.186	-0.359	-0.782	-0.242	0.282	0.051	0.234
Putida	PP_0910	PP_0910		conserved exported protein of unknown function	-0.961	-1.014	-1.569	-2.012	-1.568	-0.89	-0.925	-0.693	-1.239	-0.897	-2.327	-2.091	-0.039	-0.25	-0.86	-0.877	-1.039	-0.67	-0.821	0.198	-0.089	0.277
Putida	PP_0911	PP_0911		conserved protein of unknown function	0.19	-0.086	-0.191	-0.081	-0.063	-0.027	0.125	0.096	0.064	-0.155	-0.043	0.001	0.131	-0.21	0.222	-0.526	0.316	0.179	0.062	-0.394	-0.152	0.032
Putida	PP_0912	PP_0912		conserved protein of unknown function	-0.057	-0.343	-0.518	-0.014	0.092	0.137	0.202	-0.084	-0.207	0.042	-0.132	-0.009	-0.058	0.188	0.012	-0.007	0.213	-0.045	0.035	-0.142	-0.23	-0.071
Putida	PP_0913	PP_0913		conserved exported protein of unknown function	-0.565	-0.774	-2.054	-1.62	-2.126	-0.549	-0.755	-0.721	-1.517	-1.734	-1.946	-2.037	-0.095	-0.176	-0.062	-0.321	-0.536	-0.254	-0.086	0.561	0.331	1.013
Putida	PP_0914	PP_0914		GGDEF domain protein	-0.053	-0.041	0.268	0.573	0.277	0.288	0.637	0.139	0.035	0.368	0.353	0.332	0.035	0.389	0.282	0.19	0.33	0.179	0.194	-0.001	0.388	0.556
Putida	PP_0916	PP_0916		Amino acid transporter LysE	0.114	-0.622	0.023	-0.175	-0.45	0.255	0.01	-0.342	-0.231	-0.413	-0.151	0.392	0.032	0.048	-0.063	0.123	-0.153	0.432	0.352	0.261	0.406	0.589
Putida	PP_0917	PP_0917		Chromosome initiation inhibitor	0.163	0.167	-0.159	0.191	0.362	0.069	0.225	0.088	-0.045	0.042	0.045	0.127	0.297	0.041	-0.044	0.057	-0.151	0.241	0.069	0.103	0.223	-0.214
Putida	PP_0918	PP_0918		putative 3-beta hydroxysteroid dehydrogenase/isomerase family protein	0.001	-0.026	-0.189	0.136	-0.21	0.034	-0.016	-0.043	0.046	-0.082	0.017	-0.011	0.035	0.131	0.183	0.218	0.047	-0.063	-0.163	0.033	-0.148	-0.147
Putida	PP_0919	PP_0919		conserved protein of unknown function	-0.348	-0.056	0.026	-0.294	-0.583	0.401	0.437	-0.584	-0.203	0.254	-0.357	-0.242	-0.174	0.33	0.562	-0.35	-0.06	-0.515	0.315	0.315	0.153	-0.699
Putida	PP_0920	PP_0920		Xenobiotic reductase B	0.075	0.032	-0.148	0.081	-0.092	0.038	0.068	-0.124	-0.055	-0.01	-0.269	-0.012	-0.111	0.003	-0.117	0.036	-0.123	-0.205	0.109	-0.31	-0.155	-0.194
